f058, b31a
169e, 2715
21b1, 1feb
0132, ecb5
8668, 9b40
3d12, cc93
d7b0, ab4c
459b, f96c
e4a3, 60d6
be97, e73f
4f67, d3b9
ca30, 5c98
4f32, 5fba
d931, c30e
9f79, 97af
2d74, 6ff8
1a51, 95bb
1b66, 1819
b43d, 4553
f0e9, 244d
30cf, 10a4
4ddf, 200b
a8e1, ed86
97d2, 025d
a9f9, 625c
5718, 5ceb
0485, 08e9
f90e, 153a
ead9, 84bb
fe18, a121
af39, 97b6
987a, 9f07
5979, a73f
598f, 2f21
1d8f, bd8f
51ed, fbc8
edd9, 0372
ad13, f194
2c75, bd1f
9b4b, 521d
cf77, 5546
c70f, 320d
f39f, 4315
2eeb, f5f5
3f67, dee4
868e, 432d
92e8, 6bbf
f178, b279
5c47, c296
6698, c52a
50df, 1d67
9799, 4e6d
f29b, de23
2cca, 62e6
d733, ec0e
49b1, baee
e182, faad
0321, 3d8e
9fb5, b8b1
cecd, 019d
3b6d, 727e
9527, 4f85
0b31, 1678
d8f9, a73b
f45d, 6666
0e92, 71da
ae99, 0466
80d2, 1912
9ab1, a62b
67cb, 1eba
843b, 572d
9b6a, 56d0
3b08, 4d63
0fd9, 2577
417a, 580b
a0dc, bbfa
379c, 36cc
d36b, 8bc5
906e, 740a
4bc4, 2e08
f0a5, 5148
f1d6, 5c89
f97c, 845d
8b3e, a28e
65e1, dc5c
e88a, a742
48bb, ae41
8807, 863d
3ee7, 8791
2ae8, 42f6
c94e, 7de6
fc72, b8e2
7c98, 5a04
f51c, a4dc
52f8, 5839
629f, a45b
9fff, 121a
f87e, 0c25
889c, 11df
860a, 14fb
e23e, 3a93
38eb, ab81
0bb9, f248
efca, d0c2
d76c, 780d
3c20, 72fb
a031, 03c2
6cad, 07af
9870, ab36
8f78, a649
f110, 6313
20d5, 0f30
7dfa, 6be9
49b1, baee
a027, 03e0
dba7, 8124
e7b3, 68ab
f959, dc9c
8b32, 2fd8
faad, e182
9d4e, c3bc
2ad9, 58a4
5b03, c805
04da, b591
c979, 9c51
9ec7, 033a
7d78, 7847
1aa2, bde2
b161, c67f
aea5, 5cdc
a3ed, c10d
fa2f, ea7f
018b, 72d8
b397, 279c
dcbb, dcea
203a, 1791
fc18, 6dd8
2921, 6621
4fb7, 51f8
af38, 29e6
65c3, 7be9
7751, 575e
2075, 592e
5366, aa63
1fa4, 9dff
4306, a7e1
d88b, 2031
0b67, 7978
5d5e, abf3
a98f, 14f2
ea8d, efcd
11a9, 7e17
3981, 7e35
099f, 5397
0249, 8e04
f9e1, 152e
02b3, bc95
6e98, d435
80cf, 8208
066c, 4fc8
241b, 4dbf
5305, 3804
de90, 7d6f
5a08, 739b
cdb6, ba37
5266, 2dcf
e393, e0ce
0891, 83e6
b032, 564f
e1ae, ac30
f65b, 1976
cb22, 9cf6
af16, eb59
da2c, 6b3e
862e, e292
8450, 8d59
2189, c07b
32df, 9e84
00be, f908
32c4, 72d7
4e96, ee48
2502, b75c
d3b5, 17ca
73a4, c8ac
7689, 3947
7168, 385e
8112, 311e
7564, dc05
099e, 763c
952f, 0143
de3d, f0d4
745d, 290e
0f59, 6083
7555, b80e
4151, f1f1
732d, e308
3d67, 1c3a
d1db, c056
f55e, 7922
fe1c, 41bc
ef0b, 1e02
33b2, eb0a
46bc, 2f1b
e709, ae92
c419, 2ab0
3313, 62aa
4a58, 4d16
a7e6, 6837
d568, f6b1
bae5, 45aa
ddfa, cba3
17a2, 2c03
8976, 1311
9483, 9283
bee5, 38f4
29a1, e699
578f, 7389
33bf, c209
12e6, e038
216f, 5746
3b2d, 5394
1b89, eeda
134c, 802e
5ffd, a531
9d64, d54d
ee31, e9f3
d347, 36f6
5cba, 3777
93db, 1938
d71b, 96e9
849c, c472
6c85, c329
7b00, b8da
216f, 5746
29d8, 2131
ebd8, e4fe
013d, d9e7
ccfa, 7927
8319, e27a
06d1, b0f1
60ac, b8fc
0be7, 604d
6422, be45
1887, 3f03
eb0b, fed4
17fb, 6756
77b9, 0865
074d, a512
1ae0, 9410
28a7, 5762
db39, 4cb9
5393, abd2
a016, 6124
49c5, 47ad
682a, af13
bb9b, aad9
ee55, 0064
c7e7, 3e57
6f6a, 9270
c41d, 02c6
0303, 68f2
0bd2, 9f6a
ec8e, e8ce
c4b4, 3b1e
29ba, 21cb
3e92, f173
01b4, e91f
c302, 4f7d
24bc, 6a3c
0bfb, 7560
4657, 5140
afce, a29e
e871, 3459
1a81, 78d8
c79f, 27d8
78fb, 83bb
2a50, 6323
cc0b, 7870
febb, c98d
4a17, 8a13
b555, 6441
9ec4, 7478
46ab, bff1
a433, 298a
814a, 570e
adb9, e079
0d1c, b9a9
b684, 955b
7484, 5c33
71ee, 58c9
1b1c, d1d5
5f6c, 54c0
08c1, 1d75
49ef, 97ce
1c02, cf52
c4ef, f5b2
d0f9, 8019
2da4, 597f
2735, 8077
47c5, 2d8e
2e24, 2e2d
0a1c, e5da
ff7d, b895
db38, 9356
63d9, 580f
842f, 7bbf
33ec, e00e
5644, 3ccc
066b, c439
7893, 9b2b
c0ad, 4362
8b14, e950
83c8, c840
30eb, 2ef4
c1de, 68aa
ab18, 4c8f
475c, 4098
e766, 4a94
534e, 2935
9836, 84c7
0d7c, 67c8
2810, 01aa
518f, e445
3de2, 5e97
f25d, f892
6e21, 83c9
816b, 9b21
3909, e226
f36d, 80c1
1912, 80d2
b07e, 9a20
47c5, 2d8e
6073, 1872
2c3e, c366
2cf4, 3121
bcfa, 6e3d
dad9, 7f75
3355, 2151
d7b6, 42c9
f6aa, 7ffa
928e, be25
aa44, f9a3
bba2, a2dc
7dad, 20fa
774d, 33d4
b82e, 4c7e
6690, 1095
fbed, 1f28
e7d5, 3766
c1c5, 70b3
48e1, dc73
cba0, 51f4
cedf, 3856
8c2e, 5a68
3531, f7fe
de3f, 57c0
b7ae, 4207
61c2, 6191
22df, bc9a
2506, 5400
9125, c4e7
c3ff, 4542
09a6, 452f
ccdb, aa25
c033, 965b
73ac, 005a
fcf6, 5bfc
c771, c77e
3465, 96e0
e73e, 0bcb
1b9e, 056e
d4e2, 73e5
e7d2, 91b4
e4bc, 8cdb
3b22, 1425
26c2, a942
ef44, b1e4
5ce5, a1f2
d910, 2016
e712, 9f86
91c8, 9f42
9c28, 1ca1
7adc, 707f
e1df, 41be
c86d, a6f0
710a, 18d9
1c2e, 67a3
77ff, ea5e
54b9, d14b
56c4, 33a3
406d, 7724
253d, 4561
8a8f, 11e9
02ca, c9d5
3ed7, 8409
b4c2, 58ca
8c3a, 8935
1ab8, 8da8
089e, 0f51
d212, 5c2d
0353, a905
9761, f43e
5f18, 98e1
a3c4, fa23
cb3a, 6df4
3368, a0c1
ed52, c814
b3f0, a4c8
3799, f15b
acba, 1652
07aa, 5dc9
d421, 646f
d578, 37ff
4cf6, 89fc
aee8, 7105
7378, 0f53
b3a5, a7f4
d888, cad4
7569, 03ca
328f, 697c
97e6, 4d08
918c, 94f2
3f2a, 2269
bf01, 8dde
82f1, 1393
7b0b, 830b
054b, 479f
71b3, edaa
73e2, 3d14
9462, e13a
8b9f, 3638
74a3, 6e00
abb8, a105
4a2e, 20b2
3f53, 2d20
7f54, 0b85
58d9, e2cd
7966, d8b7
ec51, 8540
81d0, 57fc
7921, 82b2
27ad, deb1
5df3, 4cea
6188, 0e4f
6744, 1d57
4285, 4d23
0b23, 5287
bc14, d7db
9490, cd99
dcf4, 278b
b184, 2e88
b978, d11b
4946, dddf
cacf, 4333
6b87, 6187
55e9, caa7
3970, ecd1
78d7, 0ecd
9a14, 176c
2976, ea68
4a11, fce8
02fc, 3d0d
c599, fa2b
e56f, 47bb
5396, 3930
db95, ef55
f392, c7ee
5535, c48d
274d, 13e9
4bf6, 6e2b
59af, 1922
2646, 52cb
c4ff, 7442
d498, 6b55
7984, 1500
0cc4, 8470
74f4, 6f60
a297, 4f22
a396, b225
2ce0, bd7c
8a85, a417
a11c, 0bae
7103, 5347
3cb7, 3251
eaba, f237
ec4c, 7123
cc2f, f60d
e11f, b985
60ae, 9177
3b02, a58d
2445, d1ea
12d5, 1d16
5fad, c7db
f230, 4f4d
ae78, 43da
fba8, ed01
eb65, 1f03
93d3, 0592
e3f2, 97b3
b164, 17dd
1605, c275
c213, 287a
6c6c, bbe6
6726, 8f4a
6815, b7da
699b, c09e
5119, df96
1954, 69c9
ae75, 5362
52b0, 99e2
3435, e2a5
c9ee, a136
6dac, 4b64
cef0, 9ca5
7a67, c300
71c9, 7c86
6469, 9ec6
cabc, ac78
48e5, d2d3
9cfd, 49c7
b3b1, 42a8
9103, 07ea
ed98, b926
7cec, bb04
4c86, af4a
f4c5, ec4d
4d1d, ea29
f678, 7b10
83f1, c97e
4337, 1e0c
04c9, ae4c
436f, 1dac
8778, 7810
2527, 43b4
b407, b26e
4058, b0e3
cbc0, c761
d3ea, 54c7
edcb, ba46
abe9, 08cd
54ad, ab28
bd51, 9a38
98bf, ec69
9a78, 9aea
6cc3, e1ab
6748, 93f2
2184, 11d8
0558, e998
f91c, 1985
e527, 4699
50f1, f858
fd21, ba40
958e, 5ca0
45d9, 0462
8c99, ac1b
6e1f, 8e85
07e9, 9ee4
573c, 6fdf
466a, 0a5e
70ed, 6ab9
9940, f2f7
9ed6, bc80
c5e8, 34d5
fd90, c51e
782a, bb59
2cb5, cdf7
deb1, 27ad
993b, 3a83
fb2d, b557
715f, c752
37fa, 6260
d14f, 9907
9278, 3d51
2fdb, c74b
14f6, f588
8b61, dff3
d513, 29b0
c99c, 73c9
7fdc, 7fd0
f61c, 4d65
2823, d61b
1fe7, 85db
78cb, b075
fa4c, f9d2
e20c, 723d
c208, daf5
f935, b6c9
005c, 6676
061b, e33c
fd8c, ca9e
bc9c, 41b8
2298, bb28
5e42, c3d9
58a1, 019e
e6ba, cbe3
d6f4, 9351
0ebb, 3e0b
b860, 2bf2
984e, e1e3
48ff, caf2
3495, 2bb1
4b17, b132
7bcf, 6764
3366, b615
0974, ed5d
9d0d, ed09
2283, 37ec
fcf6, 5bfc
46d8, acc4
d7ce, 6c21
2481, bd4f
3c23, 2832
5eb0, bcd9
54cd, acc5
1372, e260
3829, d170
ddee, 62b8
cdfc, c06c
d0e8, 7c5c
cbba, 0115
c26e, 4626
3b69, 6933
8ae8, d9be
b260, 2d07
7f25, 9b47
5a53, afeb
5c94, ab00
2baf, 27f2
d074, 135f
9501, 8cbf
991e, 2c50
1f4c, 430f
8f17, 062a
edd9, 0372
2255, e04c
0d0a, e0cf
1ced, 47bf
b7ef, fd61
672f, 9ea2
3cec, 6479
cb30, c486
a360, a671
d2bc, 15b9
0550, d5df
f4ee, 21ef
be99, c474
34a2, 28e0
2fba, 0615
9cde, 356c
1ebe, e48e
abc6, e1bc
12f7, 61ee
ae7e, 3bad
1451, c68b
92d1, 6445
4c59, 6d31
266a, bf42
aca8, 4704
29d0, 046e
31ca, 2d5d
4706, af28
003d, ae6a
d559, 448f
9359, 4782
58b2, 727a
cd42, 9685
37b3, d227
465e, 87c2
9b96, 9d42
9d83, e1d1
badf, 6c92
f637, da85
7a0d, bb6d
f591, 10e1
db9f, 2fc1
28a1, 4dcd
d9d3, 7c32
b6dc, 06c5
4e93, eacb
f5d9, b41d
08e2, 5070
940c, d02f
747f, 74ad
0157, 08c7
11fa, 1fda
d4c3, 80de
df9f, e82a
3129, c1d3
a29f, 81bd
54f0, dc69
bc64, 3994
6fff, c004
da21, 12ad
4280, b325
424d, d606
5585, 2382
f0dd, 9abc
7feb, bee6
ee4e, 1794
155d, d66e
ad16, dd7b
d3e0, 43e9
271b, eb08
ca72, d324
2ebd, 39ef
5a18, d69f
52ab, e6e9
574c, b156
7f0f, cbd0
c1f2, e4d6
97ac, 12cf
6c47, cd0c
f1d0, df60
0e70, 5496
1857, b48a
6b8b, fdf5
d712, c21e
4212, 0f2b
f57f, 4ca9
b3bb, d933
e97e, dee1
e3a0, b057
774d, 33d4
4f80, 9d28
dfc2, c3ee
7cfc, 0ea5
a920, bbe5
69ca, ed58
f6f1, ea81
93c0, 0653
0253, fa97
6919, 358c
05a8, 936c
3ed7, 8409
6884, cb41
9279, 7812
902b, 8f21
641d, 5d63
2ad6, d315
9fbd, 9340
3bed, a12d
253a, 7159
c529, 3a57
9f88, adab
d198, d872
9f7a, dcdb
f7f1, 5404
93f2, 6748
e9ec, 8361
acb4, 48d4
c264, d87a
1b33, ad8c
5bfc, fcf6
94a5, 3bfd
331d, 479b
182a, 41f7
75ff, 7aff
78c7, 9b99
d806, 1019
f442, e395
dfd7, 0d03
8f80, b0e8
c048, 6c18
3296, 682b
9301, fbaa
b270, 4635
9b59, bf45
9a07, f7ec
7dda, b9a2
f16d, 5060
c261, 3348
be25, 928e
5062, 7ea7
8a12, 90af
576e, 9c68
a165, 66c4
4221, d11e
f708, 3a5f
5c9d, 3b05
789b, 29c6
1f79, c4ad
4e73, 37cf
2726, 9bf5
410d, 225e
98f9, b17f
e12f, b389
70d4, dfef
ed0b, b3f1
32e6, 71d3
1ada, 92d6
8927, 40e6
c738, ee58
668e, 2d56
18d3, 0a92
5a18, d69f
4d26, af4e
a3d4, b6a7
4aad, b06a
6592, bf7d
5f35, f788
c67b, 79cb
24b4, d636
d823, 1f27
ee69, 2346
0c4f, f562
06e0, 8d89
4de1, 2b63
be35, 10f0
417a, 580b
4b4a, 0d1d
680d, 92b0
86ad, f783
6934, e9a2
3900, c5a8
3ee9, 2af0
b14a, e314
9c62, 1c85
28e9, a2a6
f76a, 36d4
ccc5, 2bf3
b41e, 40da
bf85, e1f9
e769, bdbc
f8ea, 1bb6
99a0, 161f
eeb8, 03df
9b2a, 5e4c
990c, 24ff
ff0e, 9653
9614, 532f
59b0, 26af
5594, cb57
0d94, c6e4
2ec3, 4f1e
b2b2, 82e8
1903, 7f87
bf5a, 5f52
f09b, d992
ceef, 54c3
200d, 0eaf
b985, e11f
0d9b, 2467
0b66, 8f92
ca2a, 2ae2
2df5, 11bc
3088, cb3f
06b1, 34d1
3baf, 5fc8
dc39, f705
a48c, a8ad
4a92, 184f
7ec4, 0e58
256a, 821f
d08e, e272
8462, 1056
35ce, c731
63e0, aad0
7559, 701f
5cae, e407
0d2c, e296
95af, ed6c
f615, 849e
9d15, b73a
489e, d7b2
7d9c, 0f8d
3587, 74be
32da, d4bf
04f5, 2b4c
0fdc, cfd0
7f26, de82
2a47, 6f2a
f900, 0ae1
84f1, 8346
ff18, ba63
ff4e, 334e
8109, 569e
1d21, c7dd
77fa, ad9c
08d5, d676
fdf3, 3a7f
fc3b, 768c
e7fc, 910d
8a11, cc67
9076, 27b8
597d, 05ad
7e85, d768
77ce, e58e
ddac, 4c1c
2f31, 4ba2
bd7e, 557a
b109, f93b
0691, d1ec
1fe2, f0b9
e74b, a52b
2ac8, 26c8
9977, af3e
57f6, 7d37
4aa9, f18b
f37b, 9666
d916, 5e02
d0e8, 7c5c
c678, b78f
fd82, 5788
8bf4, cf2d
529d, 8677
c6e6, d229
c4bd, 095a
8e60, d923
1513, 619e
9817, 0ed7
021c, a88a
8f12, 5add
395a, 57ad
b5a3, 11d1
7a32, 2a88
604b, 2c5b
9b46, e66d
928a, 1a68
1071, 994d
06c9, c0ac
7848, 8287
a631, 5ec7
1b18, 12ba
7395, 894e
2234, c5e0
f47a, eb5a
c918, 1776
5be1, 0265
8f30, 29e9
5dca, 58df
97f3, 2ade
7e55, 8804
d80f, df86
4d9c, 8716
d93c, 72e7
0555, f5e8
a1e1, 3c40
ffbe, b908
408a, 5466
b092, 2952
5060, f16d
d04b, a08b
5a13, bb47
48ac, 2da5
c994, 0c58
9762, 4df7
2b86, 65da
52e4, ab42
e1da, 875d
b896, 2199
addf, 0d99
2b92, 0554
09d8, 683e
08e0, c1d9
ae4e, 8e2e
ce6a, 3d50
3380, ad66
c526, 57d3
381f, 0d40
75fc, 56e8
c420, 6010
f28e, 2205
7b5d, a30a
6491, d635
b31b, 6a00
7190, 93e5
1bfd, 5744
20d5, 0f30
081a, 6fd5
8361, e9ec
1448, 8ac0
2536, 40a5
ffdd, 2ddb
6649, a3e9
2aae, 2200
c93d, 6303
47c3, 3cbe
fcf0, 8947
153b, 4128
5be6, a452
14e0, 3d3c
e993, c857
a2a2, b38d
895e, 37f6
740a, 906e
aeab, 1d0a
ed72, 61c3
0d0a, e0cf
36e2, da9a
7367, 329c
bf7b, 0967
6cf0, 6345
4846, 9056
c33b, c431
03b7, c764
cc64, eb54
f472, 585c
5c3c, f5d8
84fa, 6c20
a868, 8d35
ea30, 8288
79d4, c52d
8038, 7229
4ac7, 8482
fcdc, bc4c
f1be, d972
a98e, f14d
3483, 19ac
c0d1, 4a7f
26ae, e87c
b839, a823
1200, 3bc9
bd6d, 6672
b9fb, da84
9499, 30ce
5360, 4f23
1db4, a09d
442b, d157
f30b, 03e1
c73b, 9733
dd3a, 2175
e183, 38c3
5444, 00e5
0504, 6546
295d, 8235
f814, 18f2
4d67, afc8
3635, a693
f0d8, d64f
518c, 4856
c82c, 8d45
f719, 01e3
ff6d, c6ae
0bc9, a3f6
4d5b, 6950
335d, 831d
a1b9, f169
4fe5, 74cb
b45d, 090a
20da, 9a80
4bec, 6017
1aca, 738d
e67c, ec17
76fd, d6c1
6b32, 389b
4aea, 40b6
b261, ee3b
54cb, 4370
5876, 9dbe
23e3, 10a3
6559, 796b
b750, 8e99
3b3c, 84df
262a, a1ae
a56c, de74
ed60, 7a89
710e, d80c
f772, f773
bad9, 1f3a
1f60, 92ad
2c1e, d7f1
0423, 156b
ac7e, 1199
0b1c, 68c8
5c6c, dcee
e1b1, a1d5
e72e, b01d
93bb, 9514
f107, 9d6e
eec8, 2388
ec7f, 8488
bef2, d03c
55fc, d1d7
a123, 4556
cb89, a567
416f, 5dfb
4c60, 1b12
5626, a586
5dc1, 7f62
86d3, 1d7d
1234, 8605
1edf, 70a9
4fbe, 8563
8d79, eb77
7e5c, 63ac
4e3e, 8cee
043d, f477
eff8, dc07
9e19, 3e01
3fc5, 647a
3da3, 2fd3
6077, 6ff4
9322, 1610
bdb4, a580
4a4f, 797e
4891, 7365
a3de, 1790
62b8, ddee
e6c3, f9ae
96f5, cba6
e58f, d14c
e4db, 8ace
d7f0, ea76
267b, ea35
e5b4, bc49
4eaa, 22f4
5404, f7f1
12cd, 0525
3073, eeaf
97bc, fc36
e958, 4c31
61a9, c6c3
972b, 631f
0b5b, 017b
ff5b, ba2f
52e1, 3ec1
f382, e62e
2aca, 35ed
c1e6, 53d2
2724, 4d35
880d, 9364
99fa, d2da
88c9, e733
fd90, c51e
ba9f, b7d9
ba01, 6084
91ad, 9478
38c8, 02d3
846b, 2b3b
62d7, 0216
a490, b1e0
5ad4, 51fd
5f5f, 5cf8
efc4, 2134
3953, 4018
73b3, c75a
fb1b, e35e
74e3, d3dc
2dae, afca
5dc8, a0bf
e5b1, 8918
df6e, 5872
c3e1, 1063
4293, 2ad7
b823, 8289
5551, 7771
c41b, 0a49
20c4, 4e59
2be4, aa4d
8221, 27e7
fd3a, 594b
9a18, 19ab
ee94, fb01
9795, 85bb
c3e4, e795
5df5, 59be
184f, 4a92
28c6, fbe1
aa8e, 63d0
07a6, 7f99
3d1e, 9bac
8e0d, 843f
623b, 269c
5584, b0b5
8187, ab44
087a, cc3c
1ab5, b3cf
0d38, 08e5
30cb, 7867
ff98, cb4f
bf9e, 83d1
0ff7, e112
5a7d, aae3
4c84, f443
bb28, 2298
f897, b517
29c0, 2929
3f7f, e049
5f99, 7cb9
b251, 2fb1
61b5, 0c94
38c6, 7130
c49d, 1b6c
cfce, 7f91
b986, fd36
4f03, 3210
bac5, f60a
4819, 48f0
0f9a, d151
c20c, bec8
8445, 4f47
cb74, 8c83
7d32, e239
726b, d186
5ead, 7161
b7d6, 9b98
ead6, 7f1a
8a31, d6ad
18e2, b2de
a871, 78ae
db0f, fba4
135f, d074
5ec6, f9ef
5edf, d2d2
a625, e9cb
417a, 580b
a9f5, 12b5
2d18, 21f1
6713, da4f
fd12, cd79
1ea7, f463
8e84, 2ed8
1bdc, 6c40
8a15, 2740
6f0e, 02ad
703c, 56a9
b856, 36ef
6d18, 6a2a
cf7d, fa43
21f3, 42e7
82bd, 6ae2
f533, 41d1
fc2a, d805
622e, 70cd
491d, b899
8f4b, 87ca
3938, 1280
93a4, 521b
357d, de0f
b1e0, a490
848f, f7ab
8cb4, c668
1fd9, a33b
a731, 4dfd
026f, b253
6927, c450
ea82, 540a
6914, d890
f815, 5072
883b, f825
1108, 67ca
959d, 691c
7962, 503b
f067, e066
5a8e, 1025
cd57, 01c5
7987, f23b
085b, f966
b0c2, 5f79
521f, 0bc3
67ba, aba7
aa35, e4ad
022b, bf8a
8ae9, 2545
1238, f10e
b613, 67dd
fb90, d870
05bb, 7b3a
135b, ac2c
1966, 06dd
5056, e13d
d603, f828
a039, 3057
39ae, 3603
86c9, 3cca
045d, 5ef9
eefa, 57b9
73d6, bb01
95db, f6ac
af5a, 0927
1293, bc47
5a0d, ca01
070d, 126d
5f12, 7bca
127d, 86d8
96ea, db86
f5bb, 8ff0
a72c, 7450
a24c, 08b5
b0d7, bea3
5c98, ca30
b83f, 5933
2596, 71ec
05b2, 7512
d998, 6b46
c65a, e011
5146, 33a5
b51a, 1c3e
b4b5, 172a
