b6a1, 6138
beef, 85b1
669a, 332b
2f61, 881f
551a, ec37
2047, 6704
2308, a4ad
49bb, b263
2ef6, e1ee
5fc1, bfad
6b53, 92e0
dde9, e3e8
1a2b, 93f3
f238, a2b2
62a6, 3a4c
6048, 7b95
de0c, 8568
580a, 4390
d5b7, da56
5e0d, 0b17
37d4, c040
1e19, 1c23
b718, 310d
0e6d, 2deb
5dfe, c20b
96d3, 3409
8c62, d6e4
eb71, 1956
f315, c396
0ee8, 1925
2b3d, 6427
923d, 1db5
e4c6, d984
e89e, 4516
fd70, 0d4e
97d1, 883a
191c, 173d
0a4e, 7434
84de, 11d3
9c1d, b344
09a1, 3ed6
5fa2, 1db3
3b5c, ba86
6acd, c45c
552d, a4f6
7941, 47e8
0033, f30c
876f, 4a62
f3fa, 17fe
3791, 42a5
938e, e7af
ddee, be6c
c201, 4c3c
3da8, b014
90ea, 40f2
fb1f, 08a0
d4a5, befc
471e, 191d
639e, 639d
9f78, 2220
646f, 0405
6541, 76a4
8379, bef9
74b4, d02a
2dc9, 5e17
50e3, 5860
71bd, a48d
abe3, b769
514d, 60bd
e999, 8078
795b, 31e6
cef2, 7e85
d2ae, 0092
fa6e, 8141
acfd, 8db6
e9af, d6d5
4cd5, 3195
0f44, 7560
b5e3, ec1b
3a94, 1b21
3023, c03d
b188, 86c1
a6fe, a702
52f1, 441b
64b4, 6a4e
17cd, 6c4a
a2c3, 4a7d
5283, cd04
5125, 8593
dd10, 40ed
8e96, 83fd
d348, 6437
6c78, b5b5
3179, 1619
13af, 2eed
b261, fb2a
6632, b143
d5d5, b90b
b62b, a52b
f65e, 9cbf
888f, 8a6d
de1e, 5ae5
0b9c, 4c7c
4acc, 714f
9f22, df3b
b4c7, 1fb4
e782, 3785
003f, e660
8fdd, a910
8bf6, 7606
2eb4, fa2b
dbd6, 9a84
7b76, 8972
929e, 9520
da93, 79b8
5a85, 2de1
96cb, f610
ffe5, ba0e
a65e, c931
1a88, 8b22
4860, f6aa
64db, 5009
d526, 937d
cee4, 8851
d57f, d289
f87b, 7992
26d4, b23f
dca1, 99b6
3862, 7855
b9c8, e304
facc, 6f35
752f, 7b0b
9baa, 1ddd
a060, 4cb9
359c, c1a0
f7df, eff7
95db, 7dfb
58d7, be0d
d091, 5549
c4ba, 27ef
8947, 975e
b134, 5d11
99b6, dca1
08a1, f86b
6af1, 3ff1
be14, 89bf
70ac, 5f09
16de, ce88
9841, d95d
f6b5, c8d8
3e98, 5bbd
480f, 48bf
b9bb, 46eb
155e, 0b77
8da3, 2528
173b, 6886
6515, cd3e
d70d, 3b31
aab1, 374a
46fc, d8c4
70cc, e155
15a7, f862
4c6b, 99e6
e5c7, 1766
e116, d969
837e, 79db
b8fb, 8cda
1172, 83f7
a4ce, de80
8033, 2322
b92b, b922
8f6d, 08af
889d, 2b7e
2c23, f000
a16e, e0be
6bf6, aee8
d94b, 64da
d024, d5c2
abb5, 09fc
c8ed, 419f
9fab, 2fe4
9da6, c565
e8d3, 8c14
056e, 7b9b
77c8, b9f0
af1b, 5bdc
786f, 6151
9d3e, ebd5
b3a3, e340
743f, 18b7
3074, eb7c
b151, ac91
f825, b5ea
47dd, f71c
57f1, e69c
55cf, ffc0
acb8, f1ba
f3b5, 5e6e
1853, 13a9
1aab, 7101
06f7, f182
eebc, d02d
685a, 9f47
9e00, f081
9aeb, ba26
2db2, 65b6
b2aa, fcb1
9677, bb38
307c, 4dc3
859a, 5291
4473, e81b
ccbd, 75e2
3596, 7865
bf3e, f1e3
492f, 4929
a209, 505a
4329, 7dc4
ae7d, d01f
a8c5, 67e2
c3ad, d919
0928, bdd0
4280, ea5d
2c70, e213
5618, ba4b
415f, 75b7
83db, 87ac
ef2d, c6d6
a38b, 3ff4
6119, 7f78
6571, 77d7
35a0, c9ef
7697, 5359
68c0, fd7f
2885, da95
f398, dc44
781b, 5ab0
28b4, 0965
78a4, 3069
2f3f, 5017
e01c, 5a51
50e8, ace5
1138, 7fb4
a924, fc5e
fc78, 9835
2c24, bfc9
4d6a, 35b0
aedc, 47eb
a57f, 83c8
8dd1, 0aa7
60b8, b3ef
21d8, 9d8e
d18e, 3624
173b, 6886
2fca, 1935
31b0, 636a
6246, b8c8
e054, cf9a
1618, 3944
113a, 4164
9c28, 832e
52dc, 82c4
d1f0, 83de
08d9, 638d
114a, 6d5f
4153, f729
0deb, 208d
487c, d779
ea16, 345d
1b2e, 62ca
2037, 3c49
90d6, 1b22
5651, 42c7
2dc3, 77d5
f6a2, 3224
c4b8, 01b6
3ed8, 8b5e
ff7a, 5a54
d2b3, d6aa
b250, d8c8
d78c, 693c
a0b7, 4bb8
02ae, f2d3
5028, d417
65ee, 5f02
233c, 94e6
0540, d6b1
31a4, 80fe
3150, 248e
9ae2, 6d6b
e7e1, 2319
965b, 8891
a053, cfaf
5f25, 40f9
7ea3, 2c6d
7914, 38d2
5a0d, 15fc
4786, 6ed4
3fdb, a0be
d341, 62d5
1963, da11
ede6, 7bea
7060, 9738
3add, e286
3473, 1303
d491, bd60
f253, 7380
9b98, 66c6
c6d2, 4086
a79a, c94f
5fb4, 16ed
c63f, 8d43
3f6a, 4129
00b7, a121
a685, 4e6c
8b1c, 6f0b
967a, e6b9
bbc3, 0512
dd80, b6c5
e9d0, e2a4
95a0, 4c19
84b5, 3702
d196, 1b2a
1370, 68c2
5690, f008
30a6, 59ce
df69, 1125
7e86, 9a66
7f7e, ee62
26c2, 990d
cf20, 8b70
06e1, b412
f16e, e652
94b6, 1d2f
7d09, 054b
374c, cde3
fd04, 1e81
9345, d4d4
4cc4, 360f
58ca, ee8e
9b13, 29fc
5674, 2e7c
a122, ed2d
1206, 63d0
511e, 67fb
0a4f, ba41
90a5, 6d90
4a5b, fb01
61db, 975c
428a, 7fa4
7834, 88ea
670e, 17a8
f13d, 61f4
426e, 3a6b
8d4f, 9001
585c, 4002
4d03, 7040
dcda, 5738
1797, f7b7
0492, 8b8f
37d3, b526
ac1f, f437
d09f, 6b99
2cbd, 0a5d
6437, d348
0e29, 5cfc
52d0, d9d8
13c6, 75e6
aed2, c59e
c43f, 2e36
dae8, 372b
8c13, bd14
b5ff, 7f9b
1a2e, 9718
940d, 5928
baab, b36c
7889, 8b0c
7216, 981d
f601, 0d85
7fa6, 5348
689d, 82b9
f4b9, 4c18
603a, 8a88
8a2a, 862d
6325, ce9d
b2ea, 5531
ee76, 0071
9aec, 713a
3ee7, 3a84
13d9, fbae
c8b3, c5c3
0329, c47a
d89e, f4bd
c3ab, fba3
d526, 937d
7723, 1329
e200, 875d
18b3, f539
0672, 2bab
f637, f5e0
94f0, 2764
aa36, 9867
8222, a609
7bc8, deb1
5157, 12a8
543c, e6cb
f941, 6be7
8f96, 2f04
fafa, 56ba
01f1, 6fda
e5ad, 70fb
f849, 5ad6
a812, a8f6
e7cf, 5a68
64c8, 601d
d06c, 3df8
3c75, 2c17
3eb6, f847
d06a, ebee
947a, b031
dcc5, d75a
87e7, b325
8604, 9163
290f, f57f
c7c6, 32e4
bc7b, 145a
dd5d, 3dbc
f56d, 3805
f905, fbff
170c, 18b9
27af, 242b
16fc, c423
0120, 70e4
ddd7, 75ae
02ab, 76c9
38e1, c644
2251, 584e
cf48, 9d30
c85f, 185f
b4e8, ce09
2738, b3f7
f9ee, b001
9a54, 02c1
b1bd, 8120
42fc, 47a5
7e3e, 0a44
44a2, 0d09
d938, 65e0
3c88, 6a58
568e, 37d5
b5e6, f7ed
4b76, 953a
1050, 8f28
9cc1, 9111
d459, 1af8
bc88, 78fa
137f, eb0f
caf5, f9cb
88b6, f901
2124, ad66
9d5d, b246
f2b3, 54f5
f5c8, 0f66
2593, c543
2a79, 866d
846a, 7191
db20, e335
c5e3, aef3
57a0, 6b47
ff1b, b3f0
d573, 1cb5
f3c7, 3b37
2ae2, 9b3d
38f4, b7e9
4a9b, ac5f
2d9d, c2fc
9064, 2938
4cb2, 9bdc
b386, 02f6
acef, 3fad
4b56, 3932
7bf3, f2c8
95f3, ba0c
4728, e6ec
372c, 14fe
e0ef, aec5
00b0, c2bb
410c, 0c80
4896, a97d
b014, 3da8
a6a5, 441a
0de9, 62bf
0afa, 4a53
7d08, f99c
6b95, 20cd
aee7, 938f
8d84, 7b0a
4d43, f3cd
bbd9, 9f4f
c883, f888
83ed, 8225
2115, 7ff3
b527, 2984
b4e5, 0d68
7446, be1e
be3c, 5a75
195a, bb89
65f7, d597
86df, 0022
6c5e, 54a0
d663, af94
dd6f, 3490
74fd, 52ea
49c8, a07f
f77c, 058c
80e6, c333
7825, a822
2b37, 3365
f2b1, cbca
9142, fc39
bced, 1153
ad7a, 7301
6ad0, 230b
b77f, 388c
70cc, e155
f3d8, 529b
4c53, b539
446e, 5ed6
aacb, cc15
6600, 02cf
0e9f, 80f7
0e41, e82f
55d1, b022
da3f, 2e4d
be3e, 86c7
673d, a233
e4e7, e43d
6947, 0843
f7ee, c7ee
b590, f9ec
60c7, cd56
5393, 5dc2
ee6d, cef3
7db3, 3fe1
7b2c, 812e
11df, 3b6b
49de, a32c
461b, 85ea
28e9, e0ce
9518, 3d04
32da, 5d81
f035, dd52
5406, 4552
f54d, c642
4434, a16c
00a3, f566
34ab, aae8
24fc, 80d2
cdc8, 24fa
19e3, 7b91
8a0c, e3f1
a1c2, 7a01
ea16, 345d
bfc6, 26de
88ff, a413
b1b9, a89f
0730, 924d
aa5a, 055f
16ad, 91d9
9d34, 3581
2aaf, fd7e
62c7, 9c99
b9ae, 6c45
d676, d76a
4998, 7faa
0dfe, 018a
99ea, f9e4
e00a, 4847
4f43, 7f7c
b79a, fbaf
3335, 3a45
9139, 81e6
9f2d, 8174
691b, 15e1
5a07, 5160
1687, 4f44
2aee, bfea
cde0, 0bee
9e48, 7c0b
146c, 1434
2bff, 1c3e
9ee6, aabe
837b, 8206
8cc0, fcdc
23c8, 71ec
47af, 7c86
3b2f, 5ee7
12f8, c203
3561, 44cf
9460, db53
e568, 94d8
246b, 127a
414a, 4ba9
701a, 3a96
5cc5, 4865
0b85, 2589
6aaa, 2a4a
6151, 786f
b042, c0a1
c304, 9eba
acde, fbf2
9440, 9ca5
36e1, a114
7446, be1e
1d6f, 4519
655a, 118b
1200, a159
906c, 34f9
95b0, 7ff1
25ee, ffbf
2f8c, 848a
2d30, 5ae9
62f5, d292
bfa3, 842c
c0d0, 3b44
ba9e, c7af
494f, e609
0034, 5b61
c391, 63f3
ff76, c701
aa26, 48d1
ff04, fec6
eec0, 30fe
5ab1, b9a5
b4e9, 025b
55e1, 25e1
1a46, 4cad
a83e, 39ed
7844, 682c
162f, b175
2b0a, 7627
d372, 81d2
c087, f188
e9b2, 7a81
0741, 8421
7864, 3504
3128, 7f6b
632d, afc6
c79f, 745e
acb6, 45e7
29f8, c614
11f2, a7f7
f356, 6675
411e, ac13
684e, d204
977b, 8f92
7b9c, f529
d4c5, e9ee
26b5, d4ae
a81b, eb38
58f1, 74f1
e9fa, 362e
3ed4, d008
ccd0, cc41
feee, 3515
54a6, 8c34
fd36, 2b94
0882, 66ec
a97c, bc17
2b98, 01d9
55de, a11d
1f26, 9a5e
d9e9, dcb9
894b, bc8e
760e, d7b5
c355, 1ba7
2b40, 10dd
5d41, f138
4231, d7e3
289a, 2c25
9ea6, bc3e
4249, 748a
ae70, 0e25
c70b, 51f0
9df1, 99e5
e44d, b192
d267, c98c
d767, 3fd1
c6aa, 5d63
e3dd, 3d7f
5864, b890
6613, 077d
1f3e, dbf6
eff3, d811
0c3b, 41b4
0c02, b12c
d52e, 2c89
6e1c, 4322
13f3, 2ccb
d527, a3cc
306f, 9d74
e3fc, 4cf3
e7cd, aa91
4523, deb3
48ce, 6451
42f1, 59a7
8dd5, 00e1
ffb4, 67f4
419f, c8ed
f200, 220e
f9bb, 6ad3
e520, 5cc6
a7ad, 171e
dc91, bb75
4851, c20e
eb4d, 1677
ab2f, 460a
eb36, a5ba
b0d6, 4ceb
bf06, 5fcd
f51d, 96df
53b3, 3c26
bf55, 85f5
3218, 98d6
c57d, 5bc8
e221, c717
5d9f, 5410
0a59, faf9
2837, d164
91c8, 8a48
4a8a, 6503
6c71, b9d5
b8da, 607f
b518, cb3b
8ee9, 0f98
cc52, 58dc
da2a, b08a
4064, 372a
44e9, 11e7
b283, 9428
25d1, 91cf
5e08, 9084
5038, 1cdf
6095, 10e5
783e, 88e3
dd5f, 6412
63f7, bfc0
535a, e705
6a07, 6668
ebfc, 09bd
4756, 091a
d958, 6f27
88d8, 7245
8775, 36f4
6f72, 20f9
60b9, 11d4
3b02, 49ce
6d73, a74c
4c84, 049a
c8e1, 7bf4
cbf9, 65e7
e693, 0af2
1ab2, da64
5517, 4c7b
2f82, 3bb5
d640, b81f
2356, a56c
2a08, b2a7
0c28, 7851
6aee, 1322
9e35, 4d8f
81b3, 5c14
2e53, fa02
6beb, aa63
69a4, 6d4d
f59e, bdfc
98d9, a2d2
a8b1, 061f
0b6f, 2c7c
4bb6, 65e8
46cb, 9546
1baa, 672b
5a61, e90d
6139, 2241
037d, e156
396d, 27bc
9e42, b1ef
6d69, 9a4a
d92d, 5f5a
1cbb, 3ad5
3b6e, c73b
c782, 1875
62bc, 1ce1
34b9, 43b1
8e22, 040a
f9f0, 2297
197a, 1e7f
1787, c778
cf43, 9696
e48e, 6144
f250, e95a
f46b, f26c
bbad, 436e
c2bd, 6cb2
99ea, f9e4
5a7f, f78a
0029, 02b1
4b3b, 3b1b
4e1f, 6192
7b2d, 9b00
13c9, 83d1
540f, b096
38eb, 8a91
af1a, 4d5a
23af, 5cab
c54b, b00d
33e3, eeee
858b, ad3b
aba2, 2b31
2251, 584e
413a, 6674
a278, 13b7
1033, eab4
6bc8, 2615
3e52, ee4a
6025, 2bdd
a7e1, 12bd
a664, b6ad
fab1, c458
aec0, 1f7e
991d, f8a6
fd83, a208
2e38, bdf7
0593, 882a
d7ed, f3dd
f92e, 5beb
36dd, 6e8f
3f1b, e993
5c83, 2fc6
42d8, 632b
b020, 5ef0
3ba1, aa6f
5792, d7b6
ddf6, f91b
6e7e, f204
4b53, c044
db2a, c5d2
ca99, 0602
26c7, b6c1
08d5, 3474
0781, 032f
c7f1, 6dd4
ab50, 4281
c738, ae5b
91bd, 3df7
c36f, 8016
d706, bbc8
0a45, e10d
57ce, 27ce
5175, dcad
35bf, b54e
69ad, e8a9
d407, e104
9c70, 8198
27c7, a38c
be28, 0c16
567a, 51ba
523a, d0cf
8064, 072a
8bf8, 64ad
088d, c683
cec9, 7d00
36c5, 2ded
6073, 651b
ce3a, 734c
5fec, 3418
428a, 7fa4
e435, 1006
4ad9, a455
aac1, ec02
559d, 7604
1756, 4d2c
227d, edbd
1f2e, 7a15
95ec, 4d1b
b2a5, 0718
f963, 9c0c
f0a4, 6b0c
d9b9, 0931
d365, 703c
4701, 480a
4cf0, e9ab
3b74, 93e1
43ce, 303d
16b5, 683c
b238, 4bd3
624e, 7fa7
5171, 5a82
74d3, 94eb
4a35, 71d2
94cf, 9ef1
8dd3, 0b52
8034, 9bc6
17f1, 9e5d
4592, 3f77
44ae, a1c6
2724, 4ec7
5c38, 2439
e866, a5ad
7c6a, 5308
7301, ad7a
a2f0, 7d4e
741d, f443
18d5, d1b9
2285, 6efd
7bbc, f836
888b, 378c
7c82, aef2
2c32, 7fdb
50a3, 9c41
7f4b, 2f7c
f563, 2860
6769, 5657
c6e5, 6e39
80af, 8b36
aad1, c286
093e, 0f3e
a2a9, 862c
9b14, f76a
c23a, 99fe
635b, c521
f370, 1a1f
5ced, b01d
9f8e, 1936
0e8a, 6aa1
2dbc, c5ad
694e, b451
e5e3, e5f1
6f8c, 6f41
f633, af32
83d1, 13c9
36bb, 5dd2
e0f5, 00cd
e88a, 45c0
6dea, 58c0
60ed, 3d87
6826, dc35
e914, 03fe
4142, bc6c
c683, 088d
2777, 1fc4
905e, b402
edcc, 361c
cd72, 918c
424d, 3c3c
f19f, 6351
0b6a, 1978
31b1, ff0d
d620, d753
5b6d, fd40
738d, 604a
011b, 8da4
536b, 4361
8094, 8b63
f5ba, 6f9d
8356, e0b4
575f, d544
1795, c795
ea17, ec7c
4fac, 1543
44e0, 6d3f
6fc3, a222
91db, 8080
fa28, c015
7333, fd6d
61e1, b25f
1c6e, 64f5
4937, e3fb
6cf1, 12ee
6349, 1ca2
ec36, 3e1d
6a43, 2170
c3dd, 61b2
e1c1, f509
5618, ba4b
e55f, 94c7
6dc4, b1e2
bfcb, 5af0
0e21, e379
4cc5, 61e8
5110, beaa
495f, a95f
9116, 2431
9c45, d1bb
4a8f, 6d2d
9bc6, 8034
2b73, b271
2fd2, 2ba1
4959, 4f29
baf0, 557e
70fe, 46e4
89c7, 77d2
4029, c338
f268, 1568
0c76, f3c6
8fa9, 4750
2104, 878a
2774, 7996
e031, 899c
ba4a, 7ee8
cfd2, 4706
60cb, d2a5
f2a7, 88b2
9c57, 0661
97af, de04
4ff6, 107c
68aa, d9c7
fa75, 4e29
f432, c4ed
efaa, 8a50
3809, 5427
988b, 6087
b934, 013a
914f, 44b3
0cfe, b91e
d23f, 911a
083c, 9a9f
1f76, 199e
f66a, a0c1
709e, d4ff
abdd, 9f6b
2f46, 61a2
bcd5, a094
721c, 47ad
7426, 3e11
6573, 5ed5
ebde, 1d0f
8740, ba29
5f58, 9e7d
4f35, a52a
ff45, 1833
6f76, 2062
fadc, 0890
fb6b, cb11
022d, 5d96
5856, 1468
bdd6, 9b78
f8bd, 5a40
0520, 2ac9
47b7, a707
3bbb, eb0b
d81c, 3382
f7f8, 5a5c
7596, d4f2
f168, 9dd4
56e3, d95e
279b, 5319
40a6, c8d1
8520, 077a
d5ff, 5611
b123, 0e04
02b0, ab73
661a, ac54
ff56, 6e45
5069, 3be4
8543, a5fb
c3a9, 7256
f1da, 71e1
2fcc, 6a0f
bd9b, 61c6
1854, 2eb1
9da8, 0a57
7f17, 6f4a
cdbb, 10cf
837f, f54b
970f, 6097
f1d3, 738a
019c, 288e
a9b5, fdd4
98c6, b0ae
40a8, daaa
b96f, 7da0
ff7c, 4ce4
3f4a, 533b
bf92, 9bb5
fd99, d849
88e5, 374f
7a8d, f747
b48a, 3874
9f75, 6970
e2c7, 65cf
bfc7, e5ce
aa65, 58b5
b739, 9e14
bdfe, 7b13
df28, 6f28
e4db, 47f3
fc18, 74a8
8588, 4e5e
1a7a, 2b28
d1ad, caba
1444, 3d35
a04e, 30e4
541f, df1e
65b1, 9029
67c4, 2ad6
54f8, a389
4489, f14f
9675, 5491
54d2, 09af
2ee1, fa3d
a6f5, 2818
dd14, 1f69
e57d, 66fa
af2b, 71e3
64a2, 1349
eacb, 0c9d
7500, 1834
f869, ccb7
8cb1, 3649
363a, 6425
4ac1, 93c8
a88d, 6782
cb14, 520c
158a, e18c
6f91, 401b
7173, ddb6
5251, 9328
8a7d, ee19
8564, 95fb
a18e, 99c5
4d17, 19bb
af85, 4982
efa2, f357
0e9e, 45d4
050e, 9c8a
e284, edaa
3773, 344a
bb03, f046
b5bc, 8dfb
2287, d677
6e84, 352d
ccac, 9ee0
cd83, ad32
4932, ee65
890c, 7936
a6b1, a05a
a2d7, 6979
79c8, ea3f
7c23, aa22
2a6c, 3279
9326, 5f23
98c4, f80d
acc6, 9150
d4d5, ece2
c5bb, 7dbe
be9a, 60a4
6063, 6d16
03b0, feff
9feb, cd79
06a0, 0e7d
247c, 427b
6e3e, f8d4
fa60, 9fee
9232, 0650
23f6, f49d
8b83, f535
0108, 982a
2ac7, 0326
ef2d, c6d6
7837, 9bc9
20cb, daee
a962, 3543
b810, 9311
b4a7, 9eb9
f456, a9fe
18ba, 7b52
7766, a1b4
9120, aa73
526e, 4719
a178, d3e1
cb0f, 4b13
5922, 43df
084a, e8e7
4676, 6517
ab45, 5876
53c2, bec0
3020, 2e35
98b9, cc5d
088a, e0ea
f836, 7bbc
8857, 55aa
82a9, 70b1
4afd, e9a3
fb1f, 08a0
50c1, 2b1c
f8dd, 074a
5210, d4bc
89e6, 0b9d
1f2e, 7a15
2f3d, 9bb0
4cc8, 9e3c
c29d, 879d
62c0, ea50
d2a6, 0077
3a5a, b264
90e3, 2935
c30d, 98c9
ba2c, 61cb
d5bb, 9b97
b038, dc74
f3f2, 5447
92f2, 24e8
2327, 00ee
94a5, e579
5a95, c4d6
4e2d, 1e93
06f3, f31d
1dc2, fb50
e6f2, 8bca
c24d, 6146
0d86, 1b0d
a927, 4f28
84e9, c808
e998, 31c7
4977, 90bc
56ba, fafa
47fa, bb0b
5325, dedd
f4b2, 36cc
1237, af46
7b9d, 8506
0b73, 2444
5f41, f3ff
4a14, 6db9
591e, dd43
050d, a441
5646, 53ce
e961, c4b4
961e, 885f
23cb, 3004
1708, 6d6c
7b34, a765
bf0c, d6f6
7af1, 4ae4
0c30, 52da
4a05, 601f
5486, 58e9
0d8a, 2858
41d5, 0c1f
3823, eefe
7e44, 8ea4
432c, d354
878b, f78b
8fa2, 02e8
06eb, 4c8b
fae8, 8c43
d8f1, 3cfc
fc63, 94be
c38f, 90c4
d4e4, d72c
0d3a, 53ec
67f4, ffb4
412a, 6cb3
6b88, b4d4
9837, 06da
a1db, a1da
0bcc, 0314
bcbd, 2153
67d6, 5c8f
6651, 4014
f442, 2d4c
eac5, 9c2f
0b7b, 0f5f
e91a, d165
dd59, b066
69d4, 6e0a
e4be, 7081
cf11, a716
6052, c7d1
75b4, ee3f
d0a7, 50a7
af12, b918
3e38, aaeb
5dc7, 7dda
4950, 7c33
e7a3, 25e7
4902, 9d6a
2ec4, e4d9
8bd2, 2d0e
93d4, 0fda
536d, e60f
fdbe, a109
e4f7, c702
a1c5, 5108
f37a, 253f
982b, 2de2
4ae7, 0ee3
924c, 7184
5824, 2090
5d8d, 1ff1
4df6, dcac
9024, 8702
37f8, 32e6
e80b, 38bb
64b9, bb21
21de, 6c19
28dd, 774a
14a1, 2623
6e0e, 2a8e
5015, 7fc0
17a9, 33f5
3f00, d692
389e, fef4
2eb3, e481
7fbe, e2d2
f609, 44d3
5c2f, ff1f
e7a5, 237d
0b46, b20b
f09b, 6897
8f51, 5122
59d2, 551f
413a, 6674
3bc2, 49b1
5e84, 6384
6607, 188d
8a49, 7aaf
b192, e44d
795b, 31e6
5891, 816b
e951, e7b5
997e, 799e
fe60, 4d98
cf01, ffb3
cd09, e6d5
4623, 8d70
5453, a64e
767b, 13b3
3317, bbca
a654, bebc
789f, 1c82
aa8d, 6d31
6a3e, 54e1
4aa8, 1e42
1178, 7b1c
a513, e37d
83eb, 9c18
64b3, 1492
da17, 3b06
a8f5, a8f2
8ad5, 7d72
4fd6, 67f8
4045, 0d9e
cb55, f06d
3206, 8411
d642, ee51
9e61, 8df6
a2c2, 7149
ad4e, 8fab
fe73, 85fd
4c57, a1d4
2817, c7db
9dc8, 12f7
e7d7, e837
e402, 84b1
e3ce, 6dc6
4f46, 19d4
7dda, 5dc7
e00c, 62df
170d, 03d3
991c, 096f
c71c, fa55
efdb, 38a6
9c12, ac89
7da1, 1a68
1f4e, 9261
4cfa, 5de3
05d9, 7fa9
e567, 9624
0b86, e3d5
a072, 9c22
c2f9, 129f
449b, 950f
0d20, 4730
fc0c, 5a60
5ede, e596
8fbe, 59a6
1bde, 1c7c
57c1, b007
48e5, 250d
0dc9, 2f8b
671a, 8ba9
d4ac, 493c
4c0c, bf80
cbcf, f227
189a, 86f4
10da, 5823
b4dd, 3026
f4e0, a7a4
639e, 639d
83d8, 3417
f7d7, adfe
eaae, 34a3
285f, 7ff0
4c21, 8e2a
cc1d, 0da0
c3d3, 8931
ca03, 418b
c597, bcd7
c323, b85e
2d31, a039
d323, e08a
6c1b, 2861
e3b8, a8fc
1ec3, 27f5
c6f4, 62dd
6fbe, 48f8
3ce8, 264c
a0ad, adbb
42a6, df33
4718, c2b3
d952, 6f55
48ae, 0ee2
f3aa, bed6
f831, 14bb
6c7e, 29d3
2507, c4db
ba77, 8338
2121, 9724
705d, f7bf
87c0, 4f60
0cea, bfe4
e4e2, c08a
20b1, 7751
f4ef, 5ecf
fb39, e62a
e453, 59cf
dedc, 17c9
d227, 5d68
cc10, 1c1b
1e3c, 1402
4cd5, 3195
777d, 979d
533d, d445
914d, 94c3
5c70, afc7
1f1c, 2ced
9853, c1e9
ed88, a123
d6f8, 5e0b
a822, 7825
edf0, 0c81
088d, c683
ca46, 14a6
bf35, cecb
b063, 3d1d
c04d, 71c4
a08e, 38f1
d5e0, 2372
598c, 0c12
e7a5, 237d
12e5, 8519
3517, ded8
fa41, fe87
3d5d, 9be4
d806, 5052
08ba, 4536
34ac, 139d
