ed22, 5652
a61b, 20c8
5e50, eeed
2582, 007b
7976, 0953
705e, 80f4
6efe, 3060
0d84, d7a6
6c5f, 68ff
bc7e, 55b5
cf03, 6350
94c9, deb7
ad32, 6914
f044, 7dc9
7348, f7e4
1379, a09a
c8cd, 5dd6
5afb, 644e
3738, 773e
8aa3, 0ec4
353e, e0dd
dd55, 8639
04a9, 6260
0685, 3adc
4185, 651b
6d3b, 6050
c034, 5704
870b, bc85
680c, b8d8
d7ec, 0b36
c61c, 2624
da53, 4676
2687, 9d16
3f91, a65a
943b, efa0
ea2e, 5952
397f, ea14
2f75, 2ca3
8732, 2538
bcb7, c342
522d, ec59
2ab1, 1648
f928, 7758
5eb1, 92d3
3464, b4b7
e332, 14d8
0190, 7592
1553, abbd
9400, 94dd
8fa4, c873
ab7a, dba0
9be6, 4026
4a12, 3757
2b8a, 33fe
e25d, e15a
f650, 3c9c
b9e4, 0961
bde0, 53e0
f1b9, 3bcf
97ec, 8fec
0253, edff
b11c, 01c8
19c7, e425
c650, 4c79
834e, 5d99
6d3f, de96
77a0, 5930
f291, a536
964e, cb8b
065d, 232d
4402, ffd2
6685, 9e30
4b85, 4dad
194c, f7d9
5487, 2a1c
d40f, d7ff
d888, eede
64fb, 8b8c
8729, 99f2
eddd, 9d7d
fe1f, 9c2c
6ef3, 2600
43ec, 34ec
7740, 3ae0
82d8, cd15
b0d4, 96eb
f45d, d19b
05cb, caaf
bee7, 2639
996f, 6668
0a71, da88
875f, f790
3c48, 27a8
7bf8, 9297
0385, da64
d8f7, 0c41
9d05, e774
37c3, d8ae
73bc, 1561
7fed, 606c
74eb, 6ace
c023, 4947
b947, 02e0
dbbf, 326f
75f2, eaf6
88ec, 03a2
8250, c96e
35dc, fa0d
b1ac, 6798
5d84, 621d
0f02, 8cee
d8e7, b75c
ceac, c22b
70c2, 8edc
090b, dabd
afd5, 1cbe
df9c, 025c
ae3d, 16ee
e7c6, ef4e
8d00, 9724
22e0, e336
45d9, 9ed9
cd26, 17a1
1aad, cc16
011e, 0115
c753, 3c57
4761, 0f57
afac, b194
5960, 4073
07f0, b6cf
94df, a75f
0301, f44f
805e, d373
2952, 95f5
75eb, 7956
e0c9, 44f3
c3b8, 728d
76cd, 0d97
a7e0, a900
1c6b, e3b3
8fcd, f84d
7698, 366e
4b03, cc7f
9511, 85c4
dd1e, 3ec6
4f05, a46e
d9c0, 1935
4068, 6192
1cdb, 6d06
4b0e, 1c89
bee3, 60a1
7376, 1e7b
3f78, a2dd
d8b5, d46d
40c1, 62ac
faab, 74d7
6980, b14d
63d5, eed0
b402, 46cd
bf7f, 1263
4aee, fecb
b15b, 0c36
9ffb, 2c1b
448c, 4307
e9de, 590e
42ad, ffed
ff03, 2aca
7d7f, f053
4de8, 441f
261f, 81ec
e504, 9ed5
4f35, f6c5
6a56, ac96
5b8b, 517d
6fdb, 0638
97c3, 88ae
94c0, 81e8
86d8, 6768
3dee, 31aa
c92e, 8fe5
60b1, c530
928c, e3bd
2e51, b12e
b281, dfaa
e8fd, b49c
f331, b7d9
c9cf, d512
6973, 9824
fdc5, 4a33
0966, a98a
2948, 6c0a
8f60, 92b9
3723, d90e
1afc, 9868
453c, fee7
3c92, 2893
c545, 139e
5477, 5411
7342, 92fb
8674, 9ec7
637d, 799f
3ee6, 25eb
5885, b7f5
3d4c, c64e
acbb, c4f1
8587, 2f2f
d067, 62e8
a07f, 804c
2d6a, 3126
7420, 51f0
7663, 8d02
a164, 1712
6c4a, 9320
99bc, ea7b
eb78, 9c43
02b5, 9bf9
3559, 62b7
1beb, 7c84
e971, 950d
cc9c, 8898
4c2e, 5482
b62a, 4cb9
2ce9, 01d9
8a31, bf72
8df0, cdce
8a6f, 1808
5e7d, be73
0767, 92a0
e376, 702e
85ac, fb41
c9c3, 4fcd
262c, 95d3
0538, 89e8
476f, b63f
386d, fd88
1c98, a8c9
4039, ad24
d7a4, 200e
5ff5, 2780
7386, 15cd
102e, a849
fcc7, 7335
a27a, 4ab7
7f99, 21c8
a59f, 2ec5
70ac, ab7f
f452, 2d09
e152, c59a
1ddd, c108
e33c, cfcb
e202, 6000
eb15, d690
ddfe, 615a
a6a9, 1dcf
4c9c, fbf6
3151, ce51
c917, ec02
9012, 46c2
2e72, 35fa
3146, c9d2
a08e, 4b57
b327, cab3
9eb9, 458e
7612, 7fbb
6119, dc74
8385, ba52
f60a, e8c9
6742, 1483
ff7c, 57cf
c78e, c4a4
4073, 5960
596e, 2836
38dd, 91b6
07bc, dc08
9c3d, fc2b
4481, a0de
ec45, e563
c7a3, 48ce
a574, 4128
d5f5, 991e
eca7, 2848
47dd, 577d
7758, f928
cec7, 58c3
bc74, b1c4
e9f8, 3447
afa2, 386b
7504, b9b4
b750, de0c
dbbe, 2844
d1c9, dc7a
d3c5, 2dc3
db7d, d5f6
cb35, cb4f
4130, 983b
9a7b, ee44
9025, 047a
15b8, c361
e932, 6830
5cde, 2c20
fed4, 72cb
8465, b258
07da, d137
f6ca, dba3
fb07, e45a
7fd2, 5f1b
dd44, c29b
93ca, 8dc1
af02, 4463
de64, ca6a
8720, c38d
f473, c2f9
3baf, 4ba5
ee7f, 8d7d
6c23, 47d0
0e13, 0a6a
35d4, a7ed
ed99, 9d9e
d09f, 3bf7
2eb6, 7b8f
13ac, 1eed
a482, 36fb
d8cd, eed5
0844, fee6
8b01, 4926
eef2, 6e70
3edc, e5b7
814a, 06f5
6994, bfa9
eecb, 28d4
524a, a14b
01dd, 1285
e237, 19a5
d724, 2b45
8ebf, f1ff
b99a, adf2
6102, 1200
f8c1, e29e
9174, 4179
12dd, 421d
9c49, cd97
50e3, bbd3
616d, daed
f4e6, 1955
5120, 2c6e
2cc5, 9f8b
6e00, 049a
e7b9, 09d4
115e, 6c93
8fa7, 7538
ec07, 1c25
a31d, 512b
d42c, a681
9622, 0f8a
fd79, 5602
7190, 5436
a8d1, af3a
c1e0, f5ba
d932, 37d0
aadf, 8087
c0c8, 2bea
d98b, 0146
e311, 9a75
1563, bf89
ddfd, e1b4
bfdb, f040
8667, 0fff
98ad, 3575
b932, 8327
abf8, c297
1468, 2d91
7d00, 7d88
f4fb, 016d
a458, 19af
02e6, cfd4
5848, 31a7
d219, c18d
c25f, d43a
1521, 8718
9012, 46c2
6c73, 3fc2
e638, 2898
771f, f307
ffb8, 57f0
c693, 367a
039c, 553e
1203, c274
24aa, d863
5fc6, 1864
7bb6, 0ffc
e7df, 68f4
2a4e, 91da
1ad5, 2910
f53e, 75d6
3f40, 49e0
34f2, 9f8e
67bc, b768
e360, ded2
cce7, 3525
6949, d2e5
ae4b, 9b43
2b19, 8b45
09bc, da08
ae2b, db15
572f, 21e9
5c78, bf03
6eb4, c43d
7695, 5679
c2d3, b98f
3e78, 31c1
fc63, 0f0b
bc23, 4c85
cb65, 80de
2a22, 5a3e
8626, c748
982b, 2057
9e47, bdf3
7cff, 7569
c026, 4dde
e8a6, f589
48c9, 91cf
d9a2, 7ae2
8ced, 4e7e
ac61, 143a
d8ba, 0838
a35f, 9fee
8963, 656a
eb02, bab4
ff96, 260b
2ccb, 7f75
d04e, 30ce
ffbb, 2e6a
1522, 0b34
e5be, d781
9162, 4242
93d1, 7c14
fbdf, 4669
910c, 9424
1969, ac3a
e58b, 0b13
188d, 7fa4
c7bb, dccd
82ac, 9ba1
7b59, 17a4
934c, 6025
79be, 5024
3e82, 3e28
2ada, 55c4
1866, 2eb2
8394, 7496
105b, a0b5
81bf, bb07
4b4b, 9cd2
cec0, f5df
447f, 003c
00d4, f6eb
7039, 5769
84ad, d5f7
5274, 04f9
5483, 3412
81bf, bb07
1273, 0962
9b54, 0d20
819c, 1636
edf7, 3818
cdd4, 70df
9cb1, fa54
6531, ba47
2b66, a6c8
8dc2, c0c5
a1dd, 0e2f
465e, da74
1a95, ed80
82c6, c27d
92c2, 8ed1
59ef, 90d8
9f1c, 18f7
7682, ae1e
91c7, 83e5
9b29, 2230
cfb0, 7a66
49ad, d0a4
6639, 7e83
acd3, 0e07
1189, 49c7
f71a, a88a
9f31, 87e4
b633, f3ac
ecf0, b9a1
f910, 4118
ecf8, 9836
7811, 4f9d
06c1, db77
bd44, 26ca
113b, 950a
ed25, 5b32
ff72, 7770
30ae, d01e
f7fe, 575e
9cad, e587
3831, df3c
7cb1, 842c
2557, 8575
872f, 970f
c56a, bf04
d274, 9bd1
a6ff, c21f
57a7, e1a8
d267, bc30
4f93, 2866
ca8e, 6ef1
fab9, ea7d
5cc9, 184c
8a64, 9827
75a5, 2fd9
0274, 8273
80aa, 234b
de3b, 3630
ac17, 5545
1d86, c01b
a56c, f201
59cd, bee0
1dff, 8653
ff44, 499a
cdd5, 160e
3f62, d027
c4a4, c78e
5ad5, 2c3b
8da3, 2d79
c572, b16d
953e, 8266
9c71, 3392
e9e5, 54e5
089f, dd53
9496, 737c
ec93, d810
6b4b, 432b
8806, cc0b
e84e, 3ed5
92d7, 87a7
932d, 848a
8b7d, b5e2
99e0, 495d
b3ce, 0ada
ad06, ad81
4f13, 51e8
f69c, 71b4
8978, 0b51
bcad, 6f70
5079, bb9f
c77f, 4f77
138e, e381
a41d, c146
1090, 1d4d
3e81, 4c0a
0ff5, 2e47
f608, 5cb8
6773, a753
5a92, f459
00e3, 5c69
2c3c, 0e16
2058, 9720
2f5d, 9996
b6a7, 0790
5a8f, e91f
70a2, b04f
5867, add8
1c06, c8db
069a, 5233
9b3c, a4c9
9afd, 81f3
1317, a843
5938, 9de4
a005, cb20
d6ea, 676b
ce4a, 47b1
34e0, 13c5
d511, 0e33
15e9, 6fe9
f51d, dcd2
aeba, 6acc
2070, 4f3a
78f9, 80af
d3b8, 74c7
16a3, 3da1
d7f2, 2da8
c114, 77a1
4ffc, 66c3
a553, 6b2c
acc3, 6c33
2d31, 5657
6b44, ab1c
a612, f0c2
3396, 4491
834e, 5d99
3028, e631
31d4, 15b4
c6e5, 8d5a
72a0, f8c7
dd65, 06b3
12ab, 5358
c6a3, ed4c
8099, dfda
cfbd, 7286
b492, da43
ad18, 2066
f62d, 9e0e
c3ff, d1bb
6c73, 3fc2
0284, 875a
d9e2, d63a
2e9f, fdcd
bfb4, 4391
ca05, 3b2d
0ae0, 21e2
2c87, b806
bf41, ea80
9842, 609a
4417, abb9
f585, c75b
334a, 8172
0bbf, 472b
f069, 4ddf
8230, 7f56
d04c, 08a6
6a27, 0086
b486, 0af3
b215, 6854
89d6, a564
23e7, 0135
0ffb, 8957
2cc3, 78f0
a8ba, cc75
2ab8, 5210
f1c4, 9c79
5851, 7251
3460, f5ea
30fc, 9915
1a84, e38d
8068, c0bc
1ea4, bcbd
a95e, 9637
6734, e7d4
4dbe, a911
07a4, fe3d
5185, c183
4a3a, 11ec
88be, 3479
d7e6, 8560
39f6, 29ab
d8c9, b874
6483, fc59
66e0, db2b
f0de, 7119
cc90, 470a
3777, d3ef
fbc2, a6c5
7eec, 8aaa
516f, bbee
d3d8, f9ee
8a1c, 59d2
2998, b8b4
5337, bc35
2f93, 4866
9389, 76d6
9a28, 2c70
ea46, 6671
543f, fe4a
66f6, 37d9
ebe9, aa6a
7807, 04a0
b80d, 7776
351b, 6d82
cd54, 3104
a28e, 7210
fd6a, 9d0f
fa3a, 8895
b9c6, 65cc
5ca7, a726
60eb, 3948
283f, feec
8991, 752c
04c5, e7fb
e6fe, ac94
f993, 2f2a
fcff, 13d4
4c96, 6624
36e0, dee0
df8e, 04fc
d086, d29d
1c5f, 0624
1d34, 9749
7820, 137d
6db1, cfeb
f10b, 26b7
95f0, 8e42
a080, eec1
4ed4, 8e08
f9be, 54ca
bd35, 6ba3
f86b, 8f9c
77e3, 393f
f74e, 7fce
7a0f, b3d4
d398, 79f6
0e4d, 5bc1
4c0e, 97b2
2337, 04d2
90c6, 61db
84d7, 91a5
b24f, cd68
bcb1, 5a04
71e2, 5822
7538, 8fa7
d238, d0d7
2c1a, 86e6
b983, 8b18
48a7, 91a8
43ff, 46bb
8302, bf74
54c5, b772
f6cf, 764f
20c0, b9d5
fe5b, d1a4
8f93, 2dbb
dcbc, c432
1d81, 6d68
b448, 65ec
fd4b, 5850
07c8, 11bb
b7a6, 60ac
4cc6, e1dd
f7a5, b937
0f2e, ec88
109d, 704d
51b7, f6b7
8a0b, 7bf0
346a, b2c7
92f5, 43f3
d8e5, 62e9
a1b8, 3d07
bb78, ef90
bf31, ddcb
d017, 7d10
693d, 979d
9fb9, fc34
594a, c3d0
986a, 8cf6
6615, 5764
2bce, 00a3
9413, faad
580a, 4d7a
476b, 6403
1f63, 8b00
d980, 0cad
ef67, fbcf
e979, e414
1a0a, d4f6
d25e, b5e5
b9a2, 69f3
6c8d, fc25
c5c6, 0917
2ed5, 5e6e
ba43, df92
dd55, 8639
1488, 0d2c
1d91, f25b
a24c, b09b
837d, c516
2537, 0286
59d9, e904
2028, 913b
4a31, 04e5
4cb2, 93e9
f236, 1b52
07b1, 8f2e
44ea, 1c3c
6c3f, ecdf
fb8b, 295b
3615, dd45
a458, 19af
d60a, ac2d
14b7, c818
bc58, d804
13b4, eab1
6e0e, 9bfa
303d, 47ec
a654, e9fc
f4f8, 8269
1e53, 99fd
d950, e825
3c91, f65b
117b, 85ee
bd0b, 18d6
4fa3, f6cc
d0dc, dfac
8ccd, b3a1
7221, 899c
bee3, 60a1
dea6, a9f6
9c3e, fc32
306a, 2b04
b7fa, 0b23
b697, 66ca
9a6c, 8464
1a07, a1fb
6a35, 8fa2
5b36, 0a73
36ed, 46f1
f747, ec65
1fa2, 1c34
f097, e846
50a7, f9a5
477a, f814
7ece, 5aed
59b5, 9640
c8f6, af8d
c39b, 8e52
cebe, d9c9
391f, 2a8f
ef12, 3473
eb64, 500a
e4cc, 2a7c
a110, e6ab
1fb3, 16bd
9bcb, 52af
a7ce, 174e
f9d0, a4d0
9f3a, 8a86
4011, a5a4
e339, ff9a
2652, ed52
94df, a75f
2ca0, df75
89cb, 2c27
30e0, 796e
9a36, cf52
08fd, d679
90bf, 77f8
e46b, f2e4
8ed1, 92c2
d3a4, c5f2
b958, 4931
079d, d968
13e2, 9766
2070, 4f3a
b6aa, 2d14
ea8c, 8b03
5b5f, 7f20
c99b, 1870
701d, 7dd1
78fd, 3c75
dd30, db5b
5239, 43f5
3cab, da4b
6d58, 8ac8
c146, a41d
3195, b0d0
3b3b, f9b1
a8c3, 2c83
a375, fe7e
982c, 202d
191d, c9ae
f68e, 8ed6
be8b, d160
6fe1, d5a6
0ca7, d8a8
4b08, 71cc
31da, c5b4
0d09, 0dd4
894a, 188e
a292, 54dd
f71e, 77ae
abd8, eaf2
be9c, fdc1
c81b, 35e7
8de9, dd52
abbb, 7449
25cc, 3d4b
ecea, 215f
623a, 7f0c
bcb2, 4d13
41c8, 22a2
8668, 09f9
0998, 833d
64a7, 5b30
b775, 2415
9226, 66fd
db03, 28aa
333d, 2e50
cfc7, ea52
14fa, 1c22
9a92, 5c6d
739d, ee3e
cda5, 5bc9
fd73, 93e3
d65d, 6109
1621, 61a7
b94e, 64a2
37d7, 8c2e
47e7, 4f6f
8a1a, 20c2
78b6, 55d2
bcf1, 6c98
26d1, c825
258f, 24ad
68c1, b81b
c8b7, 84d9
67c4, 018f
66d6, d887
6c3a, c5ba
044f, 6235
7817, 72e7
3a15, 0000
ab90, 5463
a16d, 26b8
ba59, 6c6c
586a, ddc2
8c7b, b398
ca52, daf2
84d9, c8b7
a486, 5c75
ea5e, 5bb9
2a4e, 91da
f686, 3d67
38d5, 2cd5
3c09, 7b48
e1fc, 9d5b
f54d, 3591
bba6, 5516
1f58, a757
8c3c, 5a4e
8425, caee
fea6, a0f5
6e9c, 14fd
fc79, 44c7
0173, dc15
217e, c8a6
33fb, 6b42
1ff7, cf9f
412e, 017b
5625, e625
824e, d281
542c, bc2c
79fc, 1358
29ce, 071d
916f, 8139
56b8, f1b0
1a59, c4fb
f3fb, 5e8f
1484, ce0a
846b, c960
5028, f820
84cc, 07d2
aa2f, 36b8
bb47, 86b8
fa74, 9cfc
4131, d258
80b5, 2987
9ba2, 40fe
fb92, 4920
c6f8, ee80
ea19, 7103
ed5e, e0e5
8533, 4af0
0191, d197
9ef2, 9ea3
63f6, dc92
d4d9, 0d43
5332, 0580
ed19, 6649
3320, 24fc
343f, e167
f890, 71ea
7884, 318f
6238, d0d8
7920, b2bf
a874, f8ca
46d9, 9bd9
7110, 172f
d0e6, 015c
c70c, 1a57
d4fd, 11b1
097e, 8f0a
d671, 6017
8678, 3b34
d156, fc02
ffa8, 55a0
aaa4, 49ff
e0ed, a8ec
0dfa, 22ee
60d4, a9dd
ecf1, 962b
0aee, fcf5
1b8a, ae78
4fa0, d559
1a3f, eccb
9283, c906
f5e4, 34d2
53ff, 968b
f721, 3be0
b4e7, 5c83
2da9, 0dcf
bde9, c7e9
1859, 81cb
8005, 2977
7efd, 181c
491e, c7cd
16d1, 954b
775f, f7bf
1b36, 1c9c
73f9, 669f
08a7, dca1
eb5b, 9279
a9e4, b2fb
56d0, 2e8c
161d, 7d7b
a853, 38fe
ca21, b3b9
c6cc, 15a7
0317, bbf8
4464, 4968
44df, e746
ac81, 9804
7008, df99
b0ea, 215e
1cb7, 70dd
f360, 7dd2
2148, a85d
e12e, ca24
62f7, 7aa6
bfa8, 0530
49bc, b5da
afd3, 29cf
334b, b613
72b4, c62e
bf98, 8eed
1c73, 36f1
2f0e, 3963
dc9d, 8b8b
6ba6, 2d0e
4d20, e309
4142, 6e10
3007, 3258
0732, 8742
13f4, c35e
3d39, 7869
7b5d, 90b4
3330, 070f
a58f, f648
b3c9, 2aa2
4b42, ca23
430e, f90d
e7ea, 0d3d
42cf, 00dc
b2a5, b248
e870, 9c61
9633, fd9f
af1f, 3c2b
c17a, a3b7
f32f, 9334
adfd, 3abd
7587, 82f9
a359, 9863
717c, c157
5481, 3ac1
9470, eeaa
c992, 1f82
7c67, 74e7
1ab9, cb7c
e15e, ac93
e4ef, ec67
2b22, 5d35
1551, 7947
17eb, 7c3b
5c68, 2813
a7e7, 496f
1158, 749a
1160, eebe
6ef2, ee58
3837, 9cb6
3a47, eff8
d7e0, 3d6a
e6fe, ac94
f18b, 037f
5097, b298
a3d6, 42b0
49b6, 520c
5909, 62b0
e283, 6953
9f4c, 7f14
e8f4, e053
bd09, 4a0d
b05e, 6744
13ec, 3081
41ff, a548
b22d, 8b81
a895, 198b
de58, 100d
2654, 4eca
bb74, d4af
ea49, 13d0
b667, 413a
58c4, 45d7
9971, 4911
f2c6, 3a6b
a176, eb18
b4f6, 18dc
c6a9, 046f
d828, e957
ee5f, 535a
5970, fa6c
5d2f, 71bf
1677, e02a
07f6, e96f
de75, 7474
d8eb, 39e5
5883, 7823
25d4, f630
d9c5, 142c
6ffe, 02fa
63c2, d82f
2163, 2c50
dbb6, 678c
c6b0, 135b
3f04, 55c9
0de8, 39d5
e6a2, 0d46
451d, 957d
115b, 7c56
baa1, 265b
8ceb, c73b
3be6, c8da
1188, c497
ee66, 927c
2eb6, 7b8f
699f, 8b07
7798, 1cf1
f51f, 80db
b385, b40f
7618, 886a
5bb8, a10c
f94d, 65fb
ce34, 6461
258a, d4a9
de5e, 1243
7c7a, c63d
4de1, 57e0
4444, 4999
5369, 5de7
77d5, 298f
0d85, 9948
fafa, a4f9
2e4d, d469
a809, 8c40
7631, 8bd4
d74d, 0929
8cd1, 9a64
45cd, d76e
0d85, 9948
4edc, fb64
cafb, 6b1b
2dc8, 9aec
b2ce, e59b
1e7e, 637a
aded, ab50
e945, ac83
61c9, dc84
0d30, 5eeb
6d2f, a1bf
0de9, 17e9
4ab0, fb5d
8834, b686
9530, 15df
b87b, bc10
7ca7, 90de
61f9, 37df
de6e, 90fa
9d20, 31f1
858d, 04cc
99a8, 254b
d0f5, 3b85
eac5, 5a73
7631, 8bd4
4331, 3ae1
6607, 428a
ca99, d05a
1ead, b10b
3459, 0276
9a7a, 5bda
b9e0, 501b
9b9a, 636e
7acd, 8a4e
037d, 7fe4
c1cb, 6ea8
21ab, df85
f9ec, 5e83
d4ca, 7203
689b, b08f
1d20, aa88
80af, 78f9
746f, c8b8
1a9a, 7f01
6aef, 00cc
3cb0, da52
0aae, df95
e118, eee8
8fc9, b695
491b, d9d2
9d59, 4de4
04f1, df7e
0225, d5c1
40cf, 8632
f28e, a3b9
f1f7, ae34
3c0e, 27b2
690a, 26f2
72d2, 9218
3165, 58d2
55ed, 5957
2149, e7aa
e2b7, 33dc
c0f2, bade
d0ea, cba3
0fbd, aa55
7f45, b5a7
a185, 6125
73d8, 17ed
6e92, d224
98ba, 5b84
e14d, aa01
fd88, 386d
11cb, 57dc
abd9, 27c4
8914, 9941
8692, 06ff
d61b, b9e1
ad40, ca18
818b, bef8
0c0f, d16a
92ce, 4312
3f2e, 5f33
e346, 6583
38fc, f4bd
1926, 632b
403b, a36e
6ea1, 1d4e
65a2, 22ec
4d4d, ab72
e52c, 6d80
0c50, b13d
cdbe, e487
49d1, 5d3b
55e5, f5af
9053, d41a
e2e7, af12
de13, e093
8feb, b9a0
e5ee, 306d
7485, b3f8
d682, ab74
e6f1, 13fd
048c, da87
8e0c, ce08
1bc3, 6978
057e, 1914
b33c, 140a
9bc6, d16b
e4c7, 5fc8
40ee, bf1a
2b37, f050
5506, f5c7
6344, 13ae
acd7, 27cd
cf57, a828
8711, cf93
f178, 5670
e505, dbbb
81a5, 91c2
813b, c730
5ceb, 24d5
d60d, a132
375e, df03
0c00, c3a6
a393, f292
631b, 1c10
d3b0, bafa
3417, 2917
c01b, 1d86
da90, 82fc
2727, 0f27
1ec4, c505
b6f2, 7c9f
9ac9, 6501
e508, 33d1
b4f6, 18dc
934e, f392
c2f7, 40f7
d997, 7550
49a9, c560
dabe, 4a8d
38d6, a1db
5dcd, 4acb
37d0, d932
e081, ce3c
93bc, 381f
15ee, 7594
d8dc, 0cb1
f342, 0de1
09f5, 2d4f
d7a5, c48e
dcae, 9d10
02f3, 22e8
c5e1, d766
cae3, 8a52
76c3, 7380
adef, a02f
e478, c60e
d174, d119
8b42, b0a9
fdda, 96b9
67bb, 4a46
53d2, 23de
05fc, 899d
73fa, 84fd
a6e8, aa1f
4e81, 3e06
118b, 732e
f7b9, 5b79
a7cd, 494e
a019, 76e5
8b70, bcf0
87be, 5a1a
3ba4, d522
7575, de74
9fa4, 4f9a
a779, 41c4
4ae1, a1dc
fb0c, 5801
3b23, e7fa
b1e6, 0c20
023d, cfe1
2d23, 5de3
2fcf, c8de
0f45, d52e
2466, 2a55
d044, 30c4
c963, d369
d4d8, 3d49
6209, a46c
5156, 830d
7b8d, b2b6
0dd1, 7107
1cdf, ac3f
ac5d, e3bc
