6745, 1042
53b6, b8a7
ec7b, 82f4
2c51, f972
7e5a, 7016
683c, c197
5bdf, 121e
c1e1, a482
766d, 48a4
2c23, 52d7
0bce, 716f
2661, 19a1
8694, 4e57
e3b7, b01a
7dc0, 3f97
c727, 0683
2666, 9eee
8138, 8d9b
36b0, 46b8
3802, 9d0e
a7f9, 5a26
cb69, 7dac
792d, 28c0
8a65, 7127
2407, 2f77
0976, c3a5
872c, b380
64a8, f048
b5cf, 0385
d6b3, 4208
6432, 7f01
6687, 0b76
7c9d, 7726
d845, 261f
92de, 64ef
5863, 5fc0
6c83, 7c3d
3315, 798c
b227, 5492
162c, 14bd
9f67, 4d12
6a7e, c37f
4566, f69a
d5cd, 435f
6a1e, 904f
822e, 4c0b
80ce, 4978
4531, f6ae
c8bf, 5ef8
ecc3, e697
fec9, 451c
5899, 843e
f2f0, 1840
473e, 24ac
a7e2, e4a6
fa5f, 209d
4d81, 4428
8fc6, de07
9eb1, eff9
4ae0, a4bb
029e, 5454
5c2f, d28a
a7c2, 56d9
2d97, 2b56
d43e, fe58
f795, b39c
b258, 84c4
f6a0, e779
5227, 3d1a
429e, 4862
ef59, 26b3
481a, 24d6
baed, 319d
049a, 797c
78f7, b507
2a21, 1be6
f924, a86d
a5a3, 9c76
275b, 4332
4d61, 2d6b
5ee9, 0445
9201, eabd
73e8, b7aa
3041, e335
d49c, 820e
f1ab, ed31
f9eb, ac29
53b4, 7f34
0415, 024c
9693, 6777
148a, bbe9
39fa, 5c2c
26c2, f9cd
2268, 4191
d632, b57f
ec11, d60d
1198, d831
2ee0, 4fec
c205, 9dbf
da1d, bbb7
53da, 591a
6213, 0dcb
f544, f1e7
c255, 0488
4d49, e8f5
5feb, 7dbb
581b, 6e84
c11a, 85b5
fca6, 2075
0c2b, 1092
7cf6, 7015
9f1c, 58ea
41bc, 208d
abc0, b2ff
ce52, d293
c7f8, a0ff
e13a, c4c4
2a01, e772
efe5, 7346
5172, 55bd
7308, 73c8
61cc, 5b39
4ed5, b4d6
2d6b, 4d61
7131, c014
3461, 91a4
2887, c03a
50e3, 9947
2137, 25d6
f3ab, c61e
c77f, 0604
9b5c, 92aa
4361, 4672
b745, fd78
318d, cb4f
10a0, dfb2
ebc8, cef3
b461, d471
e337, e377
c621, 7012
a7f8, 0aef
555b, 9358
8191, 73d0
9b9d, 1430
c6f3, 75d9
422d, 1d4f
372e, 879e
91f8, f5c0
c8f7, 7bf9
acbf, 9e9d
9390, 4f38
bdc6, 404a
9067, 4d78
41b3, 4db5
f283, cae5
efa4, e29e
6d4f, 52d1
53c3, c67c
60df, b50f
1fed, 9fe5
65e5, e458
f797, e669
3816, 353a
0b3e, 0a12
fb5b, 49d6
67a1, 609d
443c, 30ef
328d, e245
68da, 5e6e
550a, d16b
101d, 2912
1247, 23ee
bdee, b2f8
e142, cb93
bef6, f2e3
a40e, 926f
a924, 79ee
1bbd, b538
7797, 02b8
2659, dd44
b0d8, 777d
61c6, 9d99
fcae, e5ad
b048, 2321
2a2a, 82bd
6930, c363
0d1e, 3fe8
ec9c, 7250
c6a5, 5777
eea1, d492
e85c, 44c9
ac60, 6059
7a9e, 759e
ba70, a8bb
3afa, 53a2
0dea, d53c
5d8e, 628e
5df8, 31b4
c361, 7578
6eb2, d063
319f, d273
5f89, cd15
0465, 91b2
d9e3, b50c
079a, 1d9f
d252, 5193
1f5d, dc10
0da4, 9802
64d8, e415
6418, 4213
95cb, 3a71
19f2, 83f4
9580, 9a8c
43c2, 9b3c
7b2e, 4c81
f57f, e4aa
2c81, 020d
88dd, 42fb
e824, 4357
40f6, 4a15
3098, 4403
6191, 7bab
ac59, 66c6
c50d, 35d9
bf58, d4c2
39e9, 3f0c
2266, 887a
07f3, 6c54
cf9c, 7540
f181, b93d
50aa, 606a
5731, f269
14db, 8b82
1b10, 7a29
36a1, 365b
c78b, 634b
7d3e, 5231
9f82, 7d41
10dc, 379c
9bba, 18a4
674b, 6158
3a45, 383c
5050, 33c7
06d0, 223d
5bbd, 2081
b114, 8e1d
972a, 492d
47d0, 16ea
5de4, 78dd
81cd, dd01
fe10, 281a
781b, cf1d
3c44, a5fd
ad9a, 3aac
0119, 6285
2363, d6a7
0b81, 641b
56c0, 9559
27a9, 732f
ec74, fb73
e644, e622
89f3, ad80
ada2, ea8b
f55f, 56f0
5264, 717d
944e, 2677
e87f, 8ad6
42af, 4f9f
ed68, 0209
3db0, 6e10
02be, 26bb
1126, 959b
9737, c4e0
4e61, 483b
fb85, 8145
173b, 1d57
67e6, 608a
57b9, 3317
5821, 9bdd
9cc8, 7d53
3f4d, 7e4f
8752, 1b3a
6e1c, 6be0
d756, dedf
8822, 3c03
a4cf, cbc1
419c, 4279
6543, 7717
3b5f, 9408
576c, 6eaf
cb2a, 38c8
0431, f02b
5247, 6e23
661f, ddf9
9761, 7e9c
a8dd, 0def
dc02, 4c6f
9be4, 811c
d1e6, 1bb3
4fa9, 4db2
38ec, 75a7
75c1, 0acd
b50b, d7ec
6025, c5d9
4d13, f3ad
a682, ec32
d211, bd14
7eb6, 0f6d
96e0, 5352
93df, a088
1568, 1bb4
90d9, 9ab0
bddb, da4a
9ff6, 2c73
7861, 3d38
5343, 2c98
f39f, 228d
63f2, 354e
b583, dbc0
8377, 8777
668d, da09
7cc1, 4b3e
d097, 29c3
2ce3, d0dc
0e9b, 9ecf
a70e, d7ce
cc07, 3c93
47b8, e6db
03ea, c71c
5241, 6ddf
7a1a, 67e3
d404, b49b
7c28, 5722
3c96, 5a07
817b, c6c6
54f6, 58d3
78d6, a82c
3af7, a5ab
b889, 23ed
f650, d00a
6330, 9c9c
661d, b5c5
c3c1, 5989
64b7, 6a8b
6bf7, c8e9
9321, 358d
be66, dbde
4016, f953
7767, 59c3
b08f, d6d2
3c02, a0d5
6733, 2773
1351, 7f7a
af9d, 0d92
e8dd, da00
b03f, fc9e
7de3, b557
5d9c, af53
c32b, d60b
5867, c22d
1acc, f111
501c, c926
0f07, cfc7
e58a, fab3
da5f, ac88
3641, 0922
7d56, 0987
0ef4, 3bff
2fc4, 227e
4027, fab6
976f, 496d
561b, a5bf
231e, c0ca
28df, e418
cdd4, c21b
4780, 8649
e743, 127e
37e3, 1826
3c25, a3e6
e43a, 8200
cb63, 6d05
c793, 5c07
5e15, 78da
f4f7, 96f9
916b, 747b
ab41, 4aef
ba35, 4a93
3781, 85af
a6a4, ac92
6f7a, 083a
1c21, 2aed
418f, b121
6445, 6795
4413, 82f5
8613, efcb
4865, 8857
de09, 14ca
b90d, 4ac2
6bc9, 0d3c
067c, 9795
9697, 044c
2014, 5f9d
4c20, 4316
a7e7, a594
decd, 1158
3a69, e91e
45e4, 268d
f46f, bb02
966c, 0733
51bf, 51fb
ac9b, 4b91
404f, 27fe
96c7, 5999
0622, fd1a
0a18, 5dcb
6d29, a11c
517d, 58dc
b09b, 406f
3318, 88f3
f59a, 74fa
dc89, 4e6a
28c5, 35dc
b936, 4095
963e, 1c84
2717, 5068
4589, f620
a93a, 5886
813b, 819b
5ccf, dd56
424b, 1f82
d2e6, 2c1d
1432, 9855
4477, bb63
9ca9, 6007
dbfa, 6c12
9897, 421d
0558, 9d9b
d253, 6c88
b419, 66be
d8d2, f1d4
f459, 236f
7b2f, 3e1d
64d8, e415
7998, 5198
b486, 0a0c
2897, 426d
7f06, 1d9d
f485, 8e45
3639, 6679
c2c6, c470
8cd6, ac36
ef65, f13c
1c81, 666d
107a, 631d
51c9, 8fbb
3778, 3a84
2a8d, 5baf
1f47, 56b0
bb69, 117a
d07e, 47c4
fd61, 183e
e736, 266a
f788, 332e
1096, b2d4
7efc, 7fad
de9b, 0591
2efa, d2fc
e623, b687
2ce8, 0d0b
6d5a, 280d
d1a2, 6e09
6785, c619
a042, 39f1
4ea4, a407
baf2, 15f4
8522, dad1
6852, 9231
de1a, 2d19
1ddf, a027
5d61, c5ed
fac4, f2d1
556d, 8b0a
38b6, 6be9
2ff8, a069
6f7a, 083a
6442, 02d1
f5ef, eaee
01ba, 3202
38a3, be3e
a747, 53e3
412a, b115
13b4, 89d2
1abc, bad6
2302, a529
f415, b4f5
762a, c585
e08a, d0ec
98c9, e1df
d165, e470
c21f, 5663
cbec, 0c5a
4546, bfff
23a3, d3a3
8ec9, 8fc3
3f2d, cddd
71fb, 9fdf
482e, 1eed
8860, 80bc
26f4, e022
ff59, d466
2ed4, 848b
da52, 47cd
6392, c9e9
8ab1, b9fe
8a75, f776
ca6b, 5983
6b36, 8b51
8951, f017
2f14, 2031
5a70, 509c
19f1, c398
9e94, 6e52
d4c4, 2729
5e4f, 6e41
663a, 6473
5ed5, 0b1a
0ae6, a3fe
93ae, 39a4
9782, a94b
7e0f, de03
ea3a, 8aaa
c041, 615f
e1c8, ad2b
721c, 859c
f677, 8973
94f7, d0e5
3b16, 8306
49d6, fb5b
7514, c7f2
c5ef, 405a
1fe0, e781
6da8, dcf2
846c, 2233
3452, 4355
d87d, ebaf
bf20, 4dd0
b972, 8155
c70b, 7601
d8b4, d968
0983, d024
244b, d7e5
7091, 7c9b
af9e, aef9
67cb, 6701
de8b, 497e
312e, 34a6
c80d, dd77
58d4, 62be
35b0, a6da
02f3, 2353
f558, 4bd9
20e5, d10c
6bdf, f43d
3722, c74b
d876, 6251
effe, ded8
372a, 3547
79ef, 594e
d0e6, b46c
940c, f862
8172, ff04
47ab, 190b
49f6, 2680
14f9, 092a
dc4b, 4129
c0da, 0cd5
bf7e, b458
2504, 1467
52ae, 943f
3e9f, 6f3e
496e, da17
b444, 3444
4869, 8130
5d02, 598d
c437, 71a3
7d6f, 786e
b49d, d27f
4974, d96b
1b78, b178
1791, d664
d118, a224
e363, d09c
81d5, f829
2985, 2e6b
a5e0, 9926
f891, e6e0
b807, 6aa1
9a23, 339f
5566, 6a09
826e, aa77
c0cf, c77e
25ef, 5f49
21b1, b5a1
5ddc, a220
c6c3, 2b5f
261b, 2ff9
69ab, bb06
4757, e075
15db, 7334
edc4, 8720
600b, 2154
8d4f, 45e7
9923, f254
0187, de3d
317b, 38bc
9db6, 6fbc
f35a, 904d
017a, 6978
ea24, 5bbe
140f, de5d
6a6d, 097b
77e7, 6683
2f36, 5b04
1de1, 44de
3657, bf3d
81c0, be57
67d8, d375
842b, 2d11
efcf, 1b7e
9ff4, 1ee8
1b15, 888a
94ae, cf3f
f03f, 439d
16a5, 9fd8
51d5, 235a
de03, 7e0f
c4d3, cef0
ed0d, bbaf
1d2a, 6045
7ac8, 63b6
023e, 5a84
13fc, 4c29
836d, e738
1b63, f460
2b8d, 177c
c30b, 656d
464b, 894d
4558, 6c14
b075, d633
f9ce, da0b
28ad, f9d5
b8d9, f4fc
98d9, 265a
b59c, eaa5
c6c3, 2b5f
ab7d, 3187
1244, 46b7
4791, e932
f826, 59a9
2818, 62a6
d853, 1b35
5869, 98ca
d28f, e42d
cf72, 7e74
7273, 5177
649c, 8832
f274, f264
037a, 08b7
3a2a, 5f67
9251, aa2d
c8d5, 3d27
a922, 9621
6dcc, 5d95
8f26, ca27
805a, bfdf
6418, 4213
3b59, 7dfb
0538, 8f91
6613, ccf0
5a9e, 8f06
0a57, 0973
8651, e57d
bb05, 5a7d
2605, e69c
9780, 6340
20a6, da59
3af3, 5a32
94a0, 78c6
6feb, cdee
77da, 60f0
ca6c, cb1f
e0d5, e34a
f310, f7e6
e5a4, 5923
20a8, 2f24
f3ab, c61e
a73a, 0660
3ee4, 9166
4014, fc1e
d15f, 922c
9655, 6c06
a993, a769
5cc6, c099
31c8, 502d
5e4a, 5bb5
d7d3, f6e7
8e36, 191a
02ad, 7438
198f, 2ab8
18e8, 27b5
3b44, 0d1b
65fb, b693
c8c2, cb74
ca52, 1254
ecdc, f940
1a3f, b70d
66f0, cc13
b9b8, 6bed
4bee, 7be0
2e65, f38c
0b3c, 0b7a
251b, 4ab1
8acb, 2c5b
5b23, d5eb
e1dc, 53de
642e, 7170
6289, 0bb9
3764, a6b5
a419, 3264
01c8, 7eb3
b132, 5d0c
a2c0, b14d
2a2c, e4f8
0b07, 0307
5e25, 2976
c96c, 79a5
ec7f, dba6
564c, 39ea
023d, 0ea8
a9e5, b277
229c, 1125
fc5c, dc70
6fdd, c11b
6cb2, aa81
27c5, ec5c
864c, e9f5
ffed, 8dd8
12fc, 2243
75eb, 5cbb
1ae8, 65a6
5be1, 38b2
ec3e, faab
7afc, 30b7
442a, 9b7b
9076, 417b
727e, 796f
2685, 86e0
a2a6, 7d6c
5a2d, 991b
c153, fb7d
2ab5, f9b9
aa17, 57b5
6946, 6327
875e, c623
ca02, e19a
141c, 0c1c
097c, 8fa4
2959, ba57
c280, 0147
654e, 9324
f507, 7d44
0a84, 7ba8
f2b5, c630
9106, 8da2
1fb3, 25a8
1290, b49c
a6b7, d934
f6e3, b7b0
8fce, 8ea8
8f7d, 626c
94f0, 3b8c
7689, 7740
178e, 101f
84ca, c1c4
5ffe, 367a
c58e, f99d
6664, 0cce
0cd1, e93c
d91a, 8e3c
d065, 6416
83b3, 1f97
e902, 4ca8
b6ed, d813
859b, 2e29
6ab4, 56de
8ab8, 81d0
265f, faad
08a2, 86ff
14e6, b39f
734f, 10aa
2310, 4727
f436, e7a4
49bf, 238e
b463, 616e
957b, 9a71
2516, fda7
a2d2, 605c
5519, 0f0c
c62d, ff97
e726, 251a
2272, fe02
c7eb, fea0
4eb6, 20df
4bf7, 21b7
d9a3, 0142
26ce, 4a68
c338, 47f1
3c6a, 5ff7
5a9b, 4123
4eec, 53f0
fd11, 1eee
0843, b330
5e73, 79dc
c396, 0a79
361d, 35b2
5dd4, 38ed
88e6, 8dd9
3e14, 68e8
58a7, 52a3
278f, 864f
b77f, 1130
9381, a80f
b043, fdc7
25db, e381
1f57, be96
6900, 7630
c9db, a322
ba60, 1770
af27, a1d7
e52a, e2d8
b55f, a2a2
f35e, 8a6b
097d, c3cb
8175, bb09
21d7, 93d4
c2c8, 6bf6
9dde, 582b
54bd, 6142
aa9a, 5bb4
60da, 679d
4d8f, e2a5
fb1e, 88df
69ae, 75a2
a220, 5ddc
7990, 0fb9
ea36, d00c
ea6d, 4c7f
3c42, 5ae1
bb6b, cc77
1131, 7805
5b79, 3466
214a, b127
a634, ac52
0949, 754a
cd7e, 43b8
45aa, 6ef5
e6fd, 04a1
c1fc, b14f
2812, e121
8f5b, 8e64
bc23, fddb
0bc0, 608c
28bd, b4b2
df02, be51
4e83, 4489
443d, c100
bf17, 75e3
5fcf, ae7e
ac44, 3a2b
25e8, 3cf5
537d, 5578
ecd1, 5fe7
24b1, 2572
8c28, 8b8a
8581, 1a4f
fce3, 1016
fe3e, 4cd5
c6c3, 2b5f
f414, de8d
6d25, 3161
5980, 3662
3896, 3dca
60d8, c25e
203d, fa64
eab9, f0e6
bef6, f2e3
fedb, d6e6
902e, 5e58
8df5, cc43
b803, 2fc6
4f83, 6e8b
1b98, 9469
3401, 5fcb
5579, 0663
08d2, aed4
0311, 33d2
613e, cd52
5955, 5b87
0b3a, 74a7
6b5e, 6912
fe53, ef55
a8f7, 68b7
fe90, c054
9c3f, 50ae
ae19, afce
5c09, 7635
62fe, 3ed2
2b89, 1845
0270, c267
6502, c56f
b022, d64f
58cf, 26bf
ea42, 3bed
41c1, fdc8
2622, 108f
4fb3, 92d2
d115, 4ff6
1adf, a2cd
0212, 0a28
ea61, e67f
c5be, e951
c79b, 6c38
8fb0, 8a42
dfd7, 68b4
8bb7, 91f4
79eb, f067
df15, 0782
afda, 7113
f800, 4d67
f2be, b267
5fc6, 2ede
6469, 57b7
4984, e5df
e008, 8a91
73a1, d2ce
d47c, 80e7
4dce, b7f0
f025, aedc
d04a, 2bbb
a7af, 909e
481f, e1ed
bbe9, 148a
4445, 5018
c3a8, bfa7
e539, d7a7
dba2, 61f4
2c9f, c9b3
40a9, 9d1a
5fd8, e42a
5c67, 72b7
e056, 1aa9
f40b, fb9d
45bd, c564
0c85, 07e7
d875, ee6c
8067, 3107
8110, 824a
6d24, d6fa
b8a2, 6e56
009d, cc2c
b436, 1236
db67, 8256
82a4, 087c
a9db, 3874
4871, 90cb
9657, 9906
e046, 4137
3869, 3dac
c2e4, 328e
b597, fa33
118f, 136d
8a6c, 1c76
37eb, a52e
9180, 3e46
91f3, 02f0
1d97, 11a6
5cc7, 6eb6
605a, 0f73
4f40, ebf3
382f, 0e4f
aa61, 5a6b
7ed3, 6b15
bdf7, f1e3
7ac9, 7590
ec2e, f0e2
ded1, f412
34b5, b0dc
44cb, f9b6
347a, be6d
05d3, f538
dd7e, d87f
bebc, 7a7c
5003, 7653
6625, ea9d
c819, 3126
af84, d4b0
dfc6, dad7
8ad5, 01b5
1537, 1753
5ade, 5618
ced8, 44d5
70eb, 8304
0d46, 6be5
d1a2, 6e09
b95e, 2671
f9c9, a0fd
920d, 540b
180b, 5309
1f42, ec06
0a51, 699b
5f57, 0dcc
5d95, 6dcc
dc36, bed4
00f6, 7c85
339f, 9a23
087e, 851e
f63b, de66
e750, fcc9
ed9a, 6a0f
4571, 8031
8173, 2270
b7ff, 1642
1c53, 119e
fc41, a566
022a, 8945
ad67, cae0
6602, cccf
e905, 8ca7
31e6, a2d0
a8aa, 73e3
d7a8, 1d90
8eab, df7f
35c4, 9962
3d84, 5b48
6af5, 729a
5b6a, 527c
37c8, b43a
022c, 04b5
5964, 5ac2
b942, ef13
c410, 7827
2d6d, 6fc3
03b9, b9cf
17c9, ec56
2253, 4e39
d8b3, 1847
90ba, 9380
cadb, 2816
b5ba, 8af7
329b, 7d3b
7911, 7011
121a, 31cf
7f25, 9eec
64da, 7b89
4c42, 8cbe
8d72, ff0e
4a7e, 4952
d1d2, 4b28
e857, 4e03
5d9e, 7f72
9b2a, 0178
9afb, 308f
1840, f2f0
aa45, ada7
f8c9, 8d9c
a363, 6c05
7adb, 91cb
d02e, 549b
f762, 4301
9355, 98d5
18b2, 2be1
3b1c, 3933
f21e, de88
c4ac, 5dc0
c5ee, 027d
4d5a, c372
998a, 03b7
fe7d, f5b9
5487, 8f7f
b99e, 3d00
cd4b, 5414
aac0, 9097
0bec, 196a
35f3, 90e6
58ce, 9724
fd18, 8cf3
88db, c463
63a3, 55a7
caf2, a94e
8d56, 2bc5
209d, fa5f
ca2e, 30c8
5eae, c2af
531a, 5513
cfe2, a537
8c7d, 8244
e47a, 3758
6d11, 5df2
b909, 7ffb
08c5, 0836
6f9f, 7be3
cd75, c137
4a37, f376
819c, f074
a909, 0c70
48e2, 1729
597f, 8d0e
4172, a2a9
93e1, ace2
8024, 1123
2ef9, 2be0
e5ee, 4688
dce5, 6d27
7952, c33f
6f00, cb05
534d, a0bf
413c, ed90
b30c, 01e0
418b, 141e
5cbd, 89ac
850c, 723c
28de, d88e
1aff, 0954
acf3, 2e27
2af7, 11bd
446e, f464
3d93, 6bc7
8c6f, e301
03a8, 8100
3511, 88e9
790f, 63c2
e19c, 56ad
4d3c, ea87
c1ab, 6192
9485, 0bb7
479b, 239e
ecc5, 2757
b94b, 095c
4d2a, ffe0
7dbd, 0560
0629, 798a
1325, e610
a68c, bb9e
b30c, 01e0
c5ce, e5b1
d81c, 4e89
db82, f14d
b935, 88d8
cf54, 9ab4
9a34, a04c
f2a4, 3aa2
78ba, 7213
f80d, 8d92
18f3, e410
b45e, 7576
9d65, 9f55
ab7f, 9ab1
ed27, c9e6
c069, aa63
71ed, a21e
6095, 56cc
3493, e104
2403, 4f0a
cf6b, e800
3e80, ada1
3ea0, 9b35
7a81, 001d
aa08, a3cb
473d, 972c
ac32, 905f
9ef1, b225
49c3, 8c3c
e04b, ba41
a03b, 5c31
77a2, c694
2f40, 8183
c53b, bf74
46c4, d798
5676, 3f44
53c0, 0305
6c7b, 8b71
ab3d, 513d
ba23, d307
e4b8, e33e
1a6c, bc60
5a9e, 8f06
9eb2, 74aa
1294, ccb7
561e, 334d
c95d, d1c0
24cd, ef6b
ad91, c878
27df, 862e
5db9, 205c
e4ed, 84d4
a18b, 3244
be56, d297
5a16, 951c
fd7f, 2f88
1538, d8f4
2dd1, d36c
36cf, 5002
8bd4, d128
efd0, 6029
7afb, 508d
5904, 5a72
c13d, fc32
1c41, 804b
a1f2, ce44
7aaa, c37c
2798, 939f
62ff, 3b22
0b63, 931a
bd28, 2fbe
09f7, d1af
6e9c, 62c5
6e2c, 7489
8c09, 1095
70f6, 76b9
67dd, 79d8
fbd2, 8b41
15ee, d3bb
e369, bc36
dd92, 705a
b722, 1be3
fa5c, f077
2a37, 4977
59bc, 90d3
71b1, a957
6874, 847a
a6f8, 0c81
baa9, 6fd7
4988, 831f
a198, a2c2
4d6b, 279c
7b78, 0eb3
2921, 8dfc
dd06, 27e9
7f14, 3d82
2708, d4df
49b2, f3b4
5d5e, 746f
9acc, 5057
0bf4, 9f1d
ef08, dc8a
4b76, 8949
4360, 9a44
4d30, 2850
a071, 1e20
8f2a, 191d
ddab, 8b5d
ece6, e589
b164, 1b62
8af5, 6e2a
e8b7, 5a14
b22d, 9060
3f10, 51e3
eb58, 219b
2d5c, 2a8a
9db8, 3dc6
6e0f, eb9a
d4ac, bb70
e639, d997
9375, d80b
cdc6, 9199
7ee7, 38e3
a122, 6aaa
c9c7, 6d28
1860, 1e50
e368, fcc4
9816, 32f7
ecb4, 8c4f
3c92, 3c34
7715, 76f6
8662, 4371
e1c3, e30b
f037, 28e0
e583, 4409
51c7, 8d9e
0311, 33d2
cace, 8382
55a5, 381c
741d, 71b8
30cc, 08f2
7709, 36aa
ebfe, 4a97
3ef7, fc0a
a8c3, f21b
46f0, 4ad6
b650, e37a
0375, 52b0
5cde, a9fb
d90f, b694
c0ea, 7313
6ac4, 2d33
05c6, 0553
1ff5, f4d3
9a3d, 374a
2ab1, 5b32
6b89, 5483
d3f8, 274d
4127, 20d1
a755, cc73
b244, 18bd
b001, ba9d
2a9b, 2754
6fd4, be40
9021, ecc8
a147, 3b31
7b3d, c514
fc59, d996
3088, 53d4
beef, fa47
15de, bade
3da5, 05f5
2eb4, f821
7680, c78c
b29e, 64ff
5ae4, e360
6a4f, 708b
da97, a80d
ed67, 12ed
0a54, 7994
a28a, a472
abd3, 9efc
05f8, d246
e5b0, 1c8a
bada, b9f0
e7e8, 01c1
597a, e3bf
036c, 7bb2
4456, f237
ae5a, 5ea5
7a89, 85c2
af8b, 6df4
4c63, 2822
1d0e, d80f
c7e7, 669b
ae04, 0819
3eb7, a14c
604d, 7c1e
cdea, 43fc
b27d, 79bc
6af5, 729a
953b, aa3d
80e4, 9ead
6f0b, 9808
86f2, b7f4
31a1, 8877
f4a0, e538
27e2, 462e
e5bf, fa84
6d2a, 58d0
00cf, 660e
1215, d8fa
0d73, 59b9
04f4, 83fe
1025, d7c9
cb13, 09c3
d4da, 21d9
8183, 2f40
ce79, 0f84
680b, a151
386d, 4066
1e01, 0200
e66f, 1c72
7d14, 34e1
f7fa, 4649
8311, dbd0
1905, f0c6
7620, 0085
108e, 3034
a4eb, c182
7d71, 9fc4
2376, a5ff
2b76, 4c01
2b41, 811e
94c4, cbd3
ad8a, 94f5
5370, ac5c
2083, 8cfc
