4f72, 97dd
6014, 68ce
0bee, 096a
ec8b, d9fd
4984, 12b6
a222, a797
fc27, 4a2a
d818, 12ef
21da, 27bf
8f6c, f9ce
9f5e, 04f0
9cf1, c91f
bd49, d242
39b4, 620d
9c5c, a8aa
7f8a, 38e6
1474, 44af
0f53, 917a
1ff9, eb8f
ee8b, 84fd
920d, 9981
4bbe, 498c
7d28, c65c
6384, 31fc
13df, d149
ca07, a90a
6474, a0e1
cc29, f1d7
e1d0, ff92
037d, fa48
1c3a, a3ee
460d, 835b
761f, 064b
8f70, 3aeb
ac2f, aafb
4646, 498e
4833, 558f
9fd5, 7fb6
48ba, 33ea
3168, e43c
ca0e, 9e69
cc4e, aa9a
2f01, d2a1
cf88, 7ac7
4149, 43eb
48f6, 5405
7dcb, c292
bc5b, 04b8
e71a, 89e0
6950, 3bb8
f7bd, 7a60
04e4, 0959
08bb, 0007
c6d7, 6aaf
5eca, 6e3f
6d54, 0e0f
f71b, 89fd
489d, af5a
5824, 5053
e440, e64f
b0fc, d6a2
2d6e, 3cc7
5b3a, 55dd
178b, d79e
7268, 9204
2634, 2558
a4ae, a8ab
063a, 04de
8c70, f215
268d, 60a2
3319, 6acb
bfa2, 0bc7
ee0b, 0e9c
7f8f, 7505
9d4e, 9a36
1eae, a3a2
89ad, f86c
703f, 8d7e
d87a, 6883
6a18, 9d5f
0008, 07b0
1674, 69ea
a458, a854
029a, 0876
7bed, 77ca
f180, 37be
f445, 30ea
6ac4, 67af
6be0, 6dd3
33cd, 66cb
5fa3, 756a
95e4, 444c
7b3f, 7204
ff2c, f8e9
2615, 918c
4103, 62d0
54de, df26
ad2f, a736
e8d9, 3cf7
5c5b, af7d
305a, 80de
59f5, 18e3
c40c, 9409
29bf, bad1
b2e2, 0e13
430b, 4a07
bd9a, b0a4
5147, f637
55a1, 5694
3101, 5cb8
94eb, a822
ed76, 78f5
de62, db3e
a4b1, a18e
544e, acd0
ef6e, d46b
2431, 2583
02d0, f488
c6d8, 64af
fc10, 4495
bfad, ed02
2211, 2713
0348, d475
7e8a, b373
d1de, e3ee
3df4, 4eba
3f53, 0096
b8c1, 5005
88a2, d51e
5169, 8a9a
4aae, 4fa5
dbed, ddd2
2fa1, 3d48
68cc, 0bb2
7a5e, 3975
7756, 9291
41b4, f4b8
fb0e, f26b
1b9c, d07e
730a, 8916
ab0d, c9f1
6815, d0c9
3311, 31ce
63b4, 6c2e
c283, 5714
4898, 5c52
f148, d962
92bb, 9881
dd42, d043
b610, d5f5
19c5, a748
f48c, 64b2
d7ea, d1ef
38db, 62e8
a261, 7b45
c444, a082
acc0, d0f3
a9b4, a136
9146, 1a32
a288, c233
7f72, d3f6
d2a9, d3a4
b169, d857
c903, 7d5d
c26b, 67a5
f0ff, 2bf5
5ba5, ca39
feb7, d8bc
511f, 6ff1
9d6f, a0bf
8b71, 5bf2
1a74, 1e03
1828, c522
583a, 223d
9b32, 925d
9177, 4171
8af0, f1b8
396f, bda4
ab6a, ce95
4c99, 2a03
57c9, 57c0
4870, 997d
a042, a832
126d, fd52
c906, a28e
b0ea, 9bc4
7059, 7de4
1f77, 1dae
e6c8, ebcc
9ab7, acba
8da3, 8275
9308, 5c89
46d4, da28
fac9, 9ed5
4a43, 4740
6348, 31cb
8216, 838d
b0fa, 59e1
00df, ca24
6944, 6c18
09dd, 040d
aba0, ecfb
5a04, 4528
281f, f5d7
c264, cd3f
294d, 2b4a
6bd4, 68ed
c6d2, 98e2
1fa1, 3b85
9cfe, 9154
a4f6, 7a88
0dd2, 7e5a
1ede, a233
cd4e, c0a5
97d9, 1f90
6469, dd32
5935, 5756
d778, 2ac6
3c44, 3c48
6a16, 33c4
dc70, dc79
4c9a, ad23
2d1f, 8449
ba03, 237d
16cf, a1e2
af0b, 3817
3cf5, 2b87
ecdd, d9eb
ebf3, a8b3
de8a, ad21
c8ef, 42e5
4eac, 72a4
5885, b4a9
fc03, f966
a762, c217
30e5, e8dc
d66e, d33b
267e, 62d4
8cab, 0448
68e5, dc33
13cb, 13f3
d613, 1d41
a558, 2ab4
7174, 3125
691f, 848c
930f, 0a87
8c2f, 91f8
71da, 8255
7eee, a97b
97e6, a860
9038, dde6
5708, 5cdc
b531, 91e1
c64e, cba2
ded3, dbe5
8a96, de82
7222, a9b7
7e77, c972
f3e4, f028
e22c, d2b7
cbdd, 5dc5
f3b9, b488
0d69, 0130
d6b8, 91e0
2c57, f105
cfe8, ed27
46cb, 52f9
c1cc, 1e3e
813a, f3f9
698b, f93d
ffee, f046
26d7, d527
2fed, 28da
e564, ce93
dd9b, 849e
3fc4, ce0e
b036, 08da
993e, d1dd
45a3, 4357
7b5e, 7262
a8d3, a4d0
0d35, 3b56
b75d, b004
2c1d, 07a2
ed68, 6430
7214, 7df4
d24d, 154c
16d5, 8f5e
1728, 1252
f533, 984c
147a, 8199
2861, b451
a17d, 580e
943b, a852
5ac7, cdb0
529d, b730
7115, 81c7
0689, 0c9b
0c55, 6a03
d4ec, e6dd
d625, 0f46
3cb2, 4186
f00b, f709
cee7, 2dde
7dac, ccc7
dd06, 2099
909e, 95ab
8e10, 8bf3
44a8, a9c3
a724, aa28
04ba, 08ea
594b, 5baf
01e9, e8b1
b679, 01f0
aa1c, a66e
a7d0, 99d6
b7aa, ffce
9e0c, d6b7
192f, a951
7b81, 02fe
a1f6, 94f5
7fde, 56b3
9f13, 08aa
a05d, 4311
1383, fe3a
e521, d5b8
6e65, 6b33
958d, 68cb
a393, 9ef2
bd03, 15c3
0bd5, 252a
66a0, 60c3
2fc1, d329
d74c, 87d0
9065, 1996
6282, 82af
4723, 4a20
e251, 3853
62e0, d937
11d4, 18e8
c8df, c84b
de97, c995
1fef, 11d1
9f5c, 821a
7bc3, 3991
a5a8, 5d0d
3c25, 365f
2b8b, 82f8
d3d2, bfc2
6d43, 979c
dbbe, d44b
09c6, 9b3a
c5e1, 6fa1
b909, b526
1253, 1b50
601b, cbc8
4289, 8e17
715d, 786e
13ec, e111
74a4, 8785
5d2d, 5424
ce60, 14c4
d5a5, 10c7
ba3c, 5dd6
f709, f00b
b48f, 2f14
7d19, 7e5c
5a40, 3e63
ab61, a6d8
c4ff, f669
7fd9, 782a
c904, 1928
27e7, bdee
1829, adcc
a69b, a59e
01e6, 832f
1dfe, 8368
a288, c233
5387, 5c72
1ecd, 254f
ccdc, c9e9
82fc, 418a
64c8, 962f
0ce4, 085f
8258, 2588
cb0d, ce52
b0d9, b02c
9122, a42d
9473, 91f4
7399, 0d8b
c2ce, d277
eb0c, d95d
f3ef, 4229
427b, a805
e671, da9d
253a, 1053
541b, 96d7
6c14, 05eb
59df, 026b
e3cd, 6340
cb76, ae67
2ea3, 2b90
adab, aae2
c2b8, 7367
d654, f222
f56e, 830d
887d, 8fa2
4239, 4334
c8a0, c869
cdf5, 884c
ea71, 4604
7ba5, 8b9e
83a6, 91d6
aa8e, a404
577a, 6a95
eb65, b236
754b, 94e3
06ea, 0a6e
9c92, 9a27
36b6, 08f2
484d, 19ca
f1d0, 1f20
fa83, 91fa
c61a, b53d
dbce, ddab
55b4, 6ef4
c445, 2f38
7c78, 7325
db74, 55e6
77cc, e9b7
cadd, aece
4188, 1e2b
4826, 381b
a732, 2898
ebca, e6cf
b175, d196
77ef, 7fc2
a0cb, 9013
5005, b8c1
1241, eb1d
55a7, 509a
1908, 55e1
4ad8, 47d4
8e87, e46d
5f80, b1c7
8e27, cb82
32f0, d458
1fad, 2bc2
0fc2, 089e
af5a, 489d
b171, 01df
ab69, d370
f046, ffee
0e1b, 9e1f
d925, bcd0
3f32, 3aee
a837, afa5
4a57, 475a
c55d, a50b
fa7e, f40a
d6f2, 3c05
405f, 3ce8
8248, 2633
655a, 68bd
e1e7, 3998
4099, 3d00
cced, cdce
9005, adb0
b4f6, 2d8c
8197, 117a
b90c, d184
cb9e, 9dab
1773, a5bc
14a2, eb7e
d748, d0bd
82ba, b984
74e4, 77cb
23a6, 0f39
4d94, 3d93
749c, 5e1b
0d94, 0044
67b9, 605b
3d3a, 2aaf
dbf3, 0756
80ae, 5eaf
6dbb, 642f
5f30, 2f5d
2448, e8ff
ebf0, 45ff
13c2, 54ae
e835, fa19
5d79, ed74
6ca9, e4a2
bbd8, 61c9
1adc, 441e
3d0e, 28a7
954c, c85c
d27a, 378b
2165, e702
4466, 32e5
72c4, 19ba
4f4a, c74f
7a7b, aa7e
3cb5, 33b7
da11, 0e8f
89fb, 77a2
0614, 8441
987e, e453
a862, a46d
4a43, 4740
2b85, f287
1b64, 8b7d
e21f, e915
8dcc, 8299
6370, 18a8
e657, ea55
19b9, 4dac
affd, aa90
1dca, 8bcc
2337, e059
8caa, 78f9
fd0b, 7497
586d, f4ae
b547, 281b
1f84, 1023
a0b8, 2619
23ff, e6f1
87ad, 8196
6553, 68b1
7f1a, 41ab
2c15, 83e2
23ee, 21ec
b4cb, 47dd
c58f, 764f
69e3, 9fbf
520a, 0bfd
fe4e, f5f5
ab50, 5629
983d, 945e
7319, 0645
320d, 3d02
eb13, b12e
bc3c, 4118
0c79, 6c9c
a3a4, 185f
64b4, 9b21
9024, 5894
bce6, b7b5
c7e5, 3897
5b8d, 72f1
5ee1, 5c33
aaa0, a7a3
c840, 1ca6
da7c, 7abf
89f3, 8f42
f158, 4454
5aaa, 9de1
ac4d, a434
92c0, f862
0215, 80a9
8ac5, d5ab
8a57, 79bd
cde4, c039
6acd, 331a
3468, f043
e063, e360
66ea, a255
58b4, ce70
8a56, f676
4eb2, 1488
3844, 3fc3
7901, 8161
6a63, 6de4
e718, a900
3f90, 3a64
8a2e, ef72
686c, db6d
97ec, 9a2a
2b85, f287
e2e1, ddd5
14c6, 4fc5
c88d, 388a
59a1, 90ea
6eb2, 612f
9de4, 5aac
439f, 4091
3ac2, 69cd
1c87, 19fa
2ade, d9be
3e82, c8c9
4907, 90b0
ab57, cc3e
ef60, 3b40
7d62, 7c1f
9b37, 2faf
6470, 3f73
bf0c, b968
4367, 3119
2817, 85e8
e3cc, 3113
6ae1, 3d6d
a919, a562
bb5b, cdd0
da5d, e96d
915a, 9496
7079, 8e5d
7aa6, 1f96
c793, ca75
6c47, c66f
0c96, 07c3
9d88, 0390
375f, 3520
e168, df31
e5f7, e15c
2103, e860
1f82, 939f
d50a, 4ed0
0759, 2801
d571, 2d11
de05, da0f
7049, 05c2
5a27, 6342
3e69, 626c
1ddb, 8097
6861, 2457
5f9a, 58a7
d6d6, 3892
7ea4, 061d
6a14, 5af4
b7e3, e612
3924, 345f
e925, 2ce0
5901, 576f
c6a3, c5c5
09b5, 050f
6c15, 6746
f262, 820d
5675, 3376
88cb, 7f39
5921, 2703
a2e7, 433c
9284, a8c9
3b7b, 0eab
dca5, 6e19
62b2, 1b81
24fd, 284e
7df5, ce83
bcd1, bee3
6250, 5d60
910d, e7f0
caf4, b009
64e4, 6939
5b99, 3aba
51a1, 5f9f
276a, 51ba
b741, abfe
3d6d, 6ae1
22ad, 2d9e
b657, 01b5
3955, b7bd
31d8, 376c
40e6, ecfa
bf7f, 7209
6688, 617b
02a2, 8628
e619, e51c
488c, 4c88
64c8, 962f
a943, a7ec
7991, 9cc4
c867, cfa5
6803, db51
0cdc, 033e
ba52, c640
c31a, 1d17
f82d, 270a
d232, e7f2
d3d9, aec8
8578, f3c4
208b, 2d16
3a90, 3793
2087, 25af
f60c, 2edb
3e5e, fab0
c73f, ca64
bf2c, 4ebc
61ad, 6614
f103, 1436
3eaf, 3ba1
4c65, ae10
86bd, 818c
4801, cf96
e0ba, efbd
509e, 55ab
744f, 26cf
ddc7, daa2
7c0a, 718e
182d, 1083
5ba4, 594d
f932, fba0
f214, 8e81
d69e, 69e4
b1cf, 7d69
9415, b106
7bcc, 7e9a
13eb, 40dd
efe0, ebe9
73d3, 424a
7007, 007f
9b97, 5295
b7cd, ba9e
66c9, 614b
7712, be07
c877, 3588
4d8a, 405d
3ace, 69cb
8997, f97b
496c, 47c3
5e6c, 5b09
fc80, 1af6
4c3f, 4931
49e5, 1ab8
961b, 7aeb
758a, 00f3
cb50, 187f
5cab, 5d54
8ef1, 2d8d
0054, 056f
0e35, 6b00
d838, 613c
ea90, e793
1027, 86d9
8d60, 5ac0
ad2e, a4f1
7ec1, 531e
60ff, 6ea3
8f6d, 92c3
89fa, 8f4f
bbaf, 29e1
83f7, 7464
f967, b7cf
1859, 434a
66a8, 60c4
aa65, 57a9
78aa, c41b
6c7e, 668a
8f2b, fb8b
d35e, 8a6a
5576, e923
8b77, b07b
c99b, 77e7
28e1, 25e3
c48e, 462d
f122, f63d
58c8, 75e8
acb6, a7d3
8bd6, 8e23
dc4c, 62b6
4e67, eccf
96e1, 54a4
0978, e32c
cb8f, 2181
6484, cd24
4cd9, 441b
4a49, f327
bee2, dbbb
41fa, f62d
9082, 1539
ba53, b60c
70be, 77f1
bc27, dcba
7511, 455b
9c77, 29bb
2790, 40cd
23e4, bfd5
4666, 30bf
bab5, bac1
fdc6, 8290
ebb2, 72ec
ddb7, 5edf
b8d1, b5e3
49ac, 4fd4
9b74, 92c8
a455, 32bd
ff49, f9f4
f86c, 89ad
2943, 856a
f18a, 5b24
c660, fdcf
b1ad, ba44
65d7, 1127
6d4f, 60aa
66ed, d971
552b, 56ee
a3e7, a531
8f42, 89f3
ef6b, e04b
132e, 066a
fcdb, 192b
c49b, a87d
0a31, 56d6
1c14, 6f51
ec5d, 998d
ea01, bd06
15e2, 91d5
f20d, 9f7c
2222, 2ded
548c, f30c
e26d, 3f6c
9c91, 99a4
54ff, b1f5
3327, 302a
ca83, ca04
071d, 0afe
75cb, 957e
28bb, b228
4938, 4c34
d5d2, dfd9
6586, 637b
0238, 5dec
36be, e974
d47f, ce09
c036, c665
4904, 6f90
5ddf, 4bd0
1256, 4200
c565, cf1f
fc77, 764d
6d9c, 6173
009e, 0045
28e4, 25e6
1ac1, 1fc7
b886, b2fa
32aa, 51f4
083a, b154
cc95, c8fe
668b, c71f
8e1f, 4df8
66cf, 6c40
fae9, d3e8
213c, 233e
90f9, 55f0
1547, 89bf
ab15, 46c3
92e6, 89dc
0341, e094
e4ba, cd73
376f, b5ae
2666, 04ec
4a0d, ea5a
2510, d617
a8e0, 40a0
5b6a, c023
ecde, e9db
f86b, e1cf
cc86, cc01
b06b, b55e
daa0, eb2e
4334, 4239
d182, 265e
ffa2, f89d
1fec, 4816
cf6a, c8a3
28e3, e098
defd, 7982
c08a, c6f7
5424, 5d2d
da62, 5314
5cb7, 32f8
f043, 3468
61c4, 6b0d
d287, c645
45ab, 28f8
9e67, 24c8
ea86, ee81
ef6b, e04b
102b, 1889
0e1f, 653b
3179, 3f7c
3ae0, 898b
921d, 9763
f899, dad8
ca17, c9c1
baba, b7ea
7ed0, a2b5
5832, 03d1
bfd7, b9b1
f029, f3ec
c23d, c941
1625, 15b3
2f96, 01cd
8b4d, 803f
d4a3, d6c1
af10, a113
4fe8, 41e4
8460, 4f05
8205, 326e
4ce6, 3492
c1c8, c3e2
3d0b, 10eb
1cc8, 1e35
9335, a050
3f06, eb04
f4b7, 41ba
7928, 8904
3b19, e6ca
92af, 504b
b237, 2b0c
c9a9, bceb
d30c, 2309
3bf4, 3996
d8e4, d2de
6579, ddc6
1baa, b715
5629, ab50
06bc, 94df
c327, 5ac8
5bc4, 5e71
1fd8, 44d4
8d6b, 54cb
ae11, ab1f
e561, d351
68ab, 61ce
a145, 4a37
7072, 76ad
cb37, 5f24
e34b, 189e
b1f4, 9fd4
5928, 5022
dfee, dbd1
401d, 229f
7b95, 7f05
cf8c, 6c3a
9015, 907e
e082, 231b
d9d5, f1a7
850d, 768f
5a68, 370f
e469, 74c4
3a56, 542b
75c1, 452b
bc42, 1549
b13c, b809
994d, 949d
0cbd, f412
f334, 16f3
452c, 4629
2e17, b4a8
4c27, 41fb
0687, 0a92
8246, ef92
ab51, 39f4
b2aa, bd7c
1bf5, 8642
3295, 2ea2
e3f5, b645
d4d2, 6cdf
f886, 8f2c
ed99, 0dc8
d52f, d8b0
229e, dbf2
9d47, 26a0
f807, b8c5
01c3, 7522
bd37, db09
c477, ae05
cf30, 93f3
5ea1, 2680
dc5f, d302
3ffe, 309c
8003, 02f4
5020, 5929
35db, ca87
e450, e95d
5298, b42f
1846, 18da
3e53, 07f5
5ac3, cc6b
b97c, 8379
12df, 2cfc
989d, ec26
a7aa, ffae
3ba6, 4ba1
024b, 90c7
b90d, 2504
09c6, 9b3a
3f06, eb04
17ee, 0acb
3927, 5a38
8351, b49c
d503, d655
d9ec, ecd7
4c4e, eaaa
36c2, 08e3
7680, dd37
141d, 1910
4bef, feb4
853b, b798
0a7c, 59ca
c13c, 11ce
18c0, 14a3
549e, 58ad
1b73, 175d
6f3f, 6ae4
998e, 440e
445b, 485e
8da9, 1279
ff27, 7d77
be80, d15d
dc28, d82c
9a6f, 738e
f6ac, f599
338b, ae78
3992, 8213
b7f5, d260
78ce, 77e1
d2fe, 682f
e3d9, d5dc
be84, ba83
f05a, 3bec
4406, 32d5
6b7b, c5ff
a7d4, aad8
a6cc, 6e4d
f29c, fba9
073d, 4dc6
ff56, f835
12b9, 553e
b830, b803
338a, 3a7e
c447, bcda
9983, 8438
88b2, 8bfb
9d64, 9208
b012, 8b47
224d, 23f6
ab80, 7e40
d8a8, 5553
d76c, 6bd6
f587, 106c
ada2, bacd
75a6, 98dd
a84a, dec8
9e0f, 2a90
146f, 1834
483d, aba6
81d1, 5915
1729, 4eaa
0797, 7bd0
8891, 78a7
7945, 7995
df67, 2347
f713, fa86
7d59, 8e01
a915, a96f
ff3c, f7ae
94ff, 1cfe
0b8e, ed58
88ce, 783c
0d16, 83aa
25c2, 82c7
87a5, 78f3
aaf7, f4bd
8ae5, 17b0
be14, ea64
ea41, 4de7
555f, 5631
f5f3, 2769
8731, 88c3
7092, 7643
7e1c, 23c3
48f2, 333e
3468, f043
04c0, 88d6
c32a, 6c8c
c27b, 727e
25d2, b5bd
3479, ce07
73a6, 91dd
4e3d, 826d
a06c, 280f
4c8b, 4886
1e87, 428a
a1bf, a6b5
bb2c, 14ec
8567, 342c
41e9, 4fec
ffa5, b34a
14c6, 4fc5
0e04, 9758
9ba9, cfe4
b33d, 200b
873e, 4982
ac5e, ff8f
427c, 4d79
2160, e70b
4d4a, 4247
434d, 4042
84e7, cab9
f1f4, fa73
4df1, 890f
a1ae, 3444
13af, bd75
13a4, 4957
c2a2, c34e
e147, ef47
6280, 5e15
70ce, cae3
ee03, 2bff
a5eb, 73bd
e4af, b19f
8ec4, f294
ac54, acf3
a765, aa66
f958, fe8f
d389, 254d
cb02, 7d3b
2307, e60a
99bd, 654f
663e, 001d
675c, 4e72
9271, 558d
f348, 40ff
50ec, 0d07
64b1, dc5d
647a, 38ac
78b3, 5724
ffbc, e932
48e3, 5985
9225, 9de6
14d8, a149
c054, b7e6
974a, 953d
d786, daf5
1e43, 1542
2c18, ef7b
670e, 602c
17b3, 1c20
942c, 98ea
8b69, 9f10
5668, 6558
734a, 06cd
ed90, e293
3196, 3e9a
2039, c0ed
29d7, e11b
de7b, 2eab
fb24, 27fa
2240, 38be
ecf9, 4d2f
64a2, 6618
ab7a, 986c
63ca, a4c4
5279, 1b16
51fe, 5ef1
9d5e, 9cf4
0744, 7264
53d7, 5cd5
f534, fe5a
f81e, fc83
46bf, 4bba
662e, 03b2
b2ba, 5ae2
8469, 3d96
2428, ea2c
9712, 837b
f385, 98ab
1e6c, 4269
f4d7, 7e30
1fc1, c1aa
6f85, eb60
87da, 8c2c
ad13, a210
4149, 43eb
f1f8, f325
c1c9, b23f
172a, 7ba4
66f9, b440
baca, b799
4e25, 4b26
f411, f6d3
824b, 8bd4
4d19, d462
14bd, 5912
9973, 79c0
6537, 6feb
e380, 8af6
e693, 92b3
69ff, d8fb
80a7, f2c2
8985, ed96
1ae4, d021
1ca1, 18a7
0127, 61ba
d43c, d795
e3f3, 8895
8c17, 71c2
bfb9, b5b2
043e, 080b
c267, 3fc9
327b, a08f
1017, ba12
20cb, 2b76
8d90, 5ef5
3afa, 5cf7
cf2b, 91db
e248, e842
205b, 295f
9876, 7f5c
2136, 2334
2e35, eb50
75ca, 769a
4aca, de1a
1ee7, ec18
42f5, 392d
d52c, f5d6
4cd3, 3ce1
054f, 0294
e2b4, 3db2
2bf2, f58a
129e, 4d6f
cb4c, cd19
4d14, e316
5702, 5cd3
9497, 9faa
ba46, 2f93
2cae, fdf8
1118, 7d4c
0bdc, 0e2a
e326, 2625
6193, 0475
7d25, 8a79
5e7e, f1a9
b76c, 02e3
7666, 9c6f
b94d, 2c8d
fd9d, f2ae
9f76, 8e7a
aea2, abad
3997, ab2f
2490, 269f
4989, c3ce
d016, d345
0985, 3d56
2a2e, 2fe3
0c7c, 0169
f29a, fba7
19ac, 228b
5fbe, 550a
41c5, 4fc6
689c, 1b04
496d, 15a2
eab3, 7fcb
25b9, 2fb2
1259, 5d1a
f92b, fcee
afc4, 9498
61be, 660a
6f28, 3000
9dd7, c7f0
2b32, 6cc0
fa85, 84b8
ba28, 2db0
a11f, a7ca
a6f9, 33f0
5a2b, 345d
c415, 1c39
8c9f, 119a
5304, 19e0
27af, eed8
331c, 3cce
24c8, 9e67
f232, 98a7
fe29, 3e41
9dfc, 2696
0250, 5807
7742, 789e
c468, aa12
1411, 1917
aa32, f10b
5459, 35f7
1d9b, cb96
1181, 16b6
9055, 98ff
a4d4, cfd8
c70f, c000
2efc, 21f3
84b4, 81fe
b76b, b239
2ff3, a453
56fa, 5c9e
6a53, 0422
fe43, 43fb
f441, f9f7
2377, 5185
7110, 1170
f00b, f709
5bc4, 5e71
3c6e, 3373
9078, 73a1
69e0, 5ab6
19ee, 89b7
6421, 6356
96ee, 15c1
ddbe, d121
578e, 4a6e
1352, 863b
a0da, 391c
9602, 9a87
5678, 6391
c6c2, b100
0021, b180
e2da, dfd6
e889, 45b8
dc63, 6dec
a24e, 31ff
375d, 352a
8571, f5cf
e844, 49a3
5af4, 6a14
becd, 2272
1f43, 18dc
dfbb, bad0
7b4e, 5c04
7095, 7d4e
4337, d51c
a58e, b397
d037, d66a
f7d8, 8f40
3fc3, 3844
aa87, a48b
15a4, 867f
8786, 8945
8375, 7125
60b5, 06e0
06d2, 0ce8
044a, facd
c22f, 06a8
b2f5, 8b87
ad79, 910c
3ebf, 64bb
121b, 57fd
c857, 1225
a3ae, c89d
14e3, 161d
53b1, 5cbe
0ab3, f140
8589, 2fb4
bad4, bde3
ae62, ae5d
2435, e952
e41a, 3f4b
6a4b, 371d
0adb, 14b5
1578, e275
4e11, 4b1f
bae4, b7b8
0bc6, 82a4
6c60, 6eef
c5e6, a71c
0a36, 5dd1
ae6f, 747f
a702, a580
89f3, 8f42
9745, 8ae4
be30, ba38
a930, ac33
3381, 347d
30a9, 13d1
c07d, c923
59ec, 5bc9
d976, 328a
372d, 74fb
5cc3, 5cc1
4bcd, adc0
7b52, d266
cb59, 8d3f
9840, f939
422f, 1ba5
9f79, 656f
03c9, 3c61
6c51, 6934
64a6, 38c0
01e3, 0fb5
b3e9, d0b7
54c8, 93d8
d94a, 0dd3
9305, 17ef
c3d1, b699
a522, a898
6e5b, 10d2
cb26, cf2a
e3bd, 3a7f
f2c2, 80a7
553f, 57e0
8ab5, 2f99
ddfc, d183
c14d, c7a0
e548, ced1
be1d, b580
a1e8, 82de
1dd0, 12e3
ad65, d926
9abf, cab1
de13, 1644
d24f, d81b
3a3c, 9539
6864, 4340
8812, 4ea7
cd29, 0fdd
9b46, a79a
764f, c58f
6415, 6843
a166, 90ad
68e8, 6bd2
d141, d506
56d4, f600
80dc, 54dc
ea30, dba6
5fda, b566
7c9b, cc7e
19df, a484
3ba3, 4ba4
5157, 30f9
a084, 327d
1ebb, 42be
d32d, d42c
540f, 812b
135d, 4c71
d711, 1bdc
3f2e, 3a55
047f, 0471
7f33, 8bcd
7387, 1f72
4517, e21b
aefb, b18a
df95, d896
2244, 9f41
810c, 8c7d
3a8c, a6ba
b56d, 39f8
05ef, 93c3
6aac, 0d38
b34b, e08b
4aaa, 81f5
a371, 6546
2b2f, 2f2b
e488, 4dbf
214c, 2ff9
71b2, c12d
eca6, e9a5
1fc3, 11a5
75f3, 77b6
7ecd, 0832
b5ab, fbc7
71e1, 7cc1
130a, 648a
672e, 24e3
6910, 3a13
7550, 9980
0d37, 6b09
356e, 97ff
2e36, 2c34
8a9e, 8c01
6e63, 6b35
bdd1, b22f
3407, 8cbc
affd, aa90
7826, 5b32
541e, d534
5a95, 5df8
4626, 41f1
8bba, b784
39ca, a2d4
754d, e9f5
29cd, 2c7e
de06, 2c43
0368, 350f
829f, 8dc1
4cb3, 626b
ceea, 9dce
0fd6, c309
9273, 08b4
1505, 8635
2ab1, 8bae
7377, 3ad6
ff93, f780
0288, d061
8a05, 1c53
209a, 58f3
1c1e, 11ec
7810, 7069
bb88, 2f73
c07b, c925
3c16, 63a1
9ce4, 0d00
295c, 2053
4d7d, a5ae
db56, d704
c191, bfe9
bfe1, 20d6
a022, 50e6
4e78, 1861
6d8b, c677
1576, ce80
bef7, 172d
e529, e82b
9a36, 9d4e
e688, eb8c
7994, 7c4c
b0a3, 0df3
a78d, a17b
9b10, 72f6
a7e2, a54b
eb0f, 3f00
01b4, 0603
7981, 95be
dad6, e6f8
9d61, 2587
18ec, 11d9
8aea, f9c2
b664, b058
1f3d, c2a6
b2f9, f754
ae14, 4a6d
408d, 96a0
c249, cd1c
87cd, 8f3a
2498, d4c8
d06e, 45a6
17e5, 736b
888a, 80be
3d64, 3add
997d, 4870
34d3, d36c
cef9, cb8c
081e, 01fd
