110f, 2d54
8f9c, 7ff6
d298, 8146
9920, 6476
6810, 018b
bf47, b537
3c8c, 7583
1e3f, 8bd1
9809, 0348
46f1, 132d
d243, c93a
11fb, 242d
cf28, a72f
7965, 0ff1
5b5d, 951f
ea9e, 1121
fa6b, a9db
ddb2, 21f4
79e9, de9e
b81d, bd06
ab95, 6dca
9a9b, 7170
d428, 6be4
491f, 0c0e
a047, 73e0
0ba4, ef59
82d2, 0a89
9817, 9815
5b1b, 6f2c
c4e7, d3eb
4785, 1880
a091, 49ba
94db, af60
0a4b, f461
a0e4, 2754
e34e, 372e
0d00, d77d
6096, 4a41
6ed0, 5a0a
7500, dfd6
2a4f, d0e1
1dba, 6748
8753, 855c
51da, b6c3
9f8d, 0fbe
3fa7, 2991
a2bc, f5dc
9922, b057
e93b, a94b
447d, 9a5f
5c80, dd94
9afd, 93af
72b6, f55a
2616, 36c8
de1d, a9f3
bcd1, 5a64
eb4f, f6a5
70aa, fbc4
093a, 3e47
bfc1, 8d7e
add1, bfe5
5ec4, d287
90c1, 849d
da18, 4385
48d9, d760
1a4b, 5d1d
c0ec, 8b2c
f23b, 95a7
0376, f5aa
7658, 1664
5215, 2939
5bdd, 18ad
d55f, 5c6b
940c, 74b4
8bfc, c2df
593a, 3e12
aa90, 149f
268c, 30cd
1d0a, 6ca1
71fe, 9173
7d7c, 9fdc
6c58, 6d36
4fb5, 8c63
ad87, 6ef2
c245, 43fd
4886, c87d
1179, 7119
0d77, a29b
4d8c, 1372
2fc8, 95bb
5c8d, 2ee2
845d, e19b
1797, 1791
3978, 397c
a403, 4ad3
9082, 467e
3b80, 794d
6f65, cf12
d851, 6cda
88b6, 3ed3
d406, fa52
442f, e69b
5093, 6ca4
98fb, 2aa5
05c4, be16
46a8, 303d
9184, a179
9719, a2b7
0f11, 7696
ba6f, ab14
6706, a973
1c04, 205f
83dd, 730b
c3e5, 9601
ccd9, 5a7d
d5f2, 78ae
0488, 04cc
8814, 177a
8107, 5dea
2cae, 6870
4368, 95d8
f089, 5809
c71f, 4bd5
1b80, 7eae
e633, 3653
d56a, 8fb4
1b11, 3410
9ef4, 2373
f366, f56b
9a48, 86e2
230a, eebf
9f11, af7c
5f84, 3f8a
dfa8, 6530
b0c9, f0a5
f206, a26d
addf, f3d1
5cc7, 3c7b
4373, cfdb
8e1c, 734a
a518, 1614
2582, 07ae
0b51, 908e
cd56, a267
9e39, a2ef
8483, fd17
f7ad, 79cd
324a, 13af
ad75, 9d8e
6c2d, b75b
09a7, 02d9
6d3f, 151e
e1ee, 4ca3
7170, 9a9b
ee6d, 09c4
c471, d836
309a, 4b9e
8554, 6a95
3656, 6a9c
49cb, ba62
88cd, 99c3
0e36, 69ad
5919, e479
5fc3, 6b6d
a25e, 4a8f
1d09, 0cac
8359, 12f3
3fcf, 24c9
adeb, f966
f7b5, f592
8a8c, 6120
83d1, 7bad
4b4c, 5b3d
4c51, 846e
a72d, 2021
7134, f16a
6cca, dc7a
0184, 6179
a4af, 29e5
0825, 4176
230c, eeb8
1e1e, d3ca
c141, a41c
2126, 9ee2
12d4, 2fb1
7897, c03d
7f60, c4db
ddc4, 4b92
0370, 12f6
d039, 69eb
5756, 2faa
9acf, 2406
a599, 4b78
9be1, b83b
5fab, e6ff
6a6a, 5efb
3a55, 856d
18c7, 6a02
369d, 976f
6ad5, 8ba3
f200, 5f18
8e9e, b56b
ae70, 9e8d
93f7, 229d
01dd, a070
c4ab, 543a
d04f, 4bcb
f6b9, 818f
bce1, 67bf
4f84, 4f94
a97c, ffc1
04f2, 6249
dbb4, f563
f638, a0e8
1b13, d9c8
a65c, ee39
85f1, 652d
7748, 8141
41df, 1c39
0626, 2759
3ef2, ce87
3774, 2714
4227, 9d34
0f08, e2ac
dee0, 1a37
7e35, cab7
27c6, 2f4e
f134, 77b7
6713, b8c3
000c, 990a
4db8, 775a
4561, 95b1
f5ff, b694
223e, e2ce
1ec4, 4b9a
1853, d3fd
87ae, 65f5
9ce7, 4f09
44da, a838
a8ca, 9884
6269, cfdf
aba8, c23b
d8bc, 0f3f
d1da, 0158
2e5e, 62c6
d164, 672c
e55c, 175c
3f02, 3163
9a4e, 2641
bcdd, 4b80
70dd, 832d
7e98, b269
8279, 3edb
7016, 1ea5
18a3, 5292
ed7d, 97d7
daf1, e62d
8d0a, d7f7
f56b, f366
e1b4, 2b03
342e, afe5
bf79, f63e
3871, 9796
b7cf, bcca
6970, 5289
1663, a560
ffa7, 8629
7c16, f4ad
261c, f4a6
8b9e, 58c7
74e1, 6982
12eb, 15a7
7f00, 1126
ada2, f246
a375, d4c7
cfd9, d5d9
a325, 4a7f
18ae, adc7
853a, c667
c1f8, 719c
c8ff, a8f9
23e4, 5900
48c9, c6e6
d0e2, eef6
c023, 1bfa
e4d9, 0f61
c27f, 90aa
179d, 199f
b21d, 2bad
0fc5, b25d
3f9e, f7fd
30b3, 074a
1ea7, a1e7
f080, bee4
2d59, 8a20
8a39, 8c38
a1b6, 3e51
5047, 245f
ba4a, b3b0
f023, 9bfa
708b, 84e5
56ae, 3ea0
f3e8, 5a41
16da, 7d57
1987, 593e
430e, 95b2
5bb9, f922
448c, 371f
cca1, 4ac1
67a9, e6b2
e596, 4aa1
095b, 4800
c6af, 461f
34e4, 4b86
bdc5, a07f
84ed, b0b7
3574, 646c
3651, 4c3d
39ce, 29ce
4847, 9c47
60e3, 0f09
792b, 0d61
6941, cd6b
0627, bdec
ed13, 6dce
c0c5, 8466
9f86, 7ffc
bc35, 1842
26da, 5db9
51b6, c5fa
10ab, 764b
606c, 8801
dccb, 2363
4812, b1e2
6819, 018f
4c4f, 50a2
cb96, aed9
0a60, 673b
98b1, 1358
859a, b95c
bc56, d12b
af80, 1985
3bfa, 40f3
4c35, bbdb
46ce, 4595
4ab1, d3b4
708d, 62db
f696, 4dfb
d540, 480c
7844, eda3
b263, 8ec4
11d5, 5a89
ab8a, cb23
5e09, 483b
272d, af5e
f4de, 7cb2
b361, ad83
9786, 4d71
0038, a37b
d17e, f852
8370, a3c3
1f63, e63f
ccfb, 4cbf
b8d5, 408e
17aa, bbfe
8960, 14db
dda1, 331a
4872, c78b
7571, e492
1684, eed6
92f1, c5d9
74d4, 8928
2be0, 9b91
af65, fab5
588b, 772f
daf0, 7426
e3fe, c72e
43e5, 9576
95e5, 4e59
d8dc, b48d
0d67, d527
68a7, 1db4
d469, 3468
a39d, 1545
3908, 0646
4ea0, 9043
2d60, c734
5cfb, a404
6367, b268
c99b, c895
9428, 5e57
2875, 8995
8e53, 9c8c
bdd1, 8920
6b82, 3b85
920d, 4266
f24c, 704c
aceb, f363
c605, 8d0e
99b0, 44b6
292b, 31c6
8be2, 80a9
4a3c, eee1
a7b6, 6393
a266, 92bd
9627, fdec
2ab1, b46f
64df, 3467
f88a, a71a
e8d7, a0d7
9258, eff7
41f7, c3bb
d5bb, 6552
d05e, 0744
89fe, e886
25c2, 4610
cab8, 41f0
8d92, 73f0
2749, 3ca4
cb13, 930a
bb0c, b350
1d85, 772d
ef60, 6507
becf, 777b
5105, ab9b
1349, 321c
29c9, 3a79
e2ca, 09cd
ddd1, ace4
ccca, 4cca
4f9b, 4870
4469, e7ad
de23, 9926
3fe8, 3e26
0e0f, 7a50
3130, 58eb
4b7b, 0166
c25f, 5049
d4d5, 7bae
2569, 4362
3d51, f120
d263, 326d
c64f, 46cf
6cae, 1722
cab4, d304
21fc, 226f
a99a, 497a
fbc0, 8af9
fc5b, ee0a
d8b3, 380e
7a34, f892
d5df, 49d8
4dda, 8c8f
9b27, a432
3650, 921f
3248, a2a0
feec, ab5f
3bd7, e5e8
eb10, a717
6905, 14ce
64a4, 6e6d
3808, 1c42
460e, a3bc
8617, 9e19
c78a, 881a
ecb1, b03f
c404, de0a
2ca7, e848
9e6c, a66f
c6c0, bbc8
056d, ef6a
895b, bd6c
d20b, 6555
44ce, d752
ac18, 13e8
8a89, b8e9
85cb, a57e
6a83, 8fb5
848c, e329
e7b5, e75b
622b, 11d7
68d0, c8c2
6e4e, 6923
b5d3, 73c4
9724, 0fc2
4fea, 56f1
6014, b1f6
bad6, 015b
c763, 880e
a761, 26d0
9034, 6704
182a, a49b
7eb3, 1389
a7ed, 514c
c440, 4c40
28ff, e89f
abb0, 461c
15d5, 150e
8d06, 75e6
6b6f, bd69
a885, c780
5a84, 9fd3
811e, fca3
9546, 4da5
a5e0, aef8
c38f, 1302
ae5b, c035
7fa0, 64eb
3757, df58
999d, 3768
b387, fea6
b7a2, e10c
cb18, cb60
0fd5, 9f10
92a2, 59d2
92e7, 43e1
66fc, 95f0
50b6, f8b1
5036, a214
8bfb, 1696
e388, 87e8
04a4, be55
45be, a62b
c0c1, c167
c076, 357a
cb6b, a2cf
7470, 361a
e8fb, f858
9c49, 8632
df7f, 9b55
9c55, c16d
0a97, 8f26
fe50, 0fba
ed06, b094
24f1, 6cba
b722, e11d
a526, 42fc
7d8a, f6fa
9a76, 854a
f028, 4cd2
88ac, 487f
1736, 0481
32c9, 6740
45a4, 37ec
8261, 1640
0e71, d410
385c, e43b
a65c, ee39
c082, 16ce
0ac9, 9dee
3aae, 2852
2822, 118e
4e92, f324
7bca, 4bf9
180a, 1b00
17b9, c808
1ec2, 22c8
34cd, c4e6
74bc, 8e9a
d1b0, 45a9
7949, ab76
c459, 4678
7b5a, 0824
bd74, 6ee5
34b8, cebf
06b8, 8c09
a361, 7cf7
7384, f371
603e, 0859
deed, 79e7
ea0d, 59bb
0489, 9b32
8b61, 1eef
fd00, 9d78
57cb, d451
278f, abd3
d699, 1df2
5eb8, f130
98dc, f9ea
48f5, c785
8fa2, 0010
0c9c, 8de7
860f, c631
7e2f, c5fe
d114, d174
6538, 6e6a
2bf9, 0089
d056, e99c
4f44, 9703
5b40, 5fef
7da5, 3bc9
9614, 27bf
e27c, 9c1c
bfd0, 40fd
d194, 8b53
3cf0, 8d6d
a7f9, 1899
4eae, 5405
9777, e77d
e3ff, 8fd7
08ac, 68f1
aa34, 4fcb
1e14, a0fa
d26c, ceb6
7820, 8adb
33c5, 5fe4
e795, 01cb
5a42, f8f0
3c70, 3c78
a174, 2189
2c72, 8c3e
c226, 305a
282e, f793
47a2, 5ce2
ca8d, 349e
236e, 3c42
2010, 61e5
6f63, 9f76
2b4d, b2cd
b660, 2ed2
51ca, a064
24d8, 9b79
5136, 5c6e
f8a4, db7e
b21c, 3ecf
af87, 9714
a0d0, 6ab5
8350, 8fe0
60a4, 2b70
731b, 71e0
662d, d8d9
cb19, ae11
726a, 3f0c
e6e6, 9738
adfb, 9d96
5757, 4167
5ca8, e748
9df5, 0d89
8c9c, 11f8
e192, 9c53
413c, 1164
ad88, d670
babc, 6e60
265b, 2f76
e687, 507d
9d16, bc66
f228, 24a8
f9c6, 8f1e
cb46, 730c
6bfc, 7bd8
9d45, 0a92
fccc, f7cb
24b1, ba0a
b5c7, 75ef
8d75, 7dce
7d4e, 8490
0ffe, 09fa
bc4a, f7f9
6b9c, ef04
0122, ba2b
63e8, 19ed
a0b7, 308a
8710, 61d0
99df, 589d
8eae, 1b8b
d179, 0174
ac7c, 2bd7
9574, 9f69
8318, 9a51
d4ac, 056f
a9d2, fab2
2fa1, db5d
b6f7, 63c1
acb1, defc
6b06, 2842
c84b, 3feb
84cf, 4520
8242, c52a
50a7, 75a0
dc2c, 423c
4e79, 023c
a987, f8c4
bd89, fdf5
26a3, e169
9694, 8684
e4c4, a9de
4a43, ccad
426d, 9506
6852, c1c6
62bc, b5dc
fef9, fdb0
ebd6, 476c
30f2, 2bce
0c12, 2ca2
7ffc, 9f86
3bb6, 0596
0c1a, 081f
d518, 0a8b
05a7, 82ab
3fa6, be2e
f6f0, b4bb
fad2, c8b2
c3d1, c6c2
7cc2, 7cc0
162e, 61f9
55cf, 122f
6685, 9cfa
ac04, a493
f8b3, 59bd
8ddf, bc91
2808, 3c10
5ce6, 216e
c916, 5a9e
96af, f5cc
551c, ccab
017e, d115
0da0, f619
812a, 734f
e6ba, 525f
9827, 514d
e768, 96d8
8889, cbed
175f, a7bf
c68a, 8bcf
5e30, e53d
16c3, 1b82
81e2, e9a2
a744, 209e
884c, 4779
0216, 5b4d
9759, 880f
72f0, 0eea
17e4, 5d6b
ee9a, 1cf6
c445, 3168
4ded, 23b4
071b, dc8b
a535, ba0d
d549, 3391
0a5d, b23a
11d8, d33b
20ea, 458a
7c55, 5c75
026e, 73ca
548e, 0176
a78c, df2e
8687, bfa0
45c7, c6ca
b162, 2130
04fa, c2e4
829c, c4eb
75bf, 952b
7cc9, cc7f
d011, 2f0f
342e, afe5
0209, a40c
d41c, 6987
59c4, 4ad5
f4f2, bc3e
7c00, bc82
2b73, e104
26ce, 5a61
6cd0, 90cd
c109, 5d5a
5b8e, 78f4
7528, da51
02e7, b948
46f8, a584
9c41, fc98
e7ef, 5e5b
fbb9, 37ca
18ba, a408
fb8e, 40c3
5986, 565b
235f, a39e
29f7, 9e37
fd6d, fe9f
c69b, 873b
bd43, b73a
70d8, 657c
4060, 6a2b
6c8a, d1ca
95bd, 456d
cd28, 7d5c
0256, bfc2
449a, 386e
8e34, 05c8
bae5, 3b07
ae7a, 7b00
c906, 8f6d
fa23, a53e
b5f5, ebcc
190a, 1d0b
dbf0, 327b
162e, 61f9
a6d1, b8e5
8113, 9c43
c60b, 195c
b81e, 6066
b770, 6772
df30, e832
1280, 86a6
fa24, 7a8d
6aa6, c1b1
e0b6, 6963
31f8, 9565
4e03, 9202
fa95, 5697
3762, d507
692a, b24f
ae8f, abfc
733e, 7378
d835, edd1
201c, 36cb
1ac0, d3a2
d349, 0934
f9dc, 7d81
e41c, 16be
fa87, 9d09
59af, f89c
bc49, 7899
4391, 4536
2c4d, 9728
3c73, 3cbd
d3c7, da3f
bb64, f0e6
6f0e, ac11
b5c8, 8ee4
e90a, 0967
e1a4, 28a9
b960, 1ac8
208f, f1d1
2f0b, 5334
ff3b, 59a0
346e, e4e3
06b0, e79e
607c, 1b7d
d739, c69a
b07f, 50ff
8258, ff39
e20e, b715
dfaa, 732a
82f5, 7432
aab8, 17b4
c824, 6b5a
fa08, 5190
b657, bde1
6b5a, c824
6209, 4f69
036d, b3ee
d935, 47df
88a3, 6592
a31e, 838b
84c9, a55b
cd9c, 36b5
cc00, 3a75
a2e6, 4e9c
7d55, 7794
33c2, 59ea
8bb0, c68c
9ed6, f260
d668, 1f36
3dd4, 3b09
7013, c508
fc06, e60b
9c04, 8c9d
1fd2, d9c5
9a0e, 3f79
3dd7, f7d7
a6f6, e354
1033, 1694
f74a, d083
c0f3, e1dc
b06b, 1c60
0d5d, 5f57
fb0b, e39f
1029, 74ca
33bd, 7d7f
9d85, 2a6e
4144, d0fe
b16c, 5464
26ac, 7416
fbff, 3e6b
eab6, 585b
a26b, 1dd3
93ef, 453f
ded7, 7977
586f, fc99
c3f3, 3f40
0894, 165a
d99b, e970
a863, ab3c
ccb8, 1921
7c22, 5c82
a9db, fa6b
3440, dc40
07cf, 0cca
263d, a834
4332, 9593
1da6, 9e1e
5301, a020
9a75, 3e44
96fd, ae53
3595, 87cd
644a, 6ed6
a08d, ea3a
fef0, 13a3
0561, a847
4383, 146d
427a, b0dc
7ff2, f928
b681, 08b7
ce8b, 7e76
ea57, 4e28
e5d0, c3d5
dab8, 05db
7d93, 3d79
ae36, 6d92
870c, bbb1
7d0e, 1d05
dc8b, 071b
1d0f, 01a1
4afa, 3f3e
e073, 4c44
372b, 38b5
f3ac, e86a
641a, 320d
e0c2, 4689
5702, 5e3a
e09b, 65fb
a5dc, f2bc
7177, 0d8b
a494, e863
4a4f, 9243
3701, 90c6
0211, d167
1fca, e386
ef4a, e53a
d665, 263e
39a9, 9a5e
cff5, 1890
0eaf, 5597
2cac, a83d
1c6f, efc6
e4e4, 9945
5816, 2943
acf9, edf5
a29c, 92ed
f769, b039
575c, 9249
b7ae, 25f2
0e63, 13cf
66a7, d43f
70a0, 1e68
5026, 28ab
f972, 2992
6374, 217b
cc04, 505f
a7b0, 0952
6869, 6620
d5e4, fd86
9663, 4911
bf71, 1eb8
799a, c695
3f39, 9d67
1887, 6616
e8d2, 2c65
5b94, e9fd
e8f9, 589f
8eca, ae17
b750, d12d
b654, 5c23
38fe, b78c
d41e, 7a27
a792, 1782
4881, 3f56
2635, 5b3e
bdc2, 4089
5489, 4465
fe73, f20f
2f1f, e47f
bfa5, 7667
b438, c7cd
11fb, 242d
3ee7, f9e7
f01a, 7b4a
fe47, 7d9c
799d, d9e7
7903, 5976
9606, 8a9a
e3bb, da8f
d6e0, 3ee0
61bf, ad2f
086c, 22a1
94d1, b4a0
4b91, 17ba
3660, 65ca
afa3, a81d
430a, f2bf
361e, d61e
aed0, 2a11
e801, 70a3
799e, e868
9bde, ab03
fd44, c61f
1e68, 70a0
eb8a, 8712
0888, 6d06
fa4f, 2bda
031b, b3a2
8443, 6bff
0c7a, d17f
7d94, b6a5
c736, 048c
5d13, 54d1
b9b2, ec16
b1bf, 9531
0e9c, 5df1
02cc, 6168
55e5, 2294
98d9, 0be9
c4b0, c5dc
673e, 873e
1795, cf9b
91f0, 5eff
b6f2, 6ad4
a8be, 9863
9410, c95f
8059, 9220
cbf5, edcc
5cf0, f4b8
0808, 26f4
f37e, b418
96f3, 493d
dba8, 6a16
020f, 140a
fd68, 339f
0a7a, de02
e85d, 5736
8978, ca81
c817, da2b
cd44, 3240
0412, 54c0
ccb3, 88b5
0165, 68d2
6077, e2f7
cc95, 122e
7a0c, 7394
e3cd, e083
b333, bedd
e222, e000
b055, a541
fdbe, fac8
9188, b9eb
86a6, 1280
ca41, 364d
8c2a, 2d8d
7fa3, 20cd
2912, 3a82
db95, 22ad
e61b, 5b1c
cb4d, 7b96
9416, 8a13
b2ce, 55c6
dc57, 4357
8b64, c00a
c064, 86d9
491a, 08b3
7de1, 70e7
0af3, b222
38b7, 4c1b
28f5, 0785
72c6, 9564
d266, 0abc
c5b9, 9aa1
efaf, fa2e
31a1, ff66
01e9, 210a
e4c1, cd03
7f14, 6273
0a2e, 26b1
3c5f, ee3d
f54b, bab8
b734, 0da3
d953, 488c
9922, b057
1faa, ecc8
c86c, afd4
f51a, 9d9c
845d, e19b
0ad1, e3a8
60d1, c43b
fe65, a262
e5f2, f7ae
b5f6, 6fd3
eb36, 43cf
a89a, 3bfe
982d, a836
2b59, 110a
648a, 091f
2b40, 3f54
def4, faeb
c27d, f215
86cd, c592
2e61, 5027
8107, 5dea
91cf, 7c9c
d159, dd9e
7f58, 54c6
59ae, a9ce
2e20, 3f38
1b52, fc49
ed95, d2c2
9729, 88b9
a146, c41d
44b5, 9f62
9289, 8087
5f5f, 4a38
691d, 2e8a
d83e, e22e
9301, 887f
e20a, 3627
cb0f, 803c
9f3d, 404e
4f99, 296d
0b5e, 44f1
4ee9, ea35
67a3, 38d1
1014, a0a4
87f0, 7f92
164b, 7308
ab6a, 9bb4
40ff, 8bc4
6573, 1f74
47cc, 37cc
2882, 778b
8cc1, 2372
505a, 770a
1794, 1a1a
1a6e, 0e57
b8a1, 679c
619c, 1bdf
2df2, cd3f
8018, de20
4f2a, c47b
fc1b, 9440
258e, e52e
58bf, 9b89
9beb, 31f7
b5a5, 0fe7
086d, 28d6
2b0f, 5925
4cbc, 0b5f
9493, 918d
be8c, 6fcd
9dc1, feaa
b074, 0a49
fecd, 9370
47f3, 58e3
e92a, 8043
e210, c048
fab5, af65
878e, e78e
759e, 6a5a
e6f6, 5091
bebd, 3f6a
17f8, 1891
be10, 0345
30b0, e225
3721, 2542
19ce, 2225
ccd2, 2a7f
ed8f, 8dfe
f113, d5f7
65bc, e455
3c5d, 4433
1a37, dee0
cfa7, 624b
0dab, 4b89
0a73, 247d
e564, 51f7
0281, 72fe
c702, 9465
126f, dabf
606c, 8801
7cdd, 8cdb
