95d2, aab0
d82f, 9cbe
8c82, 351d
717a, 5ec5
4499, a5bb
878f, 9e3f
b645, 5fd4
3dce, a290
e59c, 8e13
de2f, 6b3d
60ec, bb5b
5ef6, ac3c
bc52, 2d4d
f222, 36d1
b860, c363
f9b7, 9374
6621, f233
b8fd, 37b6
782d, 5b4b
00b1, 2fc1
e34b, 20c8
62b5, 7e47
956b, 65ca
67c9, 92f1
41c7, 8ed1
3445, 72a6
3ee5, 8200
686d, 8a1e
c32c, c28a
96a4, c6d9
530a, 2bf6
f9ae, d95e
8c7a, 6b9e
c5aa, 7eb4
62d9, 25bc
70de, 7d21
1ecb, 99a2
254e, c6e7
0766, 0744
2a82, 7923
2c7b, e25e
6b20, a634
37be, e137
1c21, 3db4
0809, 92e0
870e, 4709
304e, 315e
18e7, 6251
9656, 0ae4
ad6a, b9df
9b67, 95b4
9f78, 2fd0
aa2a, 3a34
9fe7, 8506
87ce, 3925
626f, ac73
e606, 5f17
6f60, 04e2
d00e, ac8a
54c9, fe3c
2e40, b53b
0520, 7acd
1e86, f389
725e, fed0
38e4, 3964
4ebe, a769
a3a2, 22b5
618b, bc8c
9ce2, 107d
1466, 289c
77ae, 61eb
d80b, ecd3
6d74, b3ed
ade7, d814
de42, 6f4f
66a7, 24ab
322a, eafe
6422, 6abc
eacb, b4ba
6a7a, a4c3
2a72, cf61
7114, fc99
aa08, 9071
5e98, 94eb
2450, baca
f2dc, d7bb
2976, d2cb
0681, 2f79
8e7d, 33ea
6b8b, e2fc
4121, bf76
05fe, de27
58b0, 4870
ddec, 5862
f70a, ff0f
139f, badc
cb44, bc3d
0582, 2002
1ea1, 0f57
6b86, 78a9
ecbe, e2e3
0bf9, 5011
108f, 745a
6c2c, c033
2901, 5a22
d934, 23f4
3eb5, b744
e35b, 47ce
bc9c, 8a9d
9966, ab12
220c, 8e38
8864, 5381
873b, 378c
9cf2, 70f6
0277, 68e1
3d51, a0a9
6722, 6d37
b306, 60f7
4811, 2e32
2fbf, 9254
93e8, 4ee3
0cd9, 9a86
68d9, 4d34
0a9b, 2730
df43, df48
40f8, c61f
ef3c, eec0
b144, ae1a
e06b, 32d3
270b, efa4
1526, 9364
2b16, 65dc
8339, 8e36
75cf, 2a69
3c61, 7c79
9460, 3d9f
e37b, 9eb1
02de, 8988
0fd3, ef0a
42ee, 59ed
5deb, adce
9289, adae
f0e9, eb46
40e1, 5c84
7ff1, 758e
ddc8, f240
81fe, a6a4
7fef, 80b9
69d5, 575e
c2f0, faaf
e52a, 13c0
88f4, 2ef4
e07e, d86d
bbce, 427a
c593, c1cf
2ea1, df69
218d, 457d
33b2, c0dc
a01e, b156
12a0, f4d0
09eb, dbf1
ba4f, 2d09
f6d0, a5f5
fd2e, 27c6
d224, e685
b5b8, 1e9c
66ef, 350f
fec6, 47af
ae77, 0e41
485e, 4245
c3e0, 6804
a01c, e919
447d, 94f7
6ce2, 959d
c015, aa62
d259, 7582
17df, f54e
28bd, 71d6
5db0, bd97
95f8, d295
3bbe, dd58
003f, f02c
3d42, c8e7
65a9, 1d6a
7147, c201
6c07, 588f
75f6, a49d
21f9, 4e2f
2a31, aadc
79d3, 530d
43fd, c4f6
79b2, a9a7
8c36, c55b
0eb7, d5a4
6940, fba1
9b85, de58
16b4, 2180
9bb4, 8fb4
08b0, 11fd
0867, fa22
3ab2, e723
d74f, e07a
2e91, 7b6a
3adf, e067
c382, 89b1
6394, d0ed
2662, 378f
2dec, 7dc3
3ba4, afc8
36f8, 509d
e0cf, 227b
a43e, 6585
f79a, bb33
e07f, bcc5
c3fc, fb21
f4b2, fdb1
573b, 53fb
2e4d, 71a4
1bd7, acac
36ad, 36dd
ad6f, 5260
4328, 4323
f1a7, 7f8f
aa3f, a537
cb93, 6c18
57d2, 5ca8
d3a9, 9ef9
e58a, 85f9
3f3e, 2f3b
f5b8, c99f
e707, 757e
0e4b, 243e
7afa, e4a7
7753, df51
bf44, 4c27
00e8, a0cf
157b, 82c3
772c, 9a1e
1eb5, 234e
9636, c903
da80, 913e
cbc3, f575
d2e6, a0fd
0c77, 1952
eae0, cfe4
d550, 9862
ab37, 7483
6db1, 78e4
8f41, 3f47
127a, 6f54
ed45, 29c9
91a6, ffd0
2cf3, 3405
4482, bc9f
06de, e6ac
49fa, e463
208c, c11b
d185, 0371
81b3, d802
c5a2, 5ce9
60bc, ced3
a1e2, 87f1
b5e7, a81d
3ccd, 9082
5783, 387f
d22c, e58f
88e0, bf71
217a, 2d79
ae1e, 8183
d233, f98e
fc4e, bd4a
25ae, d205
dfb8, c447
39a2, 95d1
968c, c89f
1849, dc8b
e68c, b92d
cb96, 9f6f
82c7, 35f0
17d3, f317
f7b2, 650f
263c, cd0d
3510, 3d88
c2e1, faa8
6894, 5d09
3cd4, a340
5e45, ee9e
0a40, ead1
c54e, c57e
1276, 2c50
3140, 8ed2
26a0, c7b7
a4d2, ea11
b48e, 2441
9d88, e1f4
edf3, 560a
552c, d888
d388, 1e1b
4682, 377c
1376, f017
55f7, 7e9b
accc, c454
ce72, 1046
9cbc, b6c4
616d, b5d4
bfec, 79e7
7e56, 3e56
c2b2, e6c7
c517, 17f1
5524, 42ec
8e60, 60cf
7287, beed
e36b, 8a95
c4a9, 3860
d871, c7a1
794a, 1d86
fb36, 72d7
d6c5, 875c
6520, 4f7c
2d45, ca58
ad97, 0b26
ac8d, 9c17
f0dc, cdce
b9b5, a206
27bb, b81b
6b63, 881f
57cf, cec6
c1e6, e7d2
01d6, d650
3be5, 7b8d
888b, 3228
6239, 7143
32fb, 217d
034d, ef75
80db, 3b77
53ef, c0c4
ade0, 532a
9c6a, 5853
cab9, c986
4b8f, 771d
e2c6, 4ed9
1129, 671f
bce6, 7c19
1715, 8efe
fe7c, 8388
db14, fb9b
1800, 6ae6
724b, c6df
6254, a028
177c, 0db6
31b9, 4b02
121c, 02e5
d757, c0df
a20a, d72f
9443, ea5c
5d2b, 612c
8abd, 3d64
e2d5, 6938
47fe, afde
8a84, fe1d
1cbb, 9d13
82fc, 7db9
58ec, 6ea1
b211, 43bd
662d, e97c
39e1, 47d0
ded8, 2713
9e2c, 1bdd
e8e1, ccf9
e714, 7c81
1fb6, 0552
845e, 1cb3
8b92, 3b92
b202, 2072
79fa, 1802
90d3, 9d91
2183, fb1a
07f8, 44df
ef0e, 78a1
a0f2, acb6
ddee, 0403
71ef, 6c9b
98c8, 035f
9000, 8b04
34e4, 6f9e
39e9, 44ba
1bbb, c330
ba6f, ff37
2ce2, 68ce
592e, 0ade
59bb, e7bc
58f2, e83d
902b, e3fa
5075, 0c9d
a383, c961
281a, 5fa0
a967, 1e5d
366e, 4678
5d98, b3cc
ee56, e946
da42, 7234
e7e1, 4bd4
0eb3, 0144
053e, 04d5
a510, f921
9860, 8ebb
89b4, d045
c874, dc6c
e131, db5f
a95f, 252a
c9d9, 9954
1d75, 70f2
d78a, a722
d21b, dc81
cba5, 24c9
2198, 020f
c42e, 4683
63ba, 383f
ae29, 34bf
2ddd, cba1
97ca, 1a90
1d0d, dca0
c75c, 4bf1
5a48, 73e5
9992, 9c19
fe6a, f1ae
244d, f9c5
f983, 0fd0
eda9, 6174
5f78, 0041
e55f, 33dd
b7d9, cfd1
16b0, d247
1b3c, d65b
328a, 5dac
4d0d, ba29
4b96, ef99
2299, 8329
f287, f8cf
ac4e, 30bb
0f21, b14c
f71f, db8c
53b8, 8b31
b844, a48f
99ef, fa38
9f2f, 1be9
21cf, 5fda
50aa, ecad
c4e2, 4821
7ebe, 9ed3
f29d, e419
d23a, 051d
5544, 16c1
54cd, 4359
0921, aad2
f90a, 41dd
f1bd, 6c5c
1c7d, c2d5
4237, 320c
6a6a, 4ec6
09a6, 5d4e
1035, c4ba
bf56, f1cb
c64b, b4c6
adb8, 6713
4024, 4a3f
7e01, ed98
7eab, cc6e
7c5f, 30e5
a636, 088c
598b, 5e0b
f3f3, a6d6
8ccb, f3d8
a17e, ce37
7093, 3896
6df8, ff91
48a4, d2c2
1034, e31b
5b63, e72f
c23e, ad8c
91b5, f6d1
2850, f2ea
698b, b78c
b026, 2371
ce95, a04b
8094, 292b
a0ea, 68f0
fac7, 6c38
9d3d, 7dba
5326, 638e
65ee, 1e13
e9bf, 4ef9
d804, d343
3fda, 4bbe
087f, d2d8
daef, d78e
5e3a, 3876
bd03, 080c
8b33, de5d
61bf, 436c
4fd2, 65d8
0a31, b49f
353b, 7aa3
1b40, 5282
a57e, 95e0
c599, d460
a8cb, 42f7
aaa5, 0b93
e20d, a534
1a60, 84f3
f9d1, d278
f53b, 39b3
f451, f6c1
7d46, 0cfc
cb8f, 5429
330a, ebc1
33d4, 8d23
3c45, 4164
35e3, 06e5
5e15, a339
ebd6, 78ab
4624, a2fa
de4c, 6cfb
af7d, cfaf
c46c, 3668
5d85, 0607
5b2b, 707d
66ff, fb32
13a2, c8e4
7544, 8946
d493, f95a
6518, ecf0
aeae, 8608
8dbe, 46fd
fd48, d421
fe48, 3f6c
3fa7, ef4b
c80a, d8aa
5b5d, d444
8846, 6a95
31ff, aa33
7646, d5bb
ae5e, 46ae
99b1, 9da6
4c73, 7299
075e, 7955
ca25, c6b9
c630, 0a8a
49e2, d537
8223, 9e91
8c10, 506b
c4f9, 00bd
9462, 0216
9d11, 1feb
f677, 256a
0391, f69e
e1dc, 7c35
7dc2, e2c1
92f7, 253c
ad0a, 217f
0f3a, 0e4e
96c3, 3277
64cf, a393
6c58, eceb
65b3, 1752
1c70, 932b
2519, bec5
1965, 3b39
f255, 673a
ce04, d365
b624, e360
7b31, 8723
0673, 215c
fa65, 03a7
5982, 1f06
cc97, cc91
7485, bc5e
fd1e, 1b4a
a17b, 137b
1712, bc96
269f, a723
775f, 5e3f
47af, fec6
c4f4, 8fa5
7c37, f484
7ddf, cc24
9891, a9a0
ab54, 0964
9583, b40e
0b4c, 880e
dea2, 16f6
bafe, 6dab
7ecc, fc3e
fdec, 75a1
a761, 9eff
7655, 566b
c780, dd25
bbf4, c889
d564, 69d2
b963, 6768
ee40, 44ac
6e65, 446f
81f1, 0351
c371, 256d
af48, af43
a83e, b600
1adf, 9ee5
dfc3, 61a8
3950, 77ee
42a0, 2aec
275b, d95f
7a63, 936a
1832, 8d6a
fb57, 91a5
8e39, 4739
8ed2, 3140
1bea, f0e4
abf8, 8476
45a7, c5c0
a582, 5407
c848, c716
7057, 5571
3a62, bfff
07dc, 265e
d83b, 6a4d
9a34, 7a2a
1945, 5570
67cc, b18a
1b51, 770b
99d0, a99d
4e98, d883
157e, b818
677d, 7437
62b0, e9fb
757f, 658a
e4aa, 6e61
b85d, 399b
5078, 67d2
ce7b, 8dd1
4184, fe74
4368, 37fe
ab29, c913
ddc9, b526
4139, bb0b
98e7, 8812
cedc, 5028
9ddd, a2cb
7901, 987f
6723, b9c3
8db6, cfed
ba9b, e548
8ad1, 6119
bd19, eefd
f0ea, d2a3
2c56, 445f
ce09, 2318
b2a7, 194e
6445, a356
c350, 418f
2265, e22c
7d4b, 2a96
a3a8, 266d
59ec, 99f4
4495, c3f2
2997, 6a6e
07c9, 4936
7006, e54e
f25e, 32bf
9e66, e94a
3bd1, 7e62
b7ae, 67d5
b087, 7715
0739, bb32
8747, 5d5e
a741, 0624
8ef7, 35a5
d103, e4d6
c4c3, 1cd4
9766, b204
0ad9, 204f
1f6d, c9f6
1408, 738a
27ea, f3e9
b835, 672b
c1f7, e4df
46ba, 10b5
40ee, 0d01
1e49, 0e06
73bd, e927
5e9f, 4589
8a27, ba71
6ee7, f993
31e7, ea7d
cde1, 95a8
9317, b244
2da4, c67f
d6fc, 5d19
dfdf, 78b4
04ef, 8132
2e67, b85e
04b4, a880
5217, b80b
c048, 9f8a
cf70, bb69
714d, 138c
ce0c, d170
aaac, 8303
397a, 4a5d
abdd, 650e
7ad3, 7230
2529, 443c
ca2a, 387d
7d78, e049
506a, 5c60
9eef, 31ae
d45e, eb2b
cfc1, 8ac7
0e38, 1d74
ea8c, 7b08
3141, 65ba
531a, fd12
fc9f, 91be
8302, 90ea
582b, 3c66
6332, 767d
4bc9, 89c4
168a, d8c6
9d06, edf2
b22d, 90e6
3c05, 51ae
de41, 928e
e858, 5fe3
c156, be31
92c5, cac3
075e, 7955
8659, 25e1
5746, b3a9
b397, 3f23
8741, d747
6830, 05d1
b873, 3845
6903, 5896
a08a, c1f0
a370, 80bb
994b, 3a7b
927b, be88
d4c4, df62
22bd, 1bda
f448, e055
4ff3, 58e8
705d, 3ef8
40a0, abc3
e84d, 30de
6137, f305
8189, 9381
a46c, 80d3
3d49, d987
1f2f, 6c69
2218, 2e81
bf47, f72a
0bbb, b721
30cf, 290e
39ed, 87e0
33dc, 1d84
8900, 2b9e
cc54, 7d0d
1797, dd08
3abf, d95a
a163, 0153
8f83, 9bac
43f1, a9c7
e046, 3077
9acd, c48b
8374, abe2
0f52, 106b
bb33, f79a
508b, d7d3
18eb, 0af9
6b4b, c426
eb89, ca91
b9c6, 5d0e
7742, 4295
4364, cd87
21be, be15
bb86, 1c5b
4f34, 4b5f
84fe, 75f4
d024, 74b9
a382, dcf7
1995, 0723
df19, c581
3371, 8185
725f, 0251
a422, f989
2c3c, 47b0
02f1, 8a2d
fff9, 0c84
d4b9, cb6f
aa5b, b4b8
1673, abb4
752c, 31e2
244b, 83bd
b9dd, 80fa
8f09, ea74
ae8a, 3237
976f, c940
95f2, f44a
5140, ae92
c089, dc4a
4e4f, b579
d5d7, a1fe
db1f, 9200
c71c, 5377
ca2c, dd03
abe0, 59e8
c281, 7232
4863, 940a
2349, 29b2
cf1b, c16e
ce24, bc64
2cc2, 8ff7
17a5, b315
3dbe, 2a43
dd6b, 510d
ec6e, 6cab
40d1, e825
0391, f69e
fe68, 80d6
87c6, 1444
4b0f, c66c
925b, c821
f0e9, eb46
8ec8, 5a82
f121, d158
f666, 74eb
b001, 63f9
3642, 9f44
57e0, 5b20
b0d5, d45b
623a, 4065
db90, 0e42
a04f, 9442
940a, 4863
20be, 4a57
d466, c3f6
4321, 29d4
a21b, 722a
7fd0, dd7a
df89, 980a
c6bc, d51c
185c, 5d40
d7af, fda1
9c06, f605
0719, b7d0
e8cb, f815
6723, b9c3
74cf, 08a7
078c, e586
b7db, 6e8c
766a, 6003
f3df, d2ae
e9b2, c1ab
c2b9, 0c0d
d0a3, 2481
0923, d6b7
0e07, 10d9
19db, ab84
8061, 068b
1dee, acb7
f88a, 1f3a
9fda, 6ad2
679a, 1a95
e07a, d74f
6486, 2164
6aba, fdde
b29a, af7c
f2e6, 9a90
2ea6, d6ad
7a3b, b609
f677, 256a
db4e, 74fd
05a6, 81f3
8cc1, d730
7dfe, a26f
80e3, 3b60
4af5, 0f65
4b8f, 771d
7af0, 0b32
2711, 7fe4
fb46, 1a5b
3ed8, edbd
83b6, 45c4
3d48, 870c
3ba8, a8ba
158c, b58c
946d, cfb3
5a42, 5c1c
190b, 210f
de96, f350
7948, d389
b28a, 1e70
3e3a, 267e
c324, 4930
01f4, 86dd
8ac0, 663e
1fcb, 8989
9286, 6101
fd01, 81e9
d2aa, 9241
3500, bb18
52e2, 81f0
0111, 55df
2df3, 6b66
8b5d, 7f4a
8328, 701c
8724, dcd2
3090, 8b40
d9c4, 5737
7ca4, 0308
e57a, 983a
b852, 7cb0
1688, 1bf9
e814, c22d
e386, 711c
c563, 96fd
95bb, 9f03
5e0c, e2d3
5a60, 5c4d
af7a, 973d
f895, ba3a
d9c8, e9ba
42bd, 68ca
f492, 3fd7
c2d3, d197
647b, 8dde
963f, 2b7e
b45d, ee2a
4aa6, 4699
cf63, fa4e
8fcc, ff62
0033, 92a9
579a, 4fd6
5549, 9524
7893, 3bc5
af9a, 9a6e
4881, 2844
3d9a, 45e8
3d7c, 35db
0d0a, 1df7
ab9c, ac41
4e6f, 33b1
c7d4, 4538
bd2b, d43e
54ff, 6037
0eda, 8bc0
d582, 2ecc
295b, 5031
856e, 2cfc
7e90, 3d70
e07a, d74f
1e41, f0d8
3de0, 4c56
8fa0, 65bd
e3e0, a04a
ab68, 64cd
597f, 8a1f
f3fe, 100c
d8f2, c16a
91ae, c4f3
fe90, 1d56
22b3, 875b
ecf7, f896
75c9, ca6a
5aae, 6b4e
9520, 6a52
7980, 8da1
960c, 6292
ec53, 5094
1028, 46b1
35f3, b9f5
d6c3, 0acd
a83f, 4f48
cb39, aa78
860c, 5ecb
a0f1, 3496
b9bc, 5667
83e4, 76da
3e21, acdf
d21c, b217
3bda, be4c
4d94, 9343
05bf, 3269
f785, ef03
16e6, 7f84
13e3, cebd
3e5e, 5cf6
8b93, 70a5
b789, 0f91
a829, a311
1e18, c34b
e85a, d14a
c8b1, 6f02
b408, 8f26
8591, fdc7
e4fe, 670c
4093, 70ff
2c41, cb8e
ff40, 4947
5c3c, ee1c
673b, b93c
9926, 47c9
c9af, f072
5245, d07c
59d0, fa18
4ca1, 9a40
6f87, 7f55
6e62, b36f
4e4c, 9e4b
9c9b, 8fda
114c, b3f9
2607, 2d16
d0b0, abd9
54ae, a576
ff4a, 0799
0cda, 6957
1d41, 9601
b016, 5cee
3c2b, e380
7566, 486c
10c7, c258
1c75, 8d3f
cabd, 9c5a
b033, 6469
3fdc, 0954
f5f0, ddf4
7d72, 0f04
73ae, 293b
4080, a231
cecf, 8c71
68a8, 1ec7
961b, c044
3219, 5960
e07d, 05ca
3223, 86cf
6a05, 7daf
2833, 3a49
9e1f, cfcd
ea7d, 31e7
deeb, ba45
f099, 2553
e7af, 18a6
8311, 3e17
f104, 7f26
1b90, 857e
ec79, 48c7
5e8a, 4cc7
7477, b8e7
87f3, 4ac3
9d3e, d842
be0e, 2630
f00f, 68fd
4345, bc47
1c44, 1144
47b1, ba51
910d, dfcb
5134, d164
c4a8, e2e7
2bab, 2beb
be61, 987a
63c4, a270
f1c0, fb8e
6008, 6d67
da0c, 07c1
cb6f, d4b9
599b, 5b2d
debb, 4029
3797, dcad
9c9b, 8fda
d8a0, 2a9f
9701, 4e75
f1d5, a43d
86fa, f9f8
3a89, 40b9
8593, d7cc
3a86, 2710
82d9, 07fd
69f2, 7ae2
7992, df10
9b33, a556
ea75, 3e53
039d, 3b7f
c966, fbf2
23bb, 2004
e096, 3e3d
68c2, dc5f
a9f2, e793
60e4, 56a2
783b, f220
81d8, c71b
0698, f165
b7d1, d73e
50a3, 441c
9ac1, 568d
53d6, 4b08
b9b7, 05f1
dab8, 578c
f841, d82e
4d22, ff17
1a17, 3fa0
aa13, c036
518f, ac0d
a608, 1b6e
2ff8, 720f
518e, c039
5112, 4f3d
2296, e772
c0d5, afdf
b383, e106
2664, 85b1
fe9e, 1e80
cd23, ee00
28e3, cb68
8c1d, 8ed3
8d75, 0d90
879b, ae7d
5a4b, 7282
891d, 0ad6
1530, e7ef
66e7, beb1
8e62, 2be2
44c4, 7a14
572a, b03f
d466, c3f6
1495, 18e5
8f6a, 3a68
71ee, d168
2cf8, 321b
490e, 57d5
019d, 3517
a3e6, b115
0373, b347
5871, b333
7db3, 6cd2
28b1, b313
206b, d11f
ed92, 688c
e936, 7181
9a52, 0c6f
2dfd, ae93
e448, 1420
581a, cb54
cde2, bd14
ed65, 06c9
dbfc, f1bc
ea43, fd00
65bc, 6f03
b5ad, f94c
af2c, 6e88
49ad, 67a6
ce59, d00b
58af, d9f1
94ae, 8a17
371c, 740e
b5a5, 2dc9
4561, ddcc
017b, 8538
f2ae, 336a
cb89, 3d5a
4655, ef14
5a76, 3159
6d1d, ded2
1a19, 9adf
c1da, 1b27
d331, c6a4
0b6b, f88b
0f66, bd9c
7506, a819
f39c, 9ecd
380a, b690
e47c, d4ec
5565, 05b3
d86e, bfb0
efae, 2cab
cc19, a475
d68b, c1d5
796d, 5be2
7d22, ba3d
1645, 68c9
ec15, 23b0
106a, fbba
17f8, 8044
30df, df5b
a469, 3245
15a0, 0aaf
1bbc, 0fe2
49eb, 1620
8d6a, 1832
ba54, b803
dcf0, 7ab1
05e6, dadc
8f17, 08f0
6083, 1dab
a67e, 96b0
b034, 7685
c64f, 1074
cfe1, e43a
c60e, 804b
6ba6, 7a5f
1802, 79fa
a19e, ffeb
a474, f4d5
b450, 805f
7309, 9961
c8f6, 2094
028e, fd8a
ae70, abf9
a054, d97b
ba55, 904d
8627, a025
5dda, 299a
9a30, f493
ff3c, 6c16
3860, c4a9
96fa, d33b
2969, c00f
a565, 0d6c
1e71, a0d6
991f, 29a7
5189, ced9
91d7, 9af9
c92a, c9a6
d419, 09af
aa95, b299
821c, 4433
b919, 6171
d300, b81e
a3c0, f43b
9a0a, 9448
e97d, 679e
4aab, 2509
5780, e3f0
bf12, 60fd
f710, 265d
1f59, 9609
f22a, 710c
a4ca, 3190
b93f, 08e3
37c3, c6d6
7a5c, d36f
98ae, 5522
5a31, 92a3
ce87, 5b3a
4378, 5fee
1853, 7bec
2c11, ab6e
c6c1, 7e83
2414, 4ef1
7b06, 687b
e878, 7e49
9b2b, ee4c
c283, 3a0b
0c14, 1e4f
2f12, 5f8d
66b5, bace
c02d, 22da
c781, 89cc
0f8f, 2a7f
e3d0, faa4
9e64, 7563
ea3e, 3207
248c, 8a65
8517, 931b
f66d, a06e
52c1, 0aca
ca7c, c5be
bd42, fd7b
88c6, 38d0
b669, b8a6
1ce0, 9e49
fd99, 06f5
b15d, fbea
068c, b938
f029, 3ec7
9fe3, 7a7b
cbda, 71d4
c279, fc06
b56e, b752
43bf, 2b4e
f503, da6f
a515, 4449
8437, 5b34
71fe, d698
8c2a, 168e
3e07, dfeb
