e3c0, 0c1e
ea36, 97f7
b443, b152
4d98, 1423
278c, 3332
2d14, 6359
ac37, 5eaa
cb92, 93dd
2a61, 3e2c
8968, 750b
872d, 54a5
c8b2, e875
0d4d, 98d9
42a1, e765
7b74, 56fa
c9ca, ffa1
4c7b, fd6e
0b02, 71f7
c7c6, c7a4
19e2, c6e1
adda, c91f
275e, 17e4
342e, 0842
30f1, ccc7
b66b, a61d
bec8, 9275
940f, 65ee
144c, 9e10
be22, 01d4
d9a3, b4e2
30eb, 2bc4
916b, 7f9e
fbb7, f32c
e577, efcd
db57, ddfc
cc78, d75a
2f0d, ee80
13b3, 067c
74a7, 50fc
5df3, 1568
76a3, d17a
395f, ced4
bbe4, 021b
2a29, e8e8
4508, 7c77
2775, 5111
f9f6, 1c7f
3927, 085c
ffd8, 0bcc
6bbe, 1406
6849, e4c3
1467, cfcc
3dc1, a505
eedd, d720
e661, 4d2a
2457, 0e7f
c716, 8a97
0aa5, f895
1a1c, bde1
e3b4, 8de8
51a8, 01a1
0603, a9d6
b812, b161
572e, 4e70
bd75, 87a9
bbc4, ee32
75c6, 48d5
cb1d, ed1f
0ae5, 5594
b9a1, d0ee
5359, 5660
81a2, 8b16
caa3, d2b1
4cc7, 58a8
b469, 1e9d
638d, c61b
f3cd, 0068
3bba, 6c59
746c, 97ba
4911, fa2a
aad9, 53cc
f653, 2553
2039, d7cc
e91a, fd76
21a2, 0ffe
0c52, b801
11ba, 54ab
3620, 570b
0a45, fe5e
bd19, c1f1
4c62, 310a
d7c6, 184f
c80d, 66bd
f4d4, 7ef8
a40e, 5f54
5e64, 8b2b
1870, 6a87
2bec, 9354
f9fe, 98c1
024b, fa37
d21f, fb29
3f96, bc61
4770, e856
1006, e631
42a3, 9cd1
7168, 606e
f345, dcf2
d155, 058a
a1ee, 1a22
ecb6, 26a6
84a6, 6d14
b5b5, 3e8c
a0e7, b911
06a7, d0dc
0893, 4c10
783a, eaa6
88c8, 1289
2e61, c2dc
ee65, b086
3b2a, 69c5
a407, 1acd
aef6, bfee
7020, bcc2
00f0, 4287
62c6, 91c8
7002, d169
47ac, 8b7d
f5c4, cedc
30ec, 7720
1687, 2f67
fb25, c88f
2009, 0a4d
8997, 5fb7
0aff, b26f
fcb7, 33d9
56a9, 953d
6099, 5b0c
2c6e, 12fd
af77, 3b6c
c443, 2a85
2293, 56a6
cc8b, ce83
a26f, ead7
d369, 85b3
cd3b, 2e0f
8c47, bc2e
eda5, 94e7
8770, 8339
28a8, b4ed
f2a3, c49d
01f5, 4f4c
b3cc, c545
59c4, d737
cdf0, 3b5e
d9c7, 8718
a7cf, eda3
1342, e984
fe8d, 726e
ea14, aef9
cbe8, b87b
357e, 260c
cf5f, 1fc8
4198, 034f
24df, 1f9d
ee29, 356f
246f, bef8
f6a5, 530c
e9b5, 6c1e
1d0a, 5fba
d528, 9079
6374, baaa
6ef5, 9314
8dfe, 4f94
f15e, 4f92
0efb, 2deb
c597, efa3
6419, cc52
fb87, 24f7
d83d, 70d2
74bb, 6cee
95ef, 8b2c
524b, 862a
059a, b0e3
f6ba, 4949
02cb, 7f10
714b, 9527
0947, 4cb3
bb67, ed51
74fa, 16ca
317b, 4447
ab23, ed98
dc53, 1c9c
4893, c8a0
3b2b, aa69
ee58, 1276
d458, 24c5
d776, 02d5
5c53, 5bdc
cc9d, 992a
40b5, 11fd
144c, 9e10
148c, 5c4a
477c, 3d4e
95b0, dc7c
5409, 2dc2
f30e, 9c3a
275f, 404b
5d66, c378
3a3c, 18e4
cd91, 8367
daed, 1e12
7ee7, f7c8
8b1d, c7a9
931f, 24bd
e4fd, 65b2
8e86, 3634
49e8, fc38
77dc, f24a
5721, 6e2f
64cf, d00c
911c, bd2e
19af, 1c1b
9ce5, 50ba
eee4, 2e5f
9672, 2fa0
e092, 4049
aad8, af99
aa4d, ca37
f640, 65d6
dab3, 2e9a
bab3, 8671
9482, 5e4e
d7f8, 2b07
6544, 2e76
cb53, 5b8a
7cab, e569
7411, 17fc
cf5a, f20a
116c, c937
03d8, cb0e
b2d2, b37a
302d, 6e74
8e28, b034
fc63, 28e0
ad98, 2d1e
bd93, c368
cd9a, 12d1
f6d4, e828
50d5, c6f3
e08e, 41aa
edaa, a9fe
b8c4, 25e8
7169, 52ae
5d7d, 8dce
4c56, e9eb
b3c6, dac6
9cc4, fa45
29ce, 3f34
b6a4, 5fe0
c606, d056
cd04, 5772
45b4, 60e1
ff30, ede3
a97f, d05a
537f, e2ad
3e1d, dac0
c941, ba10
1629, 8c87
579d, 48dc
2e75, af88
dd75, 8f1d
b140, 1827
5ae4, 6372
1d56, 4dc5
3017, 647e
f672, b791
c0f6, 771a
e3ff, 18c6
9488, 0ba2
96d5, d050
5092, b05c
278a, b35a
22c8, 820a
7da4, ff5d
a389, 487c
9501, 5f19
106b, 613f
57fd, 8b7f
1056, a99a
1d2d, 0dad
7bdc, f463
8c5f, a6e4
b7b3, 844f
1712, 23f2
c974, 0a74
6523, f14e
3d39, 667d
794c, e026
a549, d684
9996, 75e6
a987, 43cc
ce25, ef09
8ac6, a1cc
6d5f, c7fc
38bd, a8c8
b94d, 166f
0092, 59f2
4e2a, 05ec
5d25, f8ab
c083, 632c
e02e, 7219
1c0c, a496
1b64, fe18
0dce, 2c5b
db9d, 6a8e
5176, 6ba2
1720, 75ca
d3c0, a107
b20f, b590
414e, c798
e0bf, c972
3a5b, 3b1c
56b2, 1458
d4ea, aae5
4652, 4b96
d6cc, 35cd
cd59, 6155
2067, eaab
4299, aeaf
949a, c4d6
2ff2, 6f87
d1a0, 0a13
1245, 9c36
b054, 0ae3
a3c1, 29db
9428, 9714
76a6, d5c0
1f0b, 0bb0
76cf, 09f6
8a68, cb89
7533, 6598
22dc, 4b91
a535, 10a0
a6d6, 0349
de55, b65b
8302, 4ca4
9fb4, d26c
5bb5, 0532
f58d, 9858
60e5, 21f4
9e36, 2a6a
092c, 848f
3c11, f34f
3bf3, 97c3
491d, d630
8afa, be20
c662, baa8
b53a, 46e9
5306, 6dec
6234, 4e0e
10a4, dc26
6ae1, cdd3
7251, bb96
ee44, 84db
3c0c, 80d3
b8ff, d7da
d7a7, cb8d
04f1, c145
c95e, 4bac
2caa, 9670
2214, 3801
0b8f, 519a
3567, 5066
a69c, 663b
7961, e35f
375f, b4d8
5ca5, 5caf
f311, 308a
fe71, 4aeb
8fa6, e71d
feb7, e154
f98d, 851f
ad3d, 4214
bf69, 8819
6444, 99a9
206d, 7e86
e3ef, 533e
3997, aff3
cf01, 2e2e
c544, 8bdb
b407, d163
3bd9, 13b1
3512, 654d
7472, f552
7f98, 4934
d6fc, 3489
7785, ae98
a660, 53c1
32a8, 7a62
cba2, 32c4
6932, 52ab
221e, 7a22
e38c, 6a8c
15ef, f76c
111d, 585f
9d6f, 5a34
85e0, b5ba
2aae, 752a
a065, 7390
2e67, 19a6
3ac0, 34ac
4a96, 54e4
3f99, ce19
26ce, 86a5
6153, 18d4
05b2, 4381
fe1a, ac3a
2465, 6833
f166, 5b0a
3fdf, fe29
dbe9, 8b6f
3242, 752b
352c, 564f
6b2a, 0440
3eee, 252e
9912, 387a
99ad, a43a
f1db, 96d3
873c, 8136
b7a5, d544
efa3, c597
2bc0, 576a
90fa, d6ef
d58a, d0d9
73a6, a713
4372, bcb7
c1a5, 9986
279d, 61f2
e6ec, 7c16
c754, 2593
319c, 62f8
e411, d8c4
a1c1, 7ddc
1b6f, 846b
e899, 2178
c54f, 7415
8160, 82a9
0a34, c1e5
6f4a, 033b
eb44, 6ff7
4900, 72a5
f3e7, 97c2
d977, 9a77
12f7, e935
3179, 9ae1
e192, a17e
47dd, b015
fb30, dcf0
26d0, 71fa
d3b7, b81d
d851, 0513
9f60, c036
65f4, 9cf8
70d8, dc47
2c96, 84d2
e211, d1fd
f0a9, 38d9
33c5, ca57
bd5b, f0bd
3287, e901
0720, 1992
79a6, 9ba2
6e86, 2ec7
3867, 1dd4
199b, b81b
ca5e, acef
110e, 4438
8f07, 5ffe
120e, 4798
2742, e06e
fba1, 2c47
584e, ae55
01f8, df43
a4c1, 2aa2
e78a, 7db0
8e0d, f939
bdec, fbb0
e185, d82c
d6a0, ac3c
89a9, 6c18
f80f, 7627
9a77, d977
247a, 8fa0
d79c, b70f
a1ee, 1a22
8d40, a2fd
db63, 7e90
a0dc, f4c8
d593, efa1
0398, aadf
baeb, 579c
7c74, 563a
0043, a21d
d1dc, 4f3c
22ca, e20b
d9bf, 6dfc
b35d, 969c
2878, 68b1
ddce, 6611
286c, 91d9
6fd7, 6136
aeb1, 7a69
63da, 5d4d
0a3d, 0ca6
ed88, 4424
f9cc, 5194
60f2, 2805
9aad, fa98
2865, 6c92
e0ad, 64f9
ba9e, 6e8b
3ee2, f9c6
5d64, fb0a
fb6e, 293c
4a7b, c6b5
047e, 7e29
c2da, 1fb9
33b2, 9900
a357, d4d7
d98a, 5e70
3aba, e0dc
eea2, fdf7
92f7, 23a1
6884, dbb7
0cfa, 5750
6864, 7a89
7a0b, 0efe
4d04, 6334
4ece, 5964
fd33, 6ba7
4664, eac1
77d3, e5af
503a, 076b
9db6, 9c9a
88ba, bb2f
5f88, 919f
3c85, d2c7
aef1, 418f
0d76, 19ff
566d, f799
eb02, 611b
5d07, 50eb
aba8, daad
7ba6, ad0a
05ae, b29f
2d23, b6ad
cb71, 334e
635d, 4864
df9e, 6335
d3ff, 397f
17d7, ce5f
7cbe, add6
78e6, 4d3e
119b, ca1c
c34f, e766
14f4, 14f8
011c, 7074
7fc4, b59e
f9df, 87de
ecdb, e22b
ca5a, 3e0d
7ed4, 1e47
001f, ec35
054d, 313e
73ba, 01ff
2d9a, 0a0d
04d0, ff6a
02da, 1ccb
77c6, 181f
3eeb, bf4e
52a7, 02ff
f3c7, 1a13
a021, 73b1
1164, 856b
472d, e6a7
6c53, 32c1
38cc, d94c
f5f9, b3d7
c871, 346f
8942, 2947
851b, 7527
31bc, 34c0
9a7f, 62eb
6291, 9b07
6fff, 2756
8065, 6b56
4dfd, 0894
