8200, 4093
7c8e, 9516
1211, e92f
d7e6, dabf
127a, d501
cfb9, c0b4
99cd, 409f
e14e, b71f
923b, 8f0c
d8a2, 055b
caaa, cbc9
bd1b, be2e
8984, 8c89
5293, 5a62
513c, ce3e
4fe7, 43d2
fc8c, 1f0f
8163, 2f67
7193, 7ce2
75ae, 85ad
0971, 5b37
7aac, b4a3
d866, ad64
5c47, 5a4a
fc82, 18f4
5ce8, 5880
aeb4, 6a5f
7f79, f82d
5a27, 06b6
dd27, cbd3
512f, 5eef
4c12, 4249
b912, b527
a2cc, b3fe
db7f, 4622
6834, b4e5
353b, a779
97ea, 93b8
43e7, d3b4
056c, 08c9
ffa2, c6a7
1415, a928
8048, 1e85
5e38, abf8
113c, d505
1418, aa1b
14f3, 1d04
ac4a, 5410
33c0, 9158
61c1, f877
1707, 1192
1f59, b857
cc84, 1941
001c, bf4e
ea82, e508
76dc, 006c
c528, abdb
bd9d, 2cca
f719, fb1b
96a7, 5418
c9d1, 2b8b
cf53, ca54
21b3, c273
355e, 39ad
5740, 25f2
b341, 6801
a7e0, 32c7
88fe, 423e
ba78, 7a15
a698, a444
8af3, 66fa
34d7, d704
1348, 10fb
68bc, 96e7
e31a, 587f
fb20, 569a
237c, 287d
f189, f085
d218, d9fb
5ba0, a0df
c9ef, bcce
1535, 195c
5010, 32b4
367d, 039e
dd56, 48a6
f48d, c28c
aa9d, bdc0
4491, 477f
2708, b8e4
7fb9, e6e2
32da, 1fc9
e239, 64fb
0bc7, 06ca
0c05, 2f95
15a1, fc67
b688, 7f63
352d, 7dbe
61de, e0b6
04b7, fdb4
12b5, 2ac8
d19b, 786f
a5cf, 42e6
d6cc, c5c9
e8dd, e3ab
f3c2, 32dd
f451, 5685
42f4, 086a
d027, f9ef
dc6c, a563
a881, 1d8f
697c, 67a7
56cc, 38ba
0f8f, 0081
49bb, 458e
005d, 3ef9
ff9a, f593
bb6c, 5d3c
2eae, 2931
9151, f4a1
afc1, d98e
5947, 4b47
9811, 1279
3a12, 5516
7bb1, a22d
c4d1, cfdb
42ea, 2d33
2393, 2dad
94e9, 96b5
23c3, 9506
c449, c64c
4a53, 5430
2db2, 59a8
125a, c616
8c5a, ad9c
e0b9, 6043
898a, 1eac
db1d, c33f
8a23, e178
0f0b, 07e5
e4b8, ef94
4596, 6d08
0445, 0948
f490, c103
b663, 00a8
c472, 62db
7e29, 7d24
8b14, 4551
e25e, 0261
c00e, dc7f
c71c, 2af0
25b4, cdb3
5e21, 9375
b678, 4add
a9c8, a0c4
a78e, 53e8
d5ca, 9ba3
46f1, 5351
0a46, 0fe7
2c1f, 1744
6c3e, 6307
1416, b8ac
24b2, 29b6
d6f5, a877
47e4, 2624
1667, 5ae7
3a58, 369f
ca6d, c76e
e26f, 529d
671c, d942
9c49, 9217
0de1, 0eef
038d, 66e8
1250, a89f
59f2, 6bbf
2c68, ad74
bc54, d6ba
2015, 2ff3
7787, 7c0e
2d62, 7cdd
cefe, cff3
bab6, 8acb
2967, 205e
f706, f19a
05ed, b603
0bc8, 5082
3693, 9260
0126, 198f
4f5d, 4262
4366, ed6c
f91a, 02d5
61a9, c409
fd50, fdf5
54c3, 579c
40df, 4fe6
63ec, 3705
55b4, 0cb9
de14, 4d42
5ba0, a0df
3088, 3fbb
86c2, 8258
3d06, 3ec1
8912, 84c6
3cfa, e819
fb28, f84e
4876, deca
82e8, 0812
7ffe, b6fd
7ce3, 734a
75a6, e4dc
996c, c61d
282d, 232c
6b76, 5c26
25a2, 2a8d
3a48, 35ef
1d02, 14f0
35bc, 908d
c42f, af64
3429, d7b1
367d, 039e
ec4d, ea9c
6071, 69a5
7dbb, 7eb8
488d, f83b
81b2, bb55
bba0, 1eaf
d92d, 421e
93d3, 9fec
d85c, de63
0280, 249f
6c80, 6bf4
53a6, 31ec
dfed, d3be
766c, 7363
cdd0, ced5
ab3f, 185a
6585, 6df9
2eb1, 0bb7
89c6, 9321
1cb4, ab46
08f3, 0bfc
e0a0, c0a2
433a, 333d
571b, 5210
c728, cb24
82c8, 8254
c6d3, 20dc
3f0f, 3aa8
411b, 4077
6c58, 693b
d06f, 5985
1349, aca3
ee89, edd2
60ed, feef
6647, 64e5
6c59, 6237
d0b0, acbf
f1b2, fcd6
03f2, 6644
e557, def4
5772, 4a89
d2b4, dce9
5497, 3361
e995, e5c3
304e, 58a2
ba44, adf8
d552, 3291
9f87, dbca
795d, 755e
45c7, f651
7dbf, eac4
5815, 3395
f453, 7d14
dcab, 91c6
07cf, 3191
d695, 22c7
4541, f8cc
5967, 5552
0aac, 64a3
384a, fdf7
4d45, 44c7
c2fb, f5f8
cdbf, fbbd
8198, 87ba
2a8c, f715
689e, 0857
f6c0, 850b
257c, c676
74b1, 8488
37c0, 34c5
e70e, ec8b
cbba, c8b6
b88a, 645e
d962, 96ac
d221, 5d5e
ac88, 4396
fc99, 8a6f
15f0, d29d
691a, e8f7
44a7, 3422
92b6, 998a
1f1f, cacd
96cf, 80a4
148f, 3cf6
7e35, 7f88
474e, 662d
26c6, 2bc2
ad73, da7a
d832, eda8
9d29, fb78
f816, c193
f63d, cf3e
c01f, 962a
507e, d935
5ad5, aea9
21b9, 2eee
96e1, 68bb
b6bf, e0da
5542, 58ba
3a46, 95a0
8912, 84c6
e526, 99d7
8e03, 893b
1918, 1e7f
c8c2, 48af
bc07, bb87
1f1c, 5e5a
552b, e8cb
d094, 16e3
724b, 7c48
8339, 8c79
f4ab, 0c17
2b30, cc33
5ed9, 59f1
0f7b, 9e81
bbb6, 81c7
5de4, 022a
9541, 5847
9bd3, 76ef
4c56, 936b
7bc7, 776e
e94d, e22e
77f3, ba40
2add, 16fc
f11e, 912d
e963, b1ec
575c, e341
1fa2, a6a7
a535, 0047
6254, cde9
f59e, f90d
2445, e678
8754, 87a9
9cd3, 9abe
cc7f, c7f8
9ea1, 9b5f
85de, 89ee
0850, 8128
750a, 0bae
3936, ed0a
8e6a, 8c42
1f64, 865d
d13b, da80
d23f, 99b0
d4dd, c786
4a63, cadd
eb82, 74be
9f47, 9425
12a7, 6862
cf38, ec3e
d323, 8d36
fa67, f7a2
035f, 023a
74a2, 7a7d
704f, 0153
b869, 2beb
af5c, 8810
4c32, 4b88
9349, b625
06b6, 5a27
f4ec, 2bc6
3582, 52d7
0504, 2da4
8dea, 7eda
bd65, b0d8
d4b2, d7e7
ffba, 68bd
34d5, 37ec
1ab6, 41da
f770, 131a
1e37, c202
8d3c, c9c6
26ec, 9847
5c10, 01d2
71ad, 7e1f
625b, b0eb
50fe, 5f1d
a55b, 5a57
c56c, c16d
ad2b, ae28
35c7, b666
0393, 069c
9882, 2dd9
4ff4, d4c8
332e, 97ec
6874, 65f8
41c0, 1175
4971, e2a6
395a, 39a6
17a5, b31d
6fc0, 9550
45ce, 6a99
fb4a, f948
06ef, 03e1
52c2, 2321
571b, 5210
d79c, d871
8588, e2db
c427, 2144
fb34, 4114
bc90, 304f
92fe, 4cd0
908d, 35bc
13a5, f9a9
3ae3, 382a
ab33, c42b
4e76, 470c
ee12, 8844
d0e3, d9ba
9292, cf0d
3ee6, 3dd6
f758, f13b
4254, 48ed
cb2e, 2127
9e47, ad91
92c3, d66b
e754, e7c8
9b46, 1127
dee7, cd31
1714, 74de
5711, 29b2
d93e, f2f8
82c0, 0b12
50e4, 0fb7
0e95, 0d90
8c16, 8386
d0ec, afb0
b0c5, 9c6b
a178, db1a
2ceb, 6cca
88a9, 40e6
c941, c54f
795f, 7551
f5e2, a847
9247, 9912
f741, c13a
e4e1, e7bf
280a, 2e76
637f, 67a8
6956, 619b
11bd, b0f4
0ce2, 076d
6621, 631f
62e7, cfe1
b1fd, b44e
aef5, e6a0
ceed, 449b
b92e, b161
a51e, d290
aac3, fcea
c0a5, 0a97
0bd4, daef
7d47, d86b
e27e, 0cc5
86d4, 3310
2170, fac3
1d7f, d3c6
ea37, 0aeb
3006, 313e
bf0e, b09b
bc79, b902
f4b7, 96ec
730f, b69a
909b, 460c
4eae, 4e5d
b65c, ff59
7b28, ed2b
bc6e, 8b27
6a8c, 0b2f
d568, d1be
14ce, 75a9
f1e5, 634b
2c57, c36b
d480, d7d5
e529, dc31
59ab, e006
e942, 4c36
f96e, b0cc
59bc, 55e3
3359, 36a9
47bb, 4a8e
b9fe, af94
5d74, 0b79
14c9, 04b4
194a, fb93
1688, af8b
2edf, 538d
dbb6, bcdd
743d, 713e
1440, a1f3
9807, 28c6
2bc0, ee14
9857, f683
63e4, 1296
8d25, ba02
1bab, 1e68
dd4c, 7eb3
2240, a2fe
9818, 2f15
1fdc, 4581
f28a, 1e1f
741c, 0f46
0123, eb98
67ba, 42ff
a49f, 11e8
f066, 570c
0928, 55f2
cbee, 2ad9
025e, 1b64
8662, b0a9
29bf, 6cc5
66c1, 6b74
6f1b, 3901
afdf, 76d0
1dbd, aed8
8626, b0c4
50af, 5702
2334, 9f62
ccac, caad
bec1, 8ceb
b1ee, b48b
7d00, 2bef
e506, 827a
510a, 64ca
b176, 8ba1
7419, ba14
36b4, 3a2a
b1e9, adeb
2724, 2a49
880d, e87e
86e2, 8a9f
8744, 8362
71c7, a7cc
0f21, 5aeb
ed92, 939d
7098, a95d
38a2, 69c1
0f02, 053d
cc44, cb40
7208, 46d1
f12f, 8296
326e, d842
9afa, ff1d
aabc, a7b3
e806, e28e
b293, 1bc5
9c9a, fecd
ccc0, 0f61
cbe6, 04d2
aef8, dd1d
da01, de64
fd0d, 31cd
4fcc, bd1f
17ac, 4e85
3a3d, 059e
72a6, 1971
6213, 7a43
8830, e85d
1c80, 7818
29a5, 24a8
9bbe, 99e6
a4ef, a1e1
c997, 713a
0c72, b5cf
0a1a, 6f7c
2c4b, 224a
3fca, 3553
b279, 2b46
8a89, 8494
4bb3, 3760
bb9f, 2848
66da, 6412
08cb, 96dd
77e6, 7aea
2833, 1609
ac3d, 7ef8
0a84, ab56
bd3b, 82ed
2cd4, af57
fe4f, f3f9
c3ea, 7c3f
66d1, 450c
d3ca, 73f6
22d0, 02f8
f233, c43e
3957, 32a9
9904, 9378
2cae, d5a3
9795, 6f4d
4c2c, e5a2
90a6, 935f
ab0f, a9fd
0681, 0af7
3750, bf2b
680b, 6b9e
7211, c47b
706d, a362
a24f, fce3
9650, c3a0
a48b, 123d
c24e, e1de
b608, 7f0b
157d, 1812
b3d9, b776
c189, c38c
b98f, 0357
16fb, 60f6
301c, 8406
82d1, 8ce6
7267, a3a2
8995, 3c69
e80a, 85e8
cc27, dbe7
5d55, 43b6
02d1, f3df
402e, 06ff
ae11, d10b
c1d0, 4d19
2e05, dc16
6561, 64ce
6e7a, 7017
d895, 3ce4
9170, 401a
1f2d, d0fd
4866, 8feb
dd6b, ab68
6f4d, 9795
26dc, 4e04
4663, bf87
e38c, 2ea6
b417, 8147
bc67, b72e
1adb, 1c6b
054d, 04ef
bb15, 8b20
8281, 8215
9ac8, 8db7
109f, f99f
dabc, ec0f
f71f, fb10
753f, 0508
5750, e34a
2f50, 2365
0a0e, 640d
1ea5, 2061
2d29, 202f
caca, be6b
b776, b3d9
44e3, ea11
f578, 467a
005e, 54fd
e0ac, 41c2
76be, 8f3c
08df, 5095
a3e6, 630d
cbe1, bb03
3f66, 17b7
43a4, 4659
1e7e, 8535
1a22, cb34
20e8, 21ef
e4f8, fbc6
5794, f87b
b9c7, 8be7
8004, affc
1b69, e9fb
d316, 287f
8077, e796
15cf, dc7a
dbf1, a81a
8a60, 2359
af98, b02f
a859, 7dec
8be3, 4e64
9143, 971c
925f, 9858
b0c3, 9c6d
f552, 2d17
47cb, 4926
5dc3, d2e3
b9ae, 8453
92b6, 998a
2d64, 13b8
c1ae, 2aad
5c1c, 01d9
084d, c5e3
8028, ff74
ccc1, 1e61
18e1, bd5e
e1f0, b420
ea25, cf10
c812, c213
29f0, eae9
620c, 7ccd
a886, 1d8a
7cfc, 1bb9
1b39, c504
b820, 146d
6481, 61e6
ff40, 3ba8
eeed, e8be
b1d2, 8ab7
916e, 228b
4d80, b488
974b, aa9c
cf15, f610
401d, 162e
8e4d, 5e03
010f, 738a
f017, 9a80
132b, aac1
f518, 9d1a
b1b4, 605e
6c9e, b951
4167, 24e7
3775, a894
742e, 619e
a034, bd62
0262, 0c67
c9a6, cbab
a74b, bce4
6dad, 9d0d
4b68, 89b0
fdcf, a01f
f864, 6f60
637a, 67ad
a6bf, 9bb8
66cc, f46e
685a, 0b3f
e14e, b71f
183a, 835c
308a, 6f13
9aad, 3549
07d2, 6ab4
d0db, 32b2
b151, b436
77f6, a076
c5a4, cfa8
3e59, 3da9
9d2f, 9443
303c, f3a1
bdac, afd1
ae67, 4401
8011, 5749
1177, 3c5e
e5dd, 2e4e
8d88, 3acc
6347, 66f9
3598, 35b0
c706, a0fc
6f54, 0032
f247, fd45
7b66, 9668
fab7, fcda
fb03, f89c
b5b0, fc9c
de59, 8450
4ba1, bba5
c0cb, 5beb
ef50, 86dd
9eb9, 76eb
e2ae, 3b84
c296, abae
ef78, 70f0
6265, 6ca0
836e, a342
412e, c7d3
6c7b, 69a9
3270, bf02
55df, 10e9
3aa6, 3756
f0bc, f7b9
d710, db02
b240, e05d
174b, d986
59d6, af5a
4ee6, b5bd
2f64, 7664
3f40, 94ed
3c34, 6ab8
7fcc, 4975
46d5, 43e5
51b8, 7467
2850, 2e65
72ad, cd80
02f4, 69f2
be58, be85
afb7, c86f
2981, 40c1
5001, 5d04
37f1, 687b
b58a, 7286
e885, 8dd3
e21f, ef8a
4da8, 49c4
bd98, 47aa
83de, 8e63
87f3, 8a25
c997, 713a
3c5a, 67cd
ec8d, 6160
14c2, 7967
e981, f6a6
5ec3, 589c
4e96, cc38
82f9, fcb3
472a, 4b98
6af1, 6687
8bed, bedb
d35b, d969
7ba8, bdb3
824d, e91b
461b, 8903
a2d3, 68c0
7f5b, 07f0
8f10, 9a33
21af, 5c27
9ab5, 9cd8
2627, ca25
dddc, daa7
274d, 2e22
e184, 797d
d82b, db48
b140, 8042
52fd, 591e
6ed3, f3d2
3fb6, 4bec
d44e, d128
45c2, e0a7
d80f, d2f8
3c3d, 626b
bde3, 7e80
7e72, 71d0
9ce0, 6cfb
3831, 9606
8641, b02a
da10, 763a
1ddf, 8dad
287d, 237c
3d37, 3834
5b6f, 90e8
f3ac, 9c31
9818, 2f15
d6e6, 4fd6
ba3f, 7431
6c9a, 9b2a
440a, da9f
62ed, 9da6
245c, ef25
aa7a, a776
c1e2, 47f0
ff53, c030
6697, b255
6feb, 6088
3fa2, 820a
7669, ea27
b157, b439
ee7e, d78c
e6c7, 7abe
883d, 4d08
f8ab, 8904
cb0e, c901
7521, 57c1
1275, ac48
2eb5, 28e0
715d, 7e92
13cd, 3203
7190, 7ce4
c5ac, 0f75
0df5, 0c5b
b721, 7426
a8b9, abb4
396e, 8391
271b, 20f6
3089, 2f8b
c5ea, c8e8
d329, 487a
c581, f586
4676, 1cd8
88fb, 423b
124b, 1d96
2130, c4a3
3d59, 3ea4
448d, 8a49
b32b, 86fb
bb01, c811
a915, a510
9994, ea58
0bcd, 08ce
2656, d92a
3765, 8341
aecf, d74c
6507, b631
d5a7, f4c8
e00d, b6df
93c7, 3729
4fd7, a42f
7384, 710f
3941, 4096
4930, 9ff6
5b08, 38cd
fe37, 9c19
8a1d, 385b
cd43, 8245
13f3, 1cfa
0f0f, 0530
66f8, 7550
d611, f21e
4a5e, 882c
7244, 493f
f4ae, f16b
8e7c, 1b5d
d4c4, 66aa
7260, d7f1
af44, b1fb
0a7a, 7c11
a8d7, 613f
14e7, 1182
d92d, 421e
d3dc, 7cda
6f1c, f4db
e550, d716
12c5, 1c70
a5e2, a850
66d5, 7705
9270, 04c1
3e57, fe61
afd5, a5d1
63cc, 3ed6
7de5, a857
218b, 2ca9
475c, 832e
0925, 0520
0883, cd8a
e020, acb3
aad9, c07a
db8f, 48ba
34f5, 3289
e747, 9047
ab9f, d99c
726a, ec51
fe94, 100c
72c8, 7ab4
673a, dd87
ef7b, 8608
86ec, 3b30
ba7d, 7a1c
cb11, 22db
fbb2, 30b0
3b7b, 9cac
c322, c627
6fdd, 3e9f
d64c, 565c
6c9e, b951
eeea, 8d86
9361, 9e9c
cd51, 994c
8f11, 8585
b531, 650b
c46f, a6b0
13a2, 07b4
e786, 6760
0fad, afaa
ab66, 40ae
d669, e8ee
aeb6, afd9
5c6a, 0cc3
551c, fdc7
0bb4, 08b9
25d0, fd0c
33f2, 3629
7b87, 7882
b7ad, 8b04
f67e, ba5a
6661, 54b4
99f0, c7b4
0c4c, 0243
bf8d, 7660
3750, bf2b
d700, 44c3
7e64, d879
4c45, f571
4416, 40e9
d5bb, 7dc5
c26e, 475e
867f, bbb0
c568, ac65
2cb2, 2ab6
0bf4, 0983
2633, 22aa
9e2b, 9f1c
1349, aca3
7655, cf57
2de0, c2b4
9ea2, 7ad9
2463, 275c
8d3b, a926
eef9, 5fee
8672, 3500
a402, f337
19ac, 4c50
c3a7, 2634
8e20, 4158
194b, f3e3
bd9e, 4b30
f895, fb00
a72e, 7d3c
2f2d, 204e
4bbf, 8e58
6698, ae96
4706, 4b75
3148, 39ba
08a8, cced
fddd, 056f
33f2, 3629
66d2, 3a1a
4ffc, 4d09
6f00, 92c7
c2cd, d9c9
e8a2, 31e5
2a4b, 45b7
b882, b504
1967, 3869
6697, b255
b63e, a58a
095a, 0556
dcf6, d21a
58d4, 095f
69b2, 6cd7
4325, 38ab
0450, 764f
e5dc, 7616
cf3b, b87d
5a3a, 6a6a
427b, 3ee1
9092, 49c0
6eaf, b91f
ce2c, c927
bfaa, e631
849d, 84ea
b253, 7c30
1092, 174d
b387, b0e2
2ecc, ba7a
f130, a1db
08e5, 78f2
a316, c17c
63b0, 9be4
a1ea, de1b
6864, 62ca
b542, 79f4
f3d8, 817c
0efb, 785f
3a51, 7780
3e12, 378d
5220, 4825
1751, 1287
8b31, be6a
ef73, e30c
7995, 0298
629e, adc3
b900, 00b3
491d, 454e
caba, ccb7
e8db, 1451
87ed, 8f4e
c661, 5f61
6a45, b638
01ac, 5e70
3178, 35c5
c1a1, fd09
295f, 8c09
87e3, 81d5
ec87, 6a61
137e, 1719
530b, 5f78
2733, 707b
213a, 91ad
70f4, 57de
21a2, 9452
0cc8, 74ab
3fc1, 3e74
f9be, 6b2c
02f9, 64ff
b636, 4fe8
d254, d8b8
56e6, 53ba
69d2, 6136
d07f, 4f9f
592d, 542c
8a42, 7e22
63f3, 664c
6147, d1ac
11b8, 049f
a11a, eae4
df38, dc2c
b883, 7d8c
6de0, f6e4
6bd7, 6eb2
a820, 1813
f90e, fc9d
a9bd, d5eb
796a, 09cd
96b0, 9ab4
14e4, a934
b74a, b1f6
d450, ef28
f76d, 3090
278c, 531e
ffc5, 72cd
7159, 57e4
9edd, 9dee
e965, e250
cd25, c028
5242, 5dbf
d4c4, 66aa
9faf, 8d34
2d63, d2ef
67f8, 6184
e73c, 8130
9252, e1c1
ea4f, 7d67
f218, c51b
cd83, c48a
daf4, 5162
9741, 4fa7
bd98, 47aa
8e50, 43b2
7c7e, 7a18
6162, 8ddf
fe3a, fd56
6e80, fb8f
18a0, dd3c
0e39, c387
3a5f, 4a6d
ff40, 3ba8
c293, 7010
a21e, aec9
0b89, 5e82
9723, 5d4c
afb1, 13b6
28b2, 4513
18b1, 4b8a
cd5c, ce53
e0ba, 426d
b39d, 549f
0e63, 9ec9
7f12, e0f4
f154, 9153
4036, 303e
176c, 804b
52bd, bbba
d4f6, b186
c334, 7033
7866, be61
901a, f626
cf66, c2c1
3035, 9b39
4b36, 8eac
15ea, 36d7
8504, eaf7
fc34, e0b7
ba20, 717d
b62c, a852
eff4, e314
377e, 39c3
22b3, 29ec
3702, 3ac9
7f02, cc9d
77fb, 7af8
1f30, 14ad
43b0, c7af
542e, ba15
f678, a675
3913, 342e
8681, efd6
aba6, e0db
782d, eb4b
efae, df37
a5a3, ccae
2fb5, 3ccc
85a8, ea57
96b8, 5d6a
1d76, c482
1c0d, 665f
1a1d, 1f72
c93a, f454
1f5b, 1ae9
619b, 6956
c2b8, 0d20
63d6, 6719
269b, d090
bdcc, cf5f
a314, d100
f6eb, 6b56
3ce6, 442f
f9ab, b37c
f0e3, f38c
5944, 5229
5661, 6f93
d101, a31b
c67a, 0dfc
12ff, 905d
e0c6, 70cf
adae, 4dad
ffd7, 1419
546f, e240
50da, f852
0d3a, 75fa
73a7, cf35
b4c7, 8de1
2dea, f127
c088, a74d
45d1, 9dac
65c5, 6178
d7ee, dab8
8c2a, 6b6f
bebb, f32e
8bb8, 8e8e
e133, e4a3
eb08, 88cd
3f7e, 339b
15d5, 861c
89b0, 4b68
11d8, 218a
3f39, 3579
e95a, f37b
1203, 5015
0edf, 6dba
0fa2, d76b
6620, 0313
aba3, df67
1494, 40a2
8b58, 4eba
0610, 8628
213d, f46d
f351, d3d5
7237, aea2
d872, c958
4dee, 4edd
038a, 1d97
7f03, 700c
6322, 61b0
483e, 4aa9
8bc9, 0617
1963, 60cd
0803, cfb7
523c, 5f76
cbde, 2cd1
0758, 0a5b
6e3c, b3e0
bfb8, 70dd
5e52, c53f
0202, ad72
a062, f668
1e67, ac21
65ce, 6dd8
29d7, 019a
a353, a65c
0200, 20c3
6c3e, 6307
7009, 4345
fcc1, 9b96
660e, f23b
6b40, 6ef5
9d2f, 9443
81ef, 87d1
40a5, 6320
a2c6, acca
bffe, b04b
4d67, 1ba2
18a6, eb50
1fd7, c3c5
99bb, c878
d305, ae37
a885, 30ef
fcdc, 4a65
973e, 9168
d169, de5e
f1c1, 9096
9e86, 3bd5
32e2, fa06
dca9, f801
b3c7, 81eb
5ab6, 524e
3495, c648
90ba, f0d6
3c05, 3139
fa1a, ff18
5d2d, 0b2e
29bf, 6cc5
8488, 74b1
be22, 3896
81b5, 0fc9
3915, c84a
3f7b, 227f
78ad, a8da
0e0c, 8999
92b6, 998a
99d2, c43a
4083, 6693
b511, f27c
388e, b263
1008, 48ef
6dbf, 5bda
6e9a, dd28
717c, b88c
d45f, d6b8
9173, 9495
b766, baa1
68c9, 656c
99d6, 1f01
5264, e593
577b, 5a08
895d, b5ec
1852, 2114
ade6, aeea
9acf, 270f
2335, e6f0
ad60, a2b2
d8d3, de8c
acb6, d0bc
f14e, de35
05de, 09ee
dfc9, de22
9c18, 924e
e69e, e3cd
8c8a, b45d
bece, bd7b
2ad9, cbee
c16d, c56c
5c38, 326d
b811, a07c
a7bb, daed
8c77, 8292
3c12, 674a
4b4f, 47cd
a7e2, b4fb
fdb1, 6fbe
c6c9, a0cf
d991, 20e6
490a, 930d
a6a6, 46aa
6322, 61b0
15f6, f4ef
1557, 18ee
c8ba, a2c2
ba0e, 09bf
4653, 3620
b88d, 624b
1834, bd83
819b, 1b1d
7757, 57b2
a494, ad43
303f, 397a
aa84, 6d35
c9df, cbdd
b6f9, b347
14d2, cf50
6bfb, cf09
4ada, 1da8
6d70, 12d3
847f, 85f7
7b6a, ee61
1ce1, fe55
01e6, 074c
f11d, f8dd
5071, 01ae
726c, f3b2
6716, eb99
462b, 1ac6
b501, b996
0e57, 0d52
6563, 4860
f7ed, ce95
636e, f83a
5f58, bd96
5acc, 75b6
ed5e, d227
62fa, 05f6
ede7, 72c7
ea97, adc7
8642, b319
fe3f, fd51
0def, 40d3
2549, 2924
e51e, 8a73
2b86, 28da
c7c4, ce62
0de9, 0ee4
5713, a5d2
1804, a8f1
def6, d17e
c25e, de79
1862, 074d
826d, 7b6f
f7b2, a290
a0c7, ad31
b690, f55d
54f0, 5284
bc7b, 0eec
4ec4, 4e11
7f6d, c823
d41a, d1f6
6810, f11c
30b0, fbb2
97ca, 4043
7a67, 7425
7c0a, ec71
8c4f, 3e6a
f6ce, 1073
295b, e39c
249a, d14c
9712, cf60
aa6b, a1b0
54c1, 0e6d
4fdc, 40e5
0317, 518c
4c0f, eadc
7992, 7054
06f2, 03f7
f202, 1600
63dd, 36eb
a0ce, dcc7
f230, 3cf4
a984, 2641
3a7f, 8c05
b21b, 8c4b
9882, 2dd9
ec30, 0374
4b8b, 1ebd
f497, 5e88
dbda, 1dbf
dda8, 8b93
51a0, 1c9c
42b1, f565
a903, c004
cf18, 976b
dd2f, 3e0a
b89c, c8ef
4947, a8ba
f8c7, 959c
31d2, 34e9
85bb, 2c2e
8ac5, cf9d
e70e, ec8b
43dc, a3d3
3524, 0c12
2fc2, a344
6e72, 6dc7
3aea, b6c8
3aa2, ce1b
b48d, b602
b9c9, 9c4b
8959, 85a9
1235, 0022
1067, a245
e395, 5d11
5a05, 3470
743a, 61da
92de, 97b5
6ebc, 13ce
d117, 1442
9827, 931a
7f23, 702c
00db, 5647
2925, d24e
72fd, 6c1d
9a22, 1907
81e3, 87dc
0e72, 0ca0
e158, 0539
4e3a, 8ea3
f174, e1e7
956d, fd31
afc2, 1f82
1176, 41ca
5411, 5d86
23ba, ecd4
0bee, 7a00
4304, a964
9890, 2e73
63af, 51e9
da6f, dcb9
51b9, 54e2
921b, 1729
9fd4, 4753
dde7, dcda
c8d0, 7681
7954, 2900
a08f, 1fea
2178, 7c02
00fd, 6f48
bbce, 41bc
36f1, 3b47
1a1d, 1f72
135a, a7f6
497a, 7ad5
dbd2, 0ba2
5ab5, 2e07
3fc1, 3e74
e715, e4f0
a529, 5bf2
5219, 341f
fb23, f845
aa05, 2ee1
a436, ad3c
130d, 30a3
f795, 21d0
c071, c28e
d41e, 44fd
ae81, 230e
c110, c312
1965, 60cb
e187, 797b
8f9c, 9945
a8ee, b7e7
48d4, 1a56
b62c, a852
1b3e, ea79
d44e, d128
