a56a, d5b2
d442, 9792
6310, 38e9
1855, f45f
8568, 5c63
b18e, 898b
5602, 6df7
abd0, 2cf0
1d29, 98c7
03da, 78b1
ff59, 30d8
5cdc, dbd1
d4ae, 572f
ea03, 9d2d
747e, 52a6
d68c, b38a
e170, cae2
68b6, 12cf
2530, 45d5
4c36, 23db
d88c, 2f5c
2e28, 7b68
283f, c210
af88, 8fd9
6194, fa5c
4980, 88c3
5bfe, 8b9e
d7b1, 936c
6863, b1b7
aa07, 9402
6c6b, ccbb
fee5, 1012
d527, e561
1e03, 8072
8680, df4d
8535, ee45
b9be, 7325
fdb9, 3913
0ea4, 78b7
6b27, a4b8
3150, 5a68
5e39, 8ee9
0f40, 768d
977d, 1118
e0b4, 5bd7
ec6f, 2ad6
ab22, fa68
1b49, 3e5c
a97c, 7005
ecf8, 812c
2124, bb36
6060, 8ee0
ecf5, a267
812e, 61cb
744f, 694f
8311, e1b5
b404, 4a34
6548, 64c0
35d4, 9a7a
f891, a2bf
6284, 1744
91b0, d73b
ac35, 0e79
010f, a7d7
73e0, aaaa
af17, 40b8
4bce, 2b1e
0b83, f969
2567, b122
5496, af45
9448, ff68
987b, 271a
a2ed, 4044
dde4, c6b4
b576, 0dbf
2612, ce86
14c1, f274
aa38, 081f
757e, 61a6
518e, 815e
fc25, 4ff7
5024, 2919
1ec0, 9ec0
dde2, 2d64
ca78, 7d18
2ae5, 42a0
7830, 1077
211a, e5b1
1a37, 4913
87de, b016
319f, e771
0340, a740
2648, 182c
a534, a943
9921, d2c1
e331, a03c
ccc7, b1a1
ab51, 285f
e1f8, f7e1
0233, 2233
6b57, 7b87
dd47, a78d
03f1, 7e8c
1d89, 13b6
6141, 29dd
5612, 507e
beff, 0ff6
1840, 0940
5839, d499
9909, b7a0
a55a, 4627
7384, 208c
dcaf, 57f3
8de3, 36b0
f290, 459d
20d7, 51ac
663a, 7bea
60d8, 54bf
0b00, b637
1d08, 9b20
a98a, 218a
bc1f, 49a7
436f, 63de
175e, 4c55
5fc2, 0f22
4417, 4f20
dde2, 2d64
890b, dfd6
fba1, 7bc9
92fe, fbe1
1ef6, c905
f2d8, ae15
dea1, 9128
3749, e3ff
6389, 0e56
e146, 5861
3367, 3f61
a942, ea76
772c, 5464
62c6, ab10
36f1, edfa
5179, 8129
eafa, 2c01
e59f, 35ff
cc4b, fc9b
96d8, e993
fdc8, 7128
0dfd, bb4d
5839, d499
4452, 356f
40a0, 9dab
a651, 220e
352a, 2cef
8695, 768a
11e9, c9d4
44ba, f5bf
3596, 3c99
84f1, 228a
d121, c59f
6478, 8478
adc0, 81c3
07d5, 0a38
e2c8, 0293
eaed, 72e8
b06f, 48d0
9764, d139
af87, 2e25
d952, 1558
faf1, 5c88
1dd1, d041
d5ff, 0ea1
b50b, fa20
90da, 34e7
78c5, 04a2
b3cf, beb0
bb02, 041e
a72a, 1217
b747, 40cb
e396, 87bd
0c60, 206f
167c, 751d
7216, 0e22
7e9b, f7fb
0be0, 2123
ee18, a587
dc44, 459a
25a3, 0438
4cf7, 431c
7017, f09f
3eb0, 6b2f
8e0b, 9c0e
7a98, b4cc
8dd4, 9dad
a5d9, bc7f
fdca, 6956
69a1, 81ef
15bc, 7312
4e33, 7c84
7863, 786d
f0da, 4bdf
72b2, e25f
0ce4, 28e5
2411, 491a
1d24, 9dc2
a0b0, 3f9a
6879, bb2c
ea3f, 9a24
e1ac, 20a7
4bcb, 744a
ac98, e954
1e1f, 93ff
472b, d391
96cc, b94d
36cf, 9522
1b76, df72
f8e5, 125f
f9a9, 7163
7d18, ca78
fa8c, d15e
a70a, 5187
87a3, b31f
ef4c, e884
758a, 2d56
414e, 91cb
a441, 63e4
257a, 0bef
c9e5, 5e1c
0e0b, 59de
9449, 5a3e
248f, c1e3
d38d, 944d
b175, 720b
abe6, 23e7
f3c3, 3f04
feb8, 7862
6c3a, 84e6
07b8, 7fd6
f6ba, 4dbf
c2e0, 904a
e5b8, 81e0
8f66, 3244
f5f9, 6059
e041, 0e49
f2d0, ae08
74c6, a8c9
366e, 66eb
ed1f, 30c3
2112, ea5b
c7ec, c6da
7844, 8bed
881a, 3f21
209e, f370
c914, c4c1
0962, ffd8
5706, c9dd
2b4e, 1310
fae9, a2e4
0f5e, 4f0f
5dea, d104
1d95, 672d
89b8, b7ed
b623, 41a0
4292, 682d
48a6, aec7
8a68, 51b8
1eab, e186
95fd, 7360
a229, c275
2bb1, 2854
96b3, 85c8
31c5, 6c2b
244e, 0e18
dee5, de3a
158c, 21ee
8bab, bcdc
99ce, c5c3
2f2a, ad2f
01d2, a850
0dd7, ca8e
23be, ce55
6e4a, 3be0
b784, 3134
998c, cc1e
be7f, 89d3
3909, 8460
539e, 8a3e
1c29, 7c49
a280, ef72
c8bb, 0b82
a55f, e110
1160, fce3
67ab, 5755
d758, 849f
07dc, b9bc
b6c9, 8fad
03a0, ccda
3395, 5a33
1ae9, a2ea
49a6, 8919
018a, 9fe8
1519, 7791
8390, 2503
1459, c134
6d1d, 7517
6283, 93f8
2b72, ab14
ac05, 70fe
5255, e938
f7bc, 6091
35e7, 74e4
b93d, d637
3203, b4f3
871c, 3c5a
1c03, 8231
f0a6, bcae
90c4, 97ed
f533, 6a74
308a, ed81
3fd3, 8826
2c97, d60e
83eb, 8be5
2228, d42d
07e9, e769
374c, 00d8
3c74, 91d7
c520, 10b9
ee40, 5f57
b52f, 93dc
85c9, 14bb
15ad, f67a
361c, 1c40
0cd8, f5e8
b7e0, 39b8
0118, e77d
3c24, 9a32
8533, 04dc
91eb, d13b
f4fc, 45fc
3218, 6278
fb4d, 3629
71bb, 5e29
4135, a15b
6a94, 5e7d
b49b, 3a4b
42d3, d781
a558, e0de
3e3d, bb8d
a94c, 214c
09aa, 7c32
b47d, f098
d5a4, daa1
385e, 64c5
4c72, ed09
ab30, fb30
5ef6, dca5
cf8d, 0a13
b564, b658
a2bd, 2ab8
0aa4, aa14
c40f, f2f9
97c6, ceca
803b, be35
6e3d, 8b8d
4c7c, 33fc
474b, 451c
0f21, def3
1f55, f5e4
c122, 7162
af69, 09a3
c247, cd08
3e4f, b39f
a27d, a68a
4e8f, b9d2
a9bc, e0ce
d5c9, 5c2f
bd5a, b00d
6f29, 3fc9
fb26, 4321
e0c3, 5b2f
713e, aea7
f2c8, 988e
760c, 0d4c
5919, c989
fd09, 1817
230f, a9df
686c, 886c
c78e, 11ed
7679, d419
dd59, ea6b
1213, 1ede
5e9b, 8e9b
6f61, bfa4
0eb8, a2d6
f1a7, b117
6191, d9d0
9b7f, dbaf
2c40, 6f40
896f, 0d06
121a, f421
482f, ff4f
c073, 75ce
a46d, d563
94f9, 83f3
437c, 914a
dd57, aac7
361f, 8d26
2b25, 3374
7e2c, 5f98
b070, 3fc2
f4e3, 7799
c569, 7ac6
8768, 67e0
f7c3, 1c0e
f0ff, 1e1a
c0d4, 1bbc
d907, 5931
d99b, 2145
42f2, a5f1
47d6, 3916
8597, 350a
b46f, 4852
2e43, 5062
16eb, 16e0
60c4, 3b58
6829, 8403
2e60, 6d6f
a47a, 6e6a
346d, e7bd
6a1a, f4a8
2d2f, 8355
d7ba, 712f
2583, 4a85
7664, e0b8
b97a, 7217
fbb5, 1d6e
3b6e, 4e99
04ae, d201
ffc1, 0c10
ae26, a290
5f42, be24
9c49, 959f
95ac, 4775
713d, 0aeb
497b, 70ce
4734, 9bf2
3850, 87b9
cd84, 8aac
5409, da26
aaed, 9ce8
f92f, b7bf
b9f8, 85b6
72f9, 7fe6
f961, 37cb
c526, b3e4
bcc8, 3a70
02fe, 35a2
c9e5, 5e1c
3c1d, 3103
d38f, 4248
b3ca, 5f4f
0550, 5cee
47b3, 2bf6
c448, 18f9
aa68, fb22
b513, fd25
83e7, a08b
7ee6, 6386
0433, d5d3
c792, 5ccf
d162, 5162
5626, eb1f
6614, b19d
8981, 9daa
8a18, 3d27
0b98, 2794
7a6a, 16b6
cd64, 2d5a
96a4, c689
b507, bf43
0c57, fd56
2ead, dcb7
0e22, 7216
c483, b305
4e58, be62
191f, 4247
9814, fabe
7149, f941
86f3, e048
fbf1, c208
c28b, 6bba
b66a, fd20
9764, d139
4a15, 36a5
4dc1, c554
c61b, 1832
6117, 761b
1274, f2c1
c073, 75ce
2d7b, 5a0e
69a6, 72d5
e68d, bff7
a1e4, d42b
c93d, 00f2
6d9a, 1749
27fd, a10d
b778, 6edd
4958, 5016
e09c, 80fb
4ee3, bebf
ae39, 4b16
048a, c532
0b00, b637
1490, 34f5
da6a, 4a59
c51b, 006d
fef8, 8004
0072, 1555
ab7a, 379e
1d38, 6d82
84e6, 6c3a
8f74, 3fc1
f978, 8437
e020, 8e31
5814, 6f09
d1cd, 8884
27a2, 207a
f5db, 37b5
fa37, 4487
1b4b, 73ff
2677, c123
e1c9, 8073
030d, 6f44
7069, 3a17
f1e3, f16d
fdff, 7f5c
5ddb, 54d9
7573, f35d
a3ec, 1c32
75f9, a536
1b58, eada
b27f, e841
d360, 706f
8d8e, 3dab
d1d5, 5306
d446, 5f36
faf5, 9f31
263b, 0f37
dff9, 90b3
af5c, 0381
785e, e8c9
8e0f, 4e0e
4b7d, b981
7d96, 097e
415a, f2da
0f9f, 5642
1c9c, c14c
4534, b297
f464, 1ae2
8fb6, 8222
20a1, ecab
90cc, 6797
52dd, 34ac
a808, b89f
172b, f19e
0d8e, e20b
7619, 47cf
041c, f005
97eb, d4b8
6417, 09c4
12d6, 86b0
c130, 054a
f5c7, 9318
0e04, 78eb
9a44, d194
e9fb, 16f2
24aa, df6b
25d1, 811a
04ec, 00a7
6b95, c77c
f7ae, 634d
bf3f, 0c44
6afe, 62cd
187e, 7e63
428f, 58ee
ec83, fa01
ce75, 7f41
f34e, ce05
80d3, 1382
d6d1, b7a6
5f29, 230c
85aa, 4514
cf9a, d694
4742, 2492
b63e, 16d1
3899, 169c
8c00, b9fd
7b5a, 6d3a
c4a2, 7412
b59c, 3a25
201a, 27d2
90d3, 6448
fdfb, 4733
83f8, f5f1
d621, 475a
ff1e, 0473
2f7a, 8375
e109, 37c4
64ab, 37e5
e9c9, aff6
2976, 5322
46d2, c52a
37b7, 2ce1
9af2, 4a99
da64, 4a56
bc86, fc0f
aae9, 517c
38cc, 63e2
e458, 3135
3189, 72d1
1dae, 9564
de88, b554
17fa, 0281
28a7, 0aae
1ee7, 68a5
b671, 0d20
d2ee, e626
5c89, c8d0
76bf, b519
f218, c362
8fe5, bfee
ecb0, 7fdf
d383, 6a5a
f11f, 75d6
426f, d778
15f5, 4f37
5d53, 7d6d
ea11, da86
8599, 8196
dc65, ed9d
e2a1, a576
1ac1, 9e73
7893, 8ecd
614f, ad9e
9516, da1f
f30e, 3130
4bca, d307
772e, 579e
0e80, 692e
e44e, cf21
7977, de1b
30b8, 605d
fea4, b7d2
446b, 94dd
3b60, 8368
7f23, b2de
95b3, d1b3
8168, 6e09
0c93, 783a
5e82, 076d
e6b9, 2e93
038a, d08b
320d, 651d
306e, 2f42
016b, eec9
afb1, 543f
e562, fdb1
fff2, c697
5cc2, 2c22
e734, f910
c25a, f5e9
38bc, bf6c
aa9a, fc94
aab2, 2c32
7298, 52c3
d073, 4238
1d80, c050
8714, 5477
a9ed, 01d1
06bd, 5de8
a7ec, f3f1
704a, e023
9555, 7104
5a21, 0179
94cb, 48be
298f, ec78
e5d9, 8372
8eb4, 55ff
188f, cf1e
54fc, 05a7
91a0, 7018
c24f, b0f4
88f9, 315c
d98b, 41bd
eb31, 2d00
a921, c271
f938, 67f9
a329, c240
bca0, 3e1f
b112, d4d7
7313, 3450
1fda, d947
836a, 55f2
f996, 6f42
e462, 83a3
b2d8, 3931
8b29, b321
12a0, 5fc7
d3bb, 42d1
9136, 00df
df60, 9589
d4d7, b112
314d, 9dcc
1b41, cf9f
9e43, bf21
0826, 7779
c1b0, 25af
fd95, b72d
bd3f, f638
9281, 1a81
7ab7, c24c
2fe9, 2998
7a8c, 4246
5108, 19e1
48a4, cd7b
9a3a, 6491
d58b, e46c
c8b6, a9c3
36f4, 3602
8162, 65ad
d28a, ac23
58b5, cf29
99de, d77b
636b, 6ebe
962d, 51c0
77f7, 5a2c
9fc8, b0aa
a1a2, 27d4
ea6a, 3cda
f62f, 482a
a989, 8929
211f, eb78
0f6f, 1368
5e11, 8321
7f92, 5d9f
09e5, eec1
32bf, 4b04
828c, 6ec5
a641, f1e4
caa0, c0a6
2571, 9c24
22c1, 3a01
0303, 6242
ed11, ed85
31cf, 5522
b582, 1596
7021, e9be
f3cf, 7bdc
df94, 2d4f
9b6e, c170
4cd7, 0ba2
abee, b5e2
5ba2, ed4b
ae10, 0224
cf86, 39d3
7f38, d6fa
5ec0, d4ac
2688, 9058
71a6, a172
6445, 8295
853b, 5530
37b2, efde
b169, e7aa
9b8e, 8baa
834c, e34b
3028, ef0f
a636, 9dda
57c3, df69
0983, 86b9
9533, b597
73d8, 8745
bcc9, 552a
f260, f690
4907, 3430
09ad, 3e36
798b, bb2d
a405, 8207
6d91, 2f43
e9df, ac7d
598b, 55a0
f829, 15b7
7601, 35d8
4b0f, 4220
a1de, cb79
8d8d, b847
377b, 8154
08f7, df7e
8f58, f66d
34a3, fc2a
fbbf, 6011
4ff0, 6812
f4bd, 4f98
3fa7, 8a92
ad7c, 7dab
fce7, 1dc6
f2cb, 465f
8749, 0b0a
939d, b67f
c829, 7225
6ecc, 031b
a49d, a0c1
ac9e, c4c3
9640, db40
2228, d42d
c01e, 26cc
02c3, 3f5b
dc41, dd0e
cfca, b0bb
5c82, 51aa
db31, 4cc8
8146, 3549
3e14, f9ff
1417, bfb4
e7b7, 514b
5449, dd2e
d29f, 4942
4c7c, 33fc
b928, 3da0
e212, d2af
9d86, 172e
8e68, 6e68
9525, 8290
8ea8, 89af
884d, 1d30
5ac8, 7a2d
93cf, def1
7ff2, 8bc3
a70b, 7b7c
b0d1, fbdc
b3bc, 1b21
bd84, 0be4
0934, cf50
1ef9, bbc5
7e5f, 75f1
8c59, 18db
b4ec, 65da
40ef, e5b0
8772, 3862
2d7d, c529
4132, d161
8907, d750
2558, fc5c
ed22, 3092
5548, 559d
aba7, fb77
7439, 5205
4f32, b26e
454d, 86e0
ad87, b58a
3b64, 2058
b2a8, ffaf
7367, 14ca
23e2, 229e
f0b6, a52d
0c57, fd56
bb54, 0de4
cb9c, f0fb
2d61, e28a
d284, 8201
b187, 168a
6697, 2f93
babe, 52f5
391b, 3c54
d339, c8aa
19ad, 80a2
0a87, afa7
f9db, c76c
f3dc, ece2
790d, 5c00
c5bd, 63c9
a904, d584
a0c5, c44a
ff3d, c613
4b17, 216b
a1a2, 27d4
f518, d0ca
90ca, 49e0
355c, 1499
320f, dd25
6133, 8a6c
5f24, 3eca
194d, f316
f444, 51e4
94c1, db4e
379d, bd7a
9abf, 62e2
bea2, d7fa
42bd, be56
6c13, 8710
8303, 1af1
2327, cbc6
3c34, b73a
800b, 509c
493b, 9b11
89f2, 3625
23b5, aee5
0dcf, 3e60
5d99, ec72
9aa8, 4abe
472a, fe7b
63e7, 961b
95ca, cb35
459b, ba20
a54d, 15fc
204d, 9d90
2cc9, 4176
b0b9, 51c1
d1f4, f87c
821f, d841
09e6, e7b6
c621, a1d0
664f, 03b0
251e, 5068
05bf, 6451
f762, 7dc1
f377, e4a8
190d, 9c00
0c35, c3a1
8be7, 56e7
6777, d1f1
a0e6, 2ee7
05e5, ade6
1953, c18c
60d8, 54bf
acf2, 72b7
d170, 4f8b
4743, ad34
f8ba, a970
1099, 83ec
9d07, 18f7
6205, fac0
8a08, f34d
4284, 44ec
9069, 2029
040f, 62f9
4568, 1f43
841b, 405b
7d66, 051f
ba3c, ea38
e318, 9730
6d8e, a326
ec6a, 251a
3f55, b225
8884, d1cd
beca, e892
de04, d9af
3092, ed22
d941, 1fd4
a209, 28fe
fa85, af72
4966, 19e9
340c, 65fb
39fc, de4c
914e, 41cb
c0b7, 5ebb
5d01, 84a0
af87, 2e25
f377, e4a8
6bd8, 39df
1d75, 73e7
c643, a6c8
c685, 1b53
38ef, e398
c2d4, 59d7
1d07, c995
0a0e, adfe
73b4, b8d1
93ce, e775
bff8, c150
8f58, f66d
feee, 9312
71ea, 4838
8e99, 7e71
435e, f365
6675, a578
4231, 1587
1915, cd82
5175, fbcc
b3a2, c91f
c047, 1995
a4ca, 2a09
12a2, 0dee
9278, 2322
8982, b5e1
c1fa, 6a5d
9e57, 9dd1
b2fd, 1f9c
0b7d, cd6c
7799, f4e3
6f4c, 0c40
24d8, 1cd5
7a3b, 9496
52eb, 220a
a0e5, 6ae2
b53b, bf1c
8744, d2eb
afa2, aa03
b584, cd87
8db6, e7d0
45dd, 495a
a522, cb95
0c71, 2ca6
1bf7, b02e
18f6, c293
d5fb, 41a6
2048, 9d93
1d4f, ff2a
c0eb, 9170
0a02, 52b7
5c8e, 3155
264d, 9df8
dc79, 4563
e459, 283e
5d36, 5b59
e90e, 5d65
d441, a47b
e49c, ee04
5c8f, e1da
3874, 8827
355c, 1499
53d7, 8c06
6f22, 7070
b920, 169e
a719, 07a9
32b7, 0c45
ca93, c22d
05b4, 1666
829e, 6245
2138, 090f
f11b, 1b06
b6ce, 1f38
22cf, 76db
dc4d, 161c
7a05, 8c7b
58e1, 5e9d
9346, 806e
4fe9, 108a
6bfa, de9e
adc1, fece
60ba, a2de
9de4, 1854
0acf, 81c1
d751, 462a
b8a5, b8ab
f9ec, 20f1
e112, 5696
5294, 4d7a
7fe9, 0a01
9203, 6f73
d627, 975a
9db0, 9b6b
5944, 58ce
7f16, 6975
8e7b, 5e2b
869f, 80b2
ddb4, 2d52
8fc8, a998
6d6e, 88bb
d87f, 1079
ca20, 1e57
3fb6, 8444
9b02, 4b14
f5f5, f8a6
da30, 4aae
8786, 72a5
9a98, 98eb
3749, e3ff
55fc, f3f0
8e2d, 0f48
a1be, 4e17
a270, 7813
cc31, 42a3
98a0, 23dc
afaa, 74d3
3945, 73a3
984e, b874
d9e6, ff54
e659, 503f
f5ba, 203a
2eca, a385
e5c0, 6a9e
9273, 8fdf
94c6, 1318
2257, 92d2
de2b, 4221
71dd, d9e2
f432, aa57
28f5, c209
c58d, b393
cf1d, e031
b350, b344
19c2, 696f
3bfe, 009b
9592, 7e67
7e1d, 08cb
8812, 38a8
55dd, 593c
c649, 0db5
7c9c, e94b
4bea, bc60
5e0a, acd0
8b24, 832f
6423, 18c2
6994, baff
ca55, c9d9
7173, 597d
2ce3, 4ae3
3155, 5c8e
2600, ed8a
e54b, a3fd
1719, e28b
f4f8, afe5
7abc, 66d4
1464, 1a36
85e0, 4ff5
77bb, 7ceb
a240, ab27
7edf, f2cf
5575, 7486
e456, be18
b9a1, 31ef
81f2, 5a09
bcde, 10a6
bef1, 8b8c
35dc, a684
2cb6, a1b1
dea4, 57d2
47a0, 6909
232e, 3775
2814, a2f8
1fc4, f26f
3642, f949
d68f, ab87
0809, bef2
dfd2, a75b
6400, ff4b
518f, ecda
4b8a, f38a
f708, 4718
644a, a234
392c, c4b4
dfba, 7bbc
3ed3, 71cb
982c, 4f10
7401, 6381
2725, 9df9
9689, 19ce
103c, e67c
bbe1, 0081
3dfe, b04b
d6f9, 3e66
4f93, 8d18
f38d, 9b30
319e, 9c51
de85, 7ed6
97e8, 03f6
fb91, a89f
7e86, f130
44c5, a858
345b, 4884
2f06, ccc4
b9bb, 79ac
e148, 4d2d
f728, 1cfe
e2fb, 9fdf
8b19, 67e8
530d, 33fd
ce4d, b9f1
a87b, aecc
148c, cffa
66f9, 0d33
c978, 8489
d646, 115a
4372, 446f
7af9, ca39
6fee, 3f5e
f27e, f41b
a139, 070b
bd0f, 69c8
e514, 06b6
aa67, 04ce
b5d1, 3ad6
65d3, 2ffc
e33d, 5773
c1e5, cdd4
af25, c4be
eb65, ce56
52bb, c9bd
929c, 159b
3483, 753c
9165, 5006
ddd2, e680
e610, eefb
8450, bf2e
40bf, 725d
755a, e2e4
77a6, f9c9
4300, f527
eb54, 3de4
5592, 3af2
aaf5, 2447
b680, 3748
d606, 222b
101b, bc7c
b558, 2fe5
c206, d80e
8803, 7ced
cbe6, de57
09d3, 2fe6
1a04, 2409
543f, afb1
94e1, 1697
891b, 34d4
434f, 0edb
edf2, 3d09
56f3, 0d40
37c4, e109
7d89, b0ef
f085, ecb4
7992, 0f86
ca13, 7613
d75f, f4b8
a142, acf6
dca1, f1bf
bc20, cd20
56af, 86a9
7730, f730
25b9, 0a4c
defd, 7c74
2f5c, d88c
0f1f, f94d
9f8d, 235d
6109, 6f84
d57f, 4519
704a, e023
af07, addb
0628, 4728
2e16, 439a
191e, 26da
cb95, a522
f2cd, c3d4
636a, a41a
1ae4, ffe5
59ce, 10af
e075, 5ff2
2f93, 6697
78fc, dafc
3714, 8211
3b16, b935
e571, d536
2ffe, 120f
88cb, 033f
0f01, d87e
3586, c8bd
2369, eb6b
285e, 0c5a
4ba3, ba90
164c, 3849
1831, 9637
6d54, 8bf3
8d2b, 4af8
0325, 37eb
ea9c, ae00
0e0e, 118c
4c12, 0f06
c958, 0ffe
7c1b, 10cc
6554, 4f55
d24f, 974f
c58f, c9f4
199c, fb67
4cbe, 0371
28ff, c88f
5e54, ed1c
599d, c6ab
334c, e39b
bdc2, 5728
13cb, 777a
ce07, a78b
837c, e32b
788d, 6807
e2a7, 1c72
e9d7, cc1f
f6d9, 98a1
a962, f553
058b, 3238
9765, d450
339d, 2a08
bf15, 375c
00bd, c5cb
dc93, 9af3
a950, 51d6
f358, 6678
894f, e00a
23df, 16bb
8fa3, 68d3
e42a, e546
2fdb, 06d9
2bc9, 4b69
c48a, 05d2
cb85, 55d4
bec1, d258
ceb7, c369
8f4c, 8f4d
b4a7, c86d
81c0, b508
941f, baad
5d3a, df10
4870, 9fcb
9253, fd40
b87d, 682b
3b38, 8bdd
43b7, 4eb6
a862, 2b56
c1aa, 0030
092d, c048
3708, b4e6
a43f, d92d
918c, 35d5
4044, a2ed
642e, b86b
07e7, 31f3
be71, ee99
aa71, 5f3c
263c, 0f31
bacc, 6d5b
6819, 70cb
b1ef, 3ca1
cd0e, 047b
42dc, b8fe
3d01, 56f4
266a, d652
8a11, 0d62
36e3, 8db0
5f2e, 8ebf
0ba4, 989d
7221, 69c1
a3ed, bf5a
edef, e0ef
ac2e, d9cc
1e0a, 8475
4531, 31e1
a6c1, 08b5
ef54, 105d
c837, 748b
9773, 1439
98ec, f540
92d5, efc8
2803, 9ffe
f38b, 020d
23fe, d130
0b45, c3d6
232d, 98c0
ea88, 3e45
018f, 79da
4315, 0aa5
7afa, 65f1
9f1b, 297a
599b, f0a2
4627, a55a
e0ca, 4063
c4ab, 17dd
be31, 0af9
7fdf, ecb0
ff66, 4f59
cef8, 14d0
c91b, 00fe
a6c0, bc2d
b75e, e7ac
e73a, 47f3
6f03, bfe6
15e8, 0730
ef2e, 8eb2
17fa, 0281
036c, 73b5
87fd, 1db9
b120, f020
0cd7, ace8
3abd, 01e4
2a9d, bfde
3a42, 88a1
0007, 4c63
3c42, 5977
6a4f, a532
3604, 36f2
1f90, 794d
7f7f, 919d
826b, 1ef8
4e22, 9c6b
c13d, 07ff
aac0, fbb9
a12d, 6dcd
df74, c403
bd76, 0888
7dff, 78d0
84ef, 9f55
6ff4, 6c9d
a429, 7c58
1bb1, 40e7
5b25, c96c
aa37, c353
e905, 7696
80b4, 2060
7b52, caff
18f0, 8af0
27bd, 6e32
1a12, 9b7c
05e0, e155
1aec, 0cf4
e196, ea09
5d3a, df10
64b9, 9b32
2246, ef39
b38c, 3ede
0512, 0666
a3f8, 4438
b255, 2ac2
5489, 6188
c294, c02e
d3a9, a9fc
156e, 4f74
903b, 5508
5d4d, dcbe
2d73, 961e
76bc, 771e
1f52, 9f6f
acea, cdf7
980c, 0a00
760d, 6040
03f2, f09c
7250, f0ba
dd5c, ec37
70f4, abfc
9255, 3529
c431, 69f4
470b, 270b
8452, 985e
6243, 9dbe
010e, a737
ce74, a7d2
1117, 61a7
1b85, e1a7
c98b, 20f7
57e8, 9292
ce37, a2d8
d416, 7d79
1410, bdf3
f880, cff0
a89a, 2694
4208, bfce
ff72, ef65
4610, 1b28
5375, 60c8
7cc6, 6bb6
4c57, 814e
e074, dab9
2936, c4b5
fa8e, d80f
95f4, da44
aab7, 507a
bdcd, c12d
a6a1, 58d5
c92f, abef
