1f1d, 4f10
7a6a, 8030
fa85, 6ad5
fcc2, 3964
a83d, 719f
0e8c, a006
6747, a2b7
75e9, 1a09
a72d, 73a2
9e77, af0f
abbd, e7b2
33ee, 6e65
1834, 0dae
3973, b908
673f, 90df
cfad, 7de6
d4a6, d728
d613, 9d15
c53b, 0ee9
dc3d, 5499
bcb6, 37b1
8a3a, c34c
6771, c320
41af, fca4
7016, a7de
e0a4, 30da
c97b, 2336
707c, 0d02
4deb, f85b
bedf, cfd5
5797, 4250
ec4e, b71d
be61, 1921
4519, 5094
bf80, bda3
fd16, 4f11
4ef2, 20df
5d83, 5d1a
2fac, 2fad
93f5, 0d01
871c, 55fb
50ba, dbb0
13ee, 4365
a6ac, debf
95e0, ed69
b107, 0f3f
a040, fd40
7b9a, 1409
fd4f, 34d6
d37d, 67c1
aaff, 6d8f
0ff1, baa4
45b3, 14f9
4144, f31d
6133, 89ef
fd7b, bb67
7e5f, 7f0e
2291, 0f66
556a, 7a52
a031, eaad
f63b, 483c
ba88, 02a6
6921, d0f0
dbf0, ae7c
70ef, cb3e
d004, 7908
e194, 2194
833e, 4ea1
c83a, cd14
0430, cadd
522d, 8a4c
7ad6, 020c
ea6f, 0795
0907, cefc
5527, 25e9
ac5a, cd07
d085, 4b53
a9b8, 0ecf
9c53, d7dc
d1a1, 3cc7
8d3f, e039
f32c, 8541
aa0d, e80d
948f, 641f
c650, cc0d
b591, c933
3e10, 3fcd
d7bb, 6e43
2d54, ebe5
3448, 1854
21b7, 16b3
0538, de86
b1b5, a1e5
4e52, bc35
20b9, 735b
87e6, 924e
fa93, 89e1
00f5, c278
41d7, 25da
0af0, 28f0
bca4, 37d2
18a4, 653a
6d8f, aaff
7169, 0951
3e22, b0c4
9a92, d142
b1b0, 3017
7777, ecf4
fa37, a8e3
21e1, a9e1
c7e0, 2212
8437, a084
ecd9, b642
7daa, c092
d165, 9cae
f75d, 0379
fb28, 139d
4057, f351
3f34, 58e1
d5ae, 9ca3
9f2f, 4fb5
62e7, 772b
943a, 2829
78d2, c425
2054, cf78
90d5, 7e53
d79a, 6f13
4c37, 7997
5ff0, d4f0
a310, c82c
f408, ab4a
4391, 1047
781b, 6e7d
0268, f086
fe66, 192e
5f0e, 8e03
b9ef, d22f
75aa, c2fb
3772, 1578
1897, e7f0
0fd7, 6eaa
e5df, aeca
21b2, dbe4
71c1, 41a6
3769, b7e9
9983, a9f2
366c, 865e
6fac, b63e
d433, 8d0b
f9d8, 1815
aac3, ae46
426a, 98bc
44cd, 900f
e713, 1ab1
e934, a3a8
65b7, 8e80
26ab, 26bb
7009, 0035
c3a7, 9993
71c0, aa1b
356c, b183
6b2c, a8f4
0871, 2522
94ef, 15cd
bbe5, 8b65
c65f, 2e56
d23e, 9933
ab03, 6491
63e2, 750a
b693, aea5
6763, 89ed
f29b, 4a9c
f0d3, 2967
fa2a, bdcd
6092, 8bb3
9233, 425e
a7bc, b955
0aaf, c830
a41c, 7df5
154a, c14a
50b1, 4d33
0f4b, 2ffd
ca19, 10f5
5d3f, 3689
ed83, 4306
d36a, 2f78
e661, 30a1
23a3, a338
8906, a906
82bf, 16b0
dd90, df20
d639, 8cad
f39a, 7b85
500f, e699
15c8, 9784
ed32, 3d89
7710, 9551
47b2, 94ec
abb9, 7b6c
37f3, 10a4
5b4f, 864f
e1db, 7f13
9f64, 840c
49f8, 1973
07eb, e9b5
937d, d87c
954a, 260d
333f, ef39
7425, 0847
f4d4, 6a49
a066, 006c
0219, a3c3
d99f, 5788
4e7a, d365
9ad3, db7e
3d7c, 2a03
6bc7, 195c
e720, 4c31
6b45, 395c
1c79, f7f7
4289, 6860
0cb1, 30a8
f8aa, 4682
cc9e, a7cc
97e5, 3ec7
650f, f2aa
d075, 958d
6294, f244
a944, 740d
1243, ceee
b421, 621a
0766, f8b1
4b0a, f304
6555, 4497
48f5, e5be
6c49, a257
465c, 1feb
2b4f, 21b0
e241, 24e1
9f6d, 918f
0157, e7e7
9dc8, 8a2f
b551, 9859
765c, de7e
f155, b026
0e9b, b807
7c1c, a649
b8d7, dcff
d704, 20ba
c830, 0aaf
e08f, 50e6
9a33, 044f
7d25, d42c
a10b, 9143
eee9, 3e39
5763, 0bc0
e41b, 815a
5769, 60ad
b8ce, 84e0
8dab, 1836
bac8, 82d7
b46d, 2246
c244, 7afe
8446, 32ff
991e, 1cae
207d, b291
40e6, f47c
748a, ae90
68bf, a42e
d06b, d0dd
6f9a, 735d
97d6, dfa3
5e21, 8311
e40d, 1bab
ddb3, c6b0
9fa7, d1ce
0705, af21
3cc2, a00c
db69, 7b55
61fa, b898
75d5, 743c
caa1, 7c2d
4659, f3da
8d51, 3634
88a8, 68a8
cbba, adad
a964, bf81
67a3, 8952
f9bd, c460
a30b, 07f7
3461, 65b9
69e4, adfe
8b41, ee06
a105, b815
fc13, 1732
129b, 959c
0d29, e44c
5eb9, 8f23
86b2, 9acf
8ba9, ad0d
4b37, fe86
0689, cfdb
6c7b, 39d9
f188, c817
3648, 5b93
e068, b6c4
69c3, 8723
e29f, 8942
9f29, d37f
6cff, cc1f
e248, 7243
cd04, 4006
7ac5, 4b2c
f1a7, 71a7
b445, 3d5b
f2f6, 0392
0882, bc07
f4e6, 4847
5c23, dad9
a9ec, 40f1
943a, 2829
35e3, aa97
065c, 5f91
a41f, 2f59
6f87, a954
24ba, 4ab7
be1d, 087b
1084, 433a
d88c, 3d1d
471c, c2f8
2a9f, a224
380e, 31e5
7d07, 6bf4
6e18, 24fe
51ac, 7f78
bd2a, 6c14
4b90, 182c
fcd7, 0ca7
1b20, 3f38
348d, c476
158e, b819
cf4f, 26c4
7348, be89
fdd5, c06e
2e70, b9c7
6a6b, 8efa
c07b, 7f6c
842c, 62cc
8e72, 58de
9e90, 394d
2045, ae2b
b7b7, a3dd
57a0, 52bb
7513, fd15
023b, 0ad5
99cf, 695f
0c2d, ab2a
6e03, bf48
6b0c, 5693
33d3, b5b1
bf07, e63d
4da0, ebb1
41cf, fe05
7ac9, 3c24
d54d, a290
f16c, a377
9476, b511
5749, 8709
ff9b, c6c3
f93b, 9007
2aec, 3796
e5bd, 7ce5
4b44, ee35
7588, aea9
09b7, b559
b02f, 632f
c1d5, 47e0
7bb2, b176
98d6, fa1c
2c4a, 3b31
ca8d, 1a3b
94d4, e524
717e, d62b
ef7d, 918e
5385, 404a
28f5, 8ca8
34ef, b2bf
4686, 9dd1
c5b5, 8204
bbe7, bb00
6403, 8518
43e9, 1d39
9540, 8ab2
ebf4, 57f2
cc96, 6a3f
49fb, dc7b
93f1, d8f4
58f0, caf0
e7d3, 17d3
5e6e, 7bbc
3e50, 5f44
dbed, b2f1
765f, d11a
6bdd, 8caf
4853, a713
e54d, ba9e
2bd8, 184a
338e, 675d
894d, df90
0b39, 2177
5a82, 1fdd
1ae5, f6ff
1ca2, 23bb
e7e7, 0157
a875, e2ae
e83f, 2706
188f, 84d3
cb0f, 8925
55f6, 5a0f
b4ac, e785
9fdf, 84b5
92e4, 493a
cf31, e4a9
3264, db5b
b129, b529
2c09, 954f
468e, 46ac
1467, fae9
192e, fe66
655c, 490f
94f0, 8e87
4993, db86
09fa, fe9c
01e2, 1c96
95a1, 4539
a115, 0015
64bd, d446
4192, f41a
a247, 7af3
c61b, df75
9ac7, 1102
f061, 4069
a494, 72fb
2353, 0d9e
ef1a, 3811
4354, feb2
6d65, bfeb
377d, 8a57
d9e7, 42cc
6de6, 159f
72a2, f276
a0f9, 116b
4572, 3b04
1c14, 5dde
a403, 19f5
296a, 0ccf
2c11, 60ef
70d2, dfbb
1049, 4bc9
a7d9, c1d0
5b07, a7ab
0647, 0b0a
c7c1, 9a49
5c5e, 8135
f77b, 6b0e
02a5, 3282
d73c, 2307
df17, 2eca
b540, 3440
f186, bcf6
4401, 7fb2
f5a5, a672
1869, 8982
fd91, 226f
3d55, 36bb
cdc8, 1f9c
b6ee, e223
aa83, dc75
d588, 3ec0
5ba8, de02
82aa, 157f
bbce, c11e
2d35, e664
cca6, f5a2
6572, 41ef
a70c, 1adc
a5c8, c349
8cc6, a46c
8726, 529a
b13b, 01eb
e9c7, 8fb4
ae10, db0c
c15a, a587
97b9, 9891
d986, c730
1c58, f09f
380e, 31e5
7658, 56b8
05fd, 20de
2899, 0f55
711c, f614
6dc1, 8998
45a8, 5f46
abc4, cb64
2894, f0c9
1f62, 9f5f
a9e5, 3f1c
38d4, e724
a9cb, cc95
06d8, c7fc
f6fb, 50fd
e697, c2bc
5154, d154
6dcc, 9a73
929a, e954
02c9, 0dc7
835d, 5f9a
d482, 0b70
2d95, 20f8
742e, ce78
07dd, d74f
5cd8, 5a65
0e29, 4b31
c119, 72f7
982d, d27a
ac77, 0ca1
cbe7, de57
2b8c, 0794
c2dd, 0d04
06ed, 5850
e1fe, 4b2b
03d6, c9c8
474a, 04d5
b645, 17c6
75c1, c62b
5d64, d6dc
eb21, 045d
df3d, 3f31
c775, 2e31
be4c, 6d09
0e98, a43e
5d28, 8bc8
7397, 0cb5
2e2a, c1b3
a6a9, 041e
519a, d81d
4392, a268
400e, 2095
4191, 81f4
1e62, bc8e
0ed2, c920
f9ca, f77a
dd93, 9098
07ca, ddf8
a5a1, eeb3
bb3a, 7bfd
da1e, e1c3
06f9, e671
f6fd, fd9c
6b9f, 6060
7eff, ad9c
d209, 646b
208b, 0192
d234, 3201
97d0, bf36
e1d3, d348
1d40, 87ff
c52c, b2cf
386c, e528
2253, 4958
7dd5, ff3a
dc69, cc61
7354, ca8f
d5f2, d102
3713, b9f3
2c6e, 41a5
b9c7, 2e70
1bd9, bbac
eb85, 4b94
bea5, 10a9
bb09, 90a9
d80c, 520b
0e6d, da4c
2dcb, 5a9e
c474, 1417
faf3, 09a9
4a27, f1f2
3ae7, 871d
f4f2, 1499
c8e4, e065
858f, 69d1
018a, 2903
8ace, 66e5
33ea, 220b
f3c7, 30eb
0817, e2ab
bffa, bd7f
2d3e, dd5e
0c5c, bc3b
ae9e, fefe
ad57, 9f38
84c1, 814f
b4ff, 9aee
f29f, 366f
0b9f, ace8
29da, 4559
0a04, beef
cfcb, 35f4
d886, f63a
85f5, 3a1c
661f, 1f78
7066, cad9
823f, 74ae
0284, aee0
ad03, 7f37
5def, 3059
b151, 14cc
755e, 03bf
45d0, e919
c519, 1e0b
1ef8, 9013
256c, 2696
6b1f, 76d5
3507, 9a94
ef20, f73e
68a5, 1f19
f7c0, 2882
1f87, 8dae
1d6e, d9b7
4747, bfa9
b82a, 2526
0a5a, e756
a30b, 07f7
0c9a, b594
3185, ece5
2f08, 3bd6
62e8, 3628
61ef, aaf9
9bcb, e11b
53fc, 8e4d
e11f, 2b78
7017, f160
6c61, 8c69
8922, 9674
cd6d, ddb8
d2d3, 281f
ecc2, 3d9d
0b7e, 277b
ad14, e8d8
efd4, e8d7
489c, ba00
1437, 62e4
21a2, a002
a963, 0322
03d1, 6f64
f8f6, 4f16
9a5d, e669
b204, a0fe
d26f, 4d96
eb38, 4d41
b004, 0601
0f4a, 58cf
35c2, 3a68
be19, 33f1
424a, 7cea
1c18, fac3
0039, c1f6
4f0c, 1c33
ab41, a528
a934, f9b7
0cc5, e9cb
8a54, 2bec
ae73, 56b5
ed8d, d175
0e47, 71be
e5ba, 7a5f
8ef0, 5300
5da8, d60a
b8fb, 34a5
4ec0, 460d
50c5, 8aae
e4c2, 27d3
6331, a404
64cc, 84cc
3fb0, 9cdf
14db, 501e
1508, 09bf
0000, b03a
9935, d95e
ed05, 765a
9afa, df7c
bde6, 4ac4
ef4d, 91fe
f73e, ef20
01de, efa3
ebfd, 5792
4e2f, 4160
35a8, 2025
49dd, 9460
8290, 19af
29b0, 8f7d
aa14, a160
1cc4, 06db
9d0d, 43c0
f1dd, 2d19
f792, a442
a1ac, 7011
6b1a, b1d7
06b5, de0d
eb5a, d504
7b97, 6bf7
80b4, 5ba1
189d, 6e34
e40a, 2234
d41e, 371f
758b, bc30
9d4a, fdac
4c1b, e89d
ac40, 8f40
7675, 0028
79ca, c87d
8f2f, 73e3
0b13, a525
261a, 97c3
833b, 5391
88e2, ec38
3ced, 8006
b156, a6e3
c3c6, d399
f5bf, a6b3
0d8d, 410c
0557, e7e0
3d88, 3d27
670d, e5ea
d39a, 9737
ba6d, 6bda
265e, 268e
bc3e, f3b2
996c, a550
88e6, a1fa
e34b, 9148
bbb3, 6053
d52f, 56f7
3216, ef62
8473, b510
d32b, 2b9c
64f5, 8215
7ee3, d5a6
8bde, 6385
a49b, 0e5d
f8d7, a42d
73ba, 2a96
d6a5, aeef
a9db, e0f1
ae45, 3ab5
4b02, 92c0
dde2, ceb7
4ad1, 2167
a6c5, e10e
a7bf, 0f4c
24cd, 4df6
fe06, aff2
9eda, 5c69
5f13, 8e1e
a130, c55b
d794, bdf3
4c7e, 2dd2
7c63, 7f0c
0754, a754
e749, ecd8
d1c6, 0f77
243e, eab5
f726, bfa6
b48f, 441f
0631, 8d4e
2f89, f9cf
ac6c, bd16
b59f, fd0e
6593, b2cd
d2e1, 57fa
3ae3, ece3
056d, 638c
ce9d, 0337
a3bb, a055
3017, b1b0
22f0, 88fc
065d, e850
1565, 475a
f797, 7787
71e1, 59e1
f7f5, 9cac
1079, 532e
c6d7, 107b
c084, 9e5e
31e1, b9e1
4a20, 9543
3294, d75a
1860, 07aa
f857, 87f8
5161, 5ce9
b6d3, b830
a710, 5732
8e0d, 5e0d
bbbf, 5c24
ac47, 1c01
864f, 5b4f
7169, 0951
30d3, 6703
5694, 334f
b267, ea5f
686c, 0a20
009c, 8095
dbf1, 50de
3cca, 75c6
aeed, 64f1
ead0, c037
6d88, 1d2c
c96d, 8da6
536e, 7e55
0f34, c4fa
bd47, 6d04
0f14, e00c
72e3, 67e3
67b6, 1593
6462, 84e2
0f58, 5650
a9fc, faab
2218, 1115
54df, c4df
8983, c54a
ddc6, e6b5
666f, 8174
c5f9, 696a
4dc1, 9766
4450, ab9a
c99f, 5090
bbeb, 3e5b
4212, 82af
18c8, cee4
b04b, 0d90
c7ce, d74e
2341, 48f7
2039, 4798
4bd1, 3cdc
0dc6, c45c
fdfa, 37c2
1acf, 0ee7
f671, f6d9
efca, 5f9f
cc79, 74f1
668c, 1066
2575, ee58
5d3f, 3689
d6a9, 1313
d9e2, 5793
15fd, ca9c
dc1d, 9acc
f47e, 9bb1
05bc, 79c3
cb9b, 8565
1c74, 7fab
fc34, 9718
08c2, b3e0
821f, e4c6
5447, d457
d0a6, 7dff
a6ee, bd39
161c, e513
a4b8, 4e42
914a, 4bfd
2c89, 5c17
7d81, 3d4e
a5f7, 1c0a
2fe6, 14cf
ca4b, cd3c
5f01, 063c
5f85, 1527
fdac, 9d4a
feef, 37b3
31c4, 05c9
e962, a06d
a06d, e962
259a, 4370
c941, ea0c
d105, 11fb
5bd6, cff8
0670, 52a3
ce83, d3d3
b66f, 611f
5934, ff6e
9b74, 18ee
7fff, 68f6
edaf, ece0
32ae, 5ddd
c494, 0a05
7070, c2df
0f44, e82f
fe25, 7915
5240, 7a40
8b82, 3bef
ad65, 00a2
e5e8, e95e
33b5, c62a
8690, 35ed
3b50, 7fc2
62fb, 1231
37aa, 8100
5801, 7f19
2e12, 9451
784c, d7ef
6578, 65f8
768c, 83fa
b455, 6238
2e52, 0768
dec0, e687
8618, 86c5
19fb, 58d8
d38f, 9eee
ca64, 03a8
3a38, 74ab
4f70, f810
d0f0, 6921
3dd9, 2958
d074, 200f
a825, f230
e09f, 1949
9ee1, f725
4d3b, 1a5f
db7d, b441
0d99, 086b
4000, 9144
8d58, 410d
b7c8, 37c8
184c, c628
9871, d4c0
e02e, b28e
32cc, b42c
9f1e, 6bb1
4ea6, 10d1
91dd, b6c8
20ef, 27f4
f4f8, 8912
4be9, 127b
8a03, 4dcc
2db8, ad6d
3e76, b017
697e, 37d6
8663, 61b7
6e8a, f698
bf3f, fc80
118a, f525
9b77, df0a
e168, 5dd6
9579, 7eca
62f1, dd5c
a9af, 00a0
1fca, 10bb
007b, 0804
8fd6, e791
654d, 9892
5e24, 56fc
4d11, 2228
669b, 0bf0
671f, a2d6
e630, 9b79
44ed, 3f25
3b74, b4ec
764a, 6b4a
98a0, e127
f312, bf63
c2a7, 0509
fd72, d4b6
e1ed, 21ed
3522, ff48
9458, 5d66
59d0, ab40
24fa, 0a8a
5cd9, cc17
336b, ddc2
7fe1, c434
3b9f, 5642
4354, feb2
c181, 57f1
c3bc, abe5
3f99, c898
4adf, e8bc
30de, 6950
ded7, b1be
9b1e, 17f9
b9f1, f781
b8f7, 6e4b
c096, a3c7
71fa, 0541
4b8a, 6732
acf0, cded
99ba, d7d7
7620, 4c23
8a12, 5641
921b, 23c7
83e3, 33b0
6ba8, ba67
4d82, 5489
1964, 7592
e985, 0e1b
b9b0, 61ed
a953, 6709
a40f, ed0c
2f96, 085e
aa50, 47bb
3975, 437e
6945, 4629
ce8f, d3df
95a6, 6439
9579, 7eca
d410, 9371
7d93, 85db
0aba, 3b30
f29d, f8ea
bed6, 4e85
4193, 534c
21ba, ec2a
afec, 6407
4676, f74b
a434, 73e4
ab8f, 34e2
ac44, 713d
cca9, f5af
4b62, b301
5f14, 5bfc
728f, a32a
0bce, 8f75
4559, 29da
b93f, 9ba2
24bb, 4a88
601c, 52d3
e202, a202
4da1, 1be1
9620, 7c49
8fbf, 3e18
a9f5, 8325
d30a, a0f4
f86b, b464
d446, 64bd
36dd, 3d7a
8b5a, 5654
9500, 6f00
e95f, 746e
93bb, fb65
ad2f, ad9a
a045, e537
fb79, df7f
d0bd, 866a
d098, 9693
21f8, 41f8
746d, 898e
6cc7, 0efa
a3c7, c096
2cc5, 9637
e8a0, 32d5
e2f9, 004a
a7d5, 0ef1
382b, 74f6
a702, 4180
ad20, 3f29
787a, 80fc
276d, 887d
0392, f2f6
f705, a2f8
234a, 98a3
c665, 7669
9e55, 2b3f
336a, 377a
8b5f, 8b8f
b103, e157
2769, 1245
68fd, 140d
9d72, e85e
cf1a, b02b
95d3, 0d47
e873, 8315
1aab, a2fd
2dc9, 024e
b492, 0742
4125, 16f9
4dfd, 432d
07d5, 037e
f881, 1879
45a4, 0522
6bd3, 83d0
23e8, 0fc5
d0be, b405
386c, e528
86e8, 8966
a12f, 527d
5289, 62a3
57b6, 6038
1539, b5bf
66c0, 942f
bc95, f251
59f1, d781
ce9f, aff9
36dc, 1356
2cf6, 9592
ae2d, 56e1
669b, 0bf0
7d0c, 7dea
5480, cd8a
3d01, 3b2e
e73f, 18bf
9aba, 45ef
2bdc, 4dad
aeb6, 2dba
e6b4, 2d8e
c576, f00e
909a, 7edc
066e, d3fb
b934, 072c
6a10, b812
c783, f25e
5714, 5a9f
82d8, 4faf
2268, 902a
86a9, 27e3
9641, 5b88
cc9b, 2520
dbdd, db6c
c180, a5ec
7520, 6fbb
9cea, 591c
f006, 1c3e
9a24, 66e6
391d, 3557
221d, 9377
3c3d, 37d0
7ce7, e951
729b, ac89
3fbc, bf6b
631d, 087c
31ef, b4a4
cd6b, a1e8
908f, 4bda
8fdd, 3d30
9363, d4df
904a, 7b3c
5a2c, d62c
1d53, 1ebc
6237, ceec
5a19, 8172
f265, 1f72
a876, f9a8
fcc1, 7ca7
38b4, ec46
4c32, 98bd
88a5, c94c
136c, fde8
1c43, cfdf
58e0, 76e0
7afc, 08ab
3832, 74bc
05d6, b9fc
e47b, ad7e
5586, 9c1a
817c, 20cb
4818, f610
787e, d40e
7e65, a069
bbca, 832f
ae43, 57dd
07ca, ddf8
ba7c, 465a
db9f, 4a60
9808, 8697
57fc, d3fc
8e86, 53e6
f58f, ba46
34e7, b269
3d16, e61f
4849, f8c9
c75c, b75c
c69d, 1b90
3a2a, dcba
50fd, f6fb
11dc, e81f
c00c, 109b
fae7, 1d26
eaff, 55f9
e040, 34f6
3cc2, a00c
9bcd, 3198
4229, b282
26a5, db54
4fa4, b56e
1c7c, addf
4701, 3937
c23d, da13
f93c, 9001
bd7e, 2c6c
dc65, bf06
7854, feed
1a14, 5611
e43c, 2f37
99d6, 3fce
78c5, 72b5
0a02, 2d7d
9afd, 684b
7b24, 7d61
4752, b7c2
75ff, acc2
9bd1, 8cdc
d0bb, d0ad
9465, 1c54
3a27, 7112
ae2f, 0928
0b7f, 61c1
2163, 3066
48fa, 2fc6
679f, d2bb
17a8, c819
5358, aa74
769c, 6b54
f43c, 8819
5858, 7fe0
50cd, 2c98
9c1a, 5586
92ed, e741
11c5, 99cb
9a0c, 1889
4f09, f4fc
d6f7, e3bd
3290, b59d
b8d8, fd2c
3201, d234
6bd0, e7b6
0ff1, baa4
c8c8, d8c8
63f8, bf93
f243, 1302
ffa6, 4f39
b9d4, 85e6
7186, a19f
e3ab, 2e06
4a45, cb3d
700f, 717c
d0c5, 8a30
a48f, f353
c07a, 273f
3c0a, e507
d79c, 412b
81d5, eb91
caa8, 33c8
dc94, 0724
9e10, df1c
b5b3, b6d1
4c86, 2ebd
af9f, 2d24
f815, 7213
b6af, 4186
64ac, 02dd
4f5a, a868
1fda, 4d3f
0f6e, c01c
0980, 1188
7605, a27c
3766, 69e9
c6e2, d359
954c, 144c
d522, 7f71
9001, f93c
fa13, 3776
1e7f, 9302
62cb, 322b
1599, daca
0807, 35af
ec66, 93d4
31b8, e091
bc6f, 1c22
9aac, 7628
3162, b1fc
83f8, ef05
c234, 03ea
bdec, 3fec
3697, 3821
9723, 11de
4a51, ecf8
18a6, aa48
4d51, 7ccc
716c, 6edb
0bfa, 7641
2f51, c7c8
bf8c, 3d8c
4ecf, d316
7c8c, 737b
44a0, 759a
bc58, f3d9
5498, 7498
54d4, 9b8b
b7ab, 3158
6d93, d385
5886, 838f
2b48, 5d87
644a, f522
aca8, 95bc
a75a, b881
a007, 495b
f3b9, 19c5
be33, 33a8
95c3, 64ef
7790, 14f1
6140, 9e40
aecc, 4974
